Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Afghanistan,Kabul,2024-07-01 17:45:00,29.9,18,997.0,Sunny,9.111184
Afghanistan,Kabul,2024-07-02 17:45:00,29.4,16,997.0,Sunny,4.888928000000001
Afghanistan,Kabul,2024-07-03 17:30:00,33.5,8,997.0,Sunny,4.611148000000001
Afghanistan,Kabul,2024-07-04 17:30:00,34.2,12,998.0,Sunny,9.388964
Afghanistan,Kabul,2024-07-05 17:15:00,29.5,13,998.0,Sunny,11.194534
Afghanistan,Kabul,2024-07-06 17:45:00,27.7,16,996.0,Sunny,8.388956
Afghanistan,Kabul,2024-07-07 17:30:00,30.1,11,999.0,Sunny,5.888936
Afghanistan,Kabul,2024-07-08 17:30:00,31.5,12,1001.0,Sunny,4.388924
Afghanistan,Kabul,2024-07-09 17:15:00,32.1,15,1001.0,Sunny,6.111160000000001
Afghanistan,Kabul,2024-07-10 17:30:00,31.5,18,1002.0,Sunny,7.388948000000001
Afghanistan,Kabul,2024-07-11 17:15:00,30.0,14,999.0,Sunny,8.000064000000002
Afghanistan,Kabul,2024-07-12 17:15:00,30.1,14,995.0,Sunny,8.000064000000002
Afghanistan,Kabul,2024-07-13 17:30:00,28.0,24,997.0,Sunny,3.1944700000000004
Afghanistan,Kabul,2024-07-14 17:45:00,29.9,21,997.0,Sunny,4.194478
Afghanistan,Kabul,2024-07-15 17:30:00,26.7,39,1004.0,Sunny,3.6111400000000002
Afghanistan,Kabul,2024-07-16 17:15:00,30.5,28,1001.0,Patchy rain nearby,4.611148000000001
Afghanistan,Kabul,2024-07-17 17:15:00,27.6,40,1002.0,Sunny,6.305606
Afghanistan,Kabul,2024-07-18 17:15:00,30.6,20,999.0,Sunny,6.500052
Afghanistan,Kabul,2024-07-19 17:00:00,30.0,22,998.0,Partly Cloudy,4.694482
Afghanistan,Kabul,2024-07-20 17:15:00,30.4,22,1000.0,Sunny,5.500044000000001
Afghanistan,Kabul,2024-07-23 17:00:00,31.7,20,997.0,Partly Cloudy,3.0000240000000007
Afghanistan,Kabul,2024-07-24 17:15:00,32.7,14,992.0,Sunny,7.194502
Afghanistan,Kabul,2024-07-25 16:45:00,33.3,14,993.0,Sunny,2.3055740000000005
Afghanistan,Kabul,2024-07-26 17:00:00,32.7,12,997.0,Sunny,7.611172000000001
Afghanistan,Kabul,2024-07-27 17:00:00,34.7,10,998.0,Sunny,2.6111320000000005
Afghanistan,Kabul,2024-07-28 17:00:00,34.8,12,997.0,Sunny,7.388948000000001
Afghanistan,Kabul,2024-07-29 16:45:00,35.8,11,996.0,Sunny,2.3055740000000005
Afghanistan,Kabul,2024-07-30 16:45:00,32.8,31,998.0,Sunny,5.805602
Afghanistan,Kabul,2024-07-31 16:45:00,36.1,13,996.0,Sunny,2.805578
