Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Albania,Tirana,2024-12-01 11:45:00,13.0,58,1013.0,Partly cloudy,2.6111320000000005
Albania,Tirana,2024-12-02 11:45:00,11.6,62,1018.0,Sunny,1.3055660000000002
Albania,Tirana,2024-12-03 11:45:00,12.2,58,1016.0,Partly cloudy,1.0000080000000002
Albania,Tirana,2024-12-04 11:30:00,13.1,63,1017.0,Partly Cloudy,1.11112
Albania,Tirana,2024-12-05 11:30:00,12.0,77,1015.0,Light rain,3.111136
Albania,Tirana,2024-12-06 11:45:00,13.1,77,1016.0,Overcast,1.1944540000000001
Albania,Tirana,2024-12-07 11:15:00,13.4,82,1012.0,Partly cloudy,1.0000080000000002
Albania,Tirana,2024-12-08 11:30:00,14.3,55,1003.0,Partly cloudy,2.194462
Albania,Tirana,2024-12-09 12:00:00,13.1,72,1010.0,Partly cloudy,3.8889200000000006
Albania,Tirana,2024-12-10 12:00:00,15.1,51,1016.0,Sunny,1.3889
Albania,Tirana,2024-12-11 11:30:00,12.5,68,1023.0,Patchy rain nearby,1.8889040000000001
Albania,Tirana,2024-12-12 11:45:00,15.2,59,1026.0,Partly cloudy,1.0000080000000002
Albania,Tirana,2024-12-13 12:00:00,12.0,67,1029.0,Sunny,1.0000080000000002
Albania,Tirana,2024-12-14 12:00:00,8.0,87,1024.0,Light rain,3.1944700000000004
Albania,Tirana,2024-12-15 11:30:00,13.4,67,1020.0,Sunny,1.8889040000000001
Albania,Tirana,2024-12-16 11:45:00,11.3,43,1032.0,Sunny,1.5000120000000003
Albania,Tirana,2024-12-17 11:45:00,14.3,41,1030.0,Sunny,1.0000080000000002
Albania,Tirana,2024-12-18 11:30:00,13.1,54,1027.0,Sunny,1.0000080000000002
Albania,Tirana,2024-12-19 11:30:00,12.2,66,1020.0,Sunny,1.0000080000000002
Albania,Tirana,2024-12-20 11:45:00,10.3,76,1009.0,Light drizzle,1.8889040000000001
Albania,Tirana,2024-12-21 11:45:00,8.9,69,1013.0,Sunny,1.8055700000000001
Albania,Tirana,2024-12-22 11:15:00,8.2,66,1018.0,Partly Cloudy,1.8889040000000001
Albania,Tirana,2024-12-23 11:45:00,8.1,87,994.0,Moderate rain,5.805602
Albania,Tirana,2024-12-24 11:45:00,7.6,71,1002.0,Partly Cloudy,1.694458
Albania,Tirana,2024-12-25 11:15:00,7.8,71,1013.0,Cloudy,2.805578
Albania,Tirana,2024-12-26 11:15:00,9.7,58,1020.0,Partly Cloudy,3.388916
Albania,Tirana,2024-12-27 11:30:00,13.4,44,1025.0,Sunny,1.8889040000000001
Albania,Tirana,2024-12-28 11:45:00,12.1,41,1024.0,Sunny,1.611124
Albania,Tirana,2024-12-29 10:45:00,10.2,46,1026.0,Sunny,1.0000080000000002
Albania,Tirana,2024-12-30 11:30:00,11.4,50,1029.0,Sunny,1.0000080000000002
Albania,Tirana,2024-12-31 12:00:00,13.4,54,1031.0,Sunny,1.3055660000000002
