Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Algeria,Algiers,2025-04-01 10:30:00,17.3,45,1012.0,Sunny,1.8889040000000001
Algeria,Algiers,2025-04-02 10:00:00,17.2,63,1008.0,Sunny,1.0000080000000002
Algeria,Algiers,2025-04-03 10:00:00,25.1,30,1012.0,Sunny,3.388916
Algeria,Algiers,2025-04-04 10:15:00,22.4,61,1012.0,Sunny,4.888928000000001
Algeria,Algiers,2025-04-05 10:00:00,20.2,53,1015.0,Partly cloudy,3.388916
Algeria,Algiers,2025-04-06 10:00:00,18.4,49,1014.0,Partly cloudy,3.3055820000000002
Algeria,Algiers,2025-04-07 10:00:00,18.3,64,1018.0,Sunny,2.805578
Algeria,Algiers,2025-04-08 10:15:00,21.0,40,1022.0,Sunny,1.8889040000000001
Algeria,Algiers,2025-04-09 10:15:00,24.0,39,1017.0,Sunny,3.111136
Algeria,Algiers,2025-04-10 10:15:00,19.0,68,1018.0,Partly cloudy,5.305598000000001
Algeria,Algiers,2025-04-11 10:15:00,18.3,77,1016.0,Partly cloudy,5.00004
Algeria,Algiers,2025-04-12 10:15:00,24.4,54,1014.0,Partly cloudy,1.3889
Algeria,Algiers,2025-04-13 10:00:00,20.1,78,1011.0,Light rain,2.3055740000000005
Algeria,Algiers,2025-04-14 10:30:00,17.1,88,1009.0,Light rain,1.8055700000000001
Algeria,Algiers,2025-04-15 10:15:00,22.0,50,1009.0,Partly cloudy,3.8055860000000004
Algeria,Algiers,2025-04-16 10:00:00,13.3,67,1012.0,Partly cloudy,7.6945060000000005
Algeria,Algiers,2025-04-17 09:45:00,18.4,52,1018.0,Partly cloudy,6.305606
Algeria,Algiers,2025-04-18 10:15:00,22.3,46,1018.0,Sunny,1.3055660000000002
Algeria,Algiers,2025-04-19 10:00:00,20.2,64,1011.0,Cloudy,2.3889080000000003
Algeria,Algiers,2025-04-20 09:45:00,14.2,67,1014.0,Light rain,5.888936
Algeria,Algiers,2025-04-21 10:15:00,18.0,68,1018.0,Partly cloudy,5.805602
Algeria,Algiers,2025-04-22 10:00:00,19.0,49,1020.0,Sunny,1.8055700000000001
Algeria,Algiers,2025-04-23 10:00:00,18.1,64,1023.0,Sunny,1.8889040000000001
Algeria,Algiers,2025-04-24 10:00:00,20.2,60,1021.0,Sunny,2.0000160000000005
Algeria,Algiers,2025-04-25 09:45:00,20.4,56,1016.0,Overcast,1.3889
Algeria,Algiers,2025-04-26 10:00:00,21.1,60,1015.0,Partly Cloudy,2.50002
Algeria,Algiers,2025-04-27 09:45:00,20.4,73,1019.0,Partly cloudy,3.8889200000000006
Algeria,Algiers,2025-04-28 10:30:00,17.3,72,1022.0,Partly cloudy,2.0000160000000005
Algeria,Algiers,2025-04-29 09:45:00,20.1,56,1018.0,Sunny,4.611148000000001
Algeria,Algiers,2025-04-30 09:45:00,23.2,61,1014.0,Sunny,3.111136
