Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Andorra,Andorra La Vella,2025-05-01 10:45:00,9.5,41,1019.0,Sunny,2.8889120000000004
Andorra,Andorra La Vella,2025-05-02 11:00:00,11.9,57,1017.0,Patchy light drizzle,4.694482
Andorra,Andorra La Vella,2025-05-03 10:45:00,10.9,67,1015.0,Patchy rain nearby,2.805578
Andorra,Andorra La Vella,2025-05-04 10:45:00,7.6,75,1009.0,Light rain shower,1.8055700000000001
Andorra,Andorra La Vella,2025-05-05 11:00:00,18.2,64,1007.0,Overcast,1.3055660000000002
Andorra,Andorra La Vella,2025-05-06 11:00:00,1.6,65,1012.0,Patchy rain nearby,1.8055700000000001
Andorra,Andorra La Vella,2025-05-07 10:45:00,2.0,67,1015.0,Patchy rain nearby,1.0000080000000002
Andorra,Andorra La Vella,2025-05-08 10:45:00,3.0,69,1011.0,Patchy rain nearby,1.611124
Andorra,Andorra La Vella,2025-05-09 11:15:00,3.4,78,1011.0,Light rain shower,1.5000120000000003
Andorra,Andorra La Vella,2025-05-10 11:00:00,10.4,62,1013.0,Patchy rain nearby,3.1944700000000004
Andorra,Andorra La Vella,2025-05-11 10:45:00,7.0,61,1010.0,Patchy rain nearby,2.8889120000000004
Andorra,Andorra La Vella,2025-05-12 11:00:00,6.9,50,1012.0,Patchy rain nearby,2.805578
Andorra,Andorra La Vella,2025-05-13 11:15:00,12.3,52,1014.0,Thundery outbreaks in nearby,2.3889080000000003
Andorra,Andorra La Vella,2025-05-14 11:15:00,11.7,61,1014.0,Patchy light rain in area with thunder,1.3889
Andorra,Andorra La Vella,2025-05-15 11:00:00,10.1,60,1014.0,Thundery outbreaks in nearby,2.6111320000000005
Andorra,Andorra La Vella,2025-05-16 11:00:00,8.5,45,1014.0,Sunny,2.8889120000000004
Andorra,Andorra La Vella,2025-05-17 10:45:00,9.4,32,1015.0,Sunny,1.0000080000000002
Andorra,Andorra La Vella,2025-05-18 10:45:00,10.9,53,1016.0,Sunny,2.0000160000000005
Andorra,Andorra La Vella,2025-05-19 11:00:00,12.9,43,1015.0,Sunny,3.8055860000000004
Andorra,Andorra La Vella,2025-05-20 11:00:00,6.1,72,1017.0,Patchy light rain in area with thunder,2.3889080000000003
Andorra,Andorra La Vella,2025-05-21 10:45:00,17.1,68,1020.0,Partly cloudy,1.0000080000000002
Andorra,Andorra La Vella,2025-05-22 10:45:00,6.5,67,1015.0,Patchy rain nearby,2.6944660000000002
Andorra,Andorra La Vella,2025-05-23 11:00:00,10.4,42,1017.0,Sunny,3.1944700000000004
Andorra,Andorra La Vella,2025-05-24 10:45:00,10.3,34,1019.0,Sunny,2.50002
Andorra,Andorra La Vella,2025-05-25 10:30:00,14.5,42,1019.0,Sunny,1.0000080000000002
Andorra,Andorra La Vella,2025-05-26 11:00:00,13.2,60,1020.0,Thundery outbreaks in nearby,1.8055700000000001
Andorra,Andorra La Vella,2025-05-27 11:00:00,13.6,40,1021.0,Sunny,1.0000080000000002
Andorra,Andorra La Vella,2025-05-28 10:45:00,17.1,36,1024.0,Sunny,1.0000080000000002
Andorra,Andorra La Vella,2025-05-29 10:45:00,19.9,43,1024.0,Sunny,2.111128
Andorra,Andorra La Vella,2025-05-30 10:45:00,21.3,34,1022.0,Sunny,1.0000080000000002
Andorra,Andorra La Vella,2025-05-31 10:45:00,24.0,61,1021.0,Patchy rain nearby,1.0000080000000002
