Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Angola,Luanda,2024-09-01 12:45:00,24.0,75,1015.0,Partly cloudy,3.6111400000000002
Angola,Luanda,2024-09-02 13:15:00,26.2,65,1014.0,Partly cloudy,3.111136
Angola,Luanda,2024-09-03 13:15:00,26.4,65,1013.0,Sunny,6.111160000000001
Angola,Luanda,2024-09-04 13:00:00,25.4,69,1014.0,Partly cloudy,3.111136
Angola,Luanda,2024-09-05 13:00:00,26.3,65,1013.0,Partly cloudy,3.111136
Angola,Luanda,2024-09-06 13:15:00,26.4,65,1014.0,Partly cloudy,3.111136
Angola,Luanda,2024-09-07 13:00:00,24.2,74,1014.0,Partly cloudy,3.6111400000000002
Angola,Luanda,2024-09-08 13:15:00,27.1,62,1014.0,Partly cloudy,4.194478
Angola,Luanda,2024-09-09 13:30:00,26.1,65,1014.0,Partly cloudy,2.50002
Angola,Luanda,2024-09-10 13:30:00,26.3,65,1013.0,Partly cloudy,4.194478
Angola,Luanda,2024-09-11 13:00:00,23.2,78,1013.0,Overcast,1.0000080000000002
Angola,Luanda,2024-09-12 13:15:00,26.1,65,1013.0,Partly cloudy,3.6111400000000002
Angola,Luanda,2024-09-13 13:30:00,29.4,58,1012.0,Partly cloudy,5.611156
Angola,Luanda,2024-09-14 13:30:00,24.7,79,1013.0,Sunny,5.194486
Angola,Luanda,2024-09-15 13:00:00,24.3,78,1013.0,Overcast,5.611156
Angola,Luanda,2024-09-16 12:00:00,25.2,74,1014.0,Partly cloudy,3.6111400000000002
Angola,Luanda,2024-09-17 12:00:00,26.2,61,1015.0,Partly cloudy,2.8889120000000004
Angola,Luanda,2024-09-18 11:30:00,25.3,69,1014.0,Partly cloudy,3.6111400000000002
Angola,Luanda,2024-09-19 11:45:00,25.2,69,1014.0,Partly cloudy,3.8055860000000004
Angola,Luanda,2024-09-20 11:45:00,27.3,62,1013.0,Partly cloudy,3.3055820000000002
Angola,Luanda,2024-09-21 11:45:00,27.1,62,1012.0,Partly cloudy,4.111144
Angola,Luanda,2024-09-22 11:30:00,25.3,74,1013.0,Partly cloudy,4.3055900000000005
Angola,Luanda,2024-09-23 10:45:00,27.2,62,1013.0,Partly cloudy,2.111128
Angola,Luanda,2024-09-24 10:45:00,24.4,74,1013.0,Partly cloudy,2.111128
Angola,Luanda,2024-09-25 10:30:00,28.3,55,1013.0,Partly cloudy,2.6944660000000002
Angola,Luanda,2024-09-26 10:30:00,27.4,66,1013.0,Partly cloudy,3.111136
Angola,Luanda,2024-09-27 11:00:00,24.3,78,1014.0,Partly cloudy,4.194478
Angola,Luanda,2024-09-28 11:00:00,25.1,79,1014.0,Overcast,3.388916
Angola,Luanda,2024-09-29 10:30:00,27.0,66,1014.0,Partly cloudy,2.0000160000000005
Angola,Luanda,2024-09-30 10:30:00,27.3,62,1013.0,Partly cloudy,1.0000080000000002
