Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Antigua and Barbuda,Saint John's,2025-02-01 06:30:00,25.1,74,1016.0,Partly cloudy,9.805634
Antigua and Barbuda,Saint John's,2025-02-02 06:00:00,25.3,79,1015.0,Partly cloudy,10.111192
Antigua and Barbuda,Saint John's,2025-02-03 06:30:00,25.3,69,1015.0,Partly cloudy,9.000072000000001
Antigua and Barbuda,Saint John's,2025-02-04 06:30:00,24.1,69,1015.0,Overcast,7.805618000000001
Antigua and Barbuda,Saint John's,2025-02-05 06:30:00,22.3,94,1015.0,Light rain,7.50006
Antigua and Barbuda,Saint John's,2025-02-06 06:15:00,25.1,79,1016.0,Partly cloudy,9.500076000000002
Antigua and Barbuda,Saint John's,2025-02-07 06:30:00,24.3,89,1015.0,Moderate or heavy rain shower,10.69453
Antigua and Barbuda,Saint John's,2025-02-08 06:30:00,25.1,79,1015.0,Overcast,8.500068
Antigua and Barbuda,Saint John's,2025-02-09 06:15:00,25.1,83,1016.0,Light rain,10.00008
Antigua and Barbuda,Saint John's,2025-02-10 06:15:00,25.3,79,1017.0,Light rain,10.194526000000002
Antigua and Barbuda,Saint John's,2025-02-11 06:15:00,25.2,69,1016.0,Overcast,10.888976000000001
Antigua and Barbuda,Saint John's,2025-02-12 06:30:00,25.2,65,1016.0,Partly cloudy,11.388980000000002
Antigua and Barbuda,Saint John's,2025-02-13 06:15:00,23.3,83,1018.0,Light rain shower,11.694538000000001
Antigua and Barbuda,Saint John's,2025-02-14 06:00:00,25.4,69,1018.0,Partly cloudy,11.500092
Antigua and Barbuda,Saint John's,2025-02-15 06:15:00,25.3,65,1017.0,Partly cloudy,10.805642
Antigua and Barbuda,Saint John's,2025-02-16 06:15:00,25.1,65,1016.0,Overcast,9.805634
Antigua and Barbuda,Saint John's,2025-02-17 06:15:00,25.1,69,1017.0,Partly cloudy,10.69453
Antigua and Barbuda,Saint John's,2025-02-18 06:15:00,25.2,74,1016.0,Partly cloudy,8.388956
Antigua and Barbuda,Saint John's,2025-02-19 06:15:00,24.4,83,1017.0,Overcast,8.805626
Antigua and Barbuda,Saint John's,2025-02-20 06:00:00,25.0,69,1016.0,Partly cloudy,8.694514000000002
Antigua and Barbuda,Saint John's,2025-02-21 06:00:00,23.4,78,1016.0,Partly cloudy,7.50006
Antigua and Barbuda,Saint John's,2025-02-22 06:00:00,25.1,74,1017.0,Overcast,9.000072000000001
Antigua and Barbuda,Saint John's,2025-02-23 06:00:00,25.3,69,1016.0,Partly cloudy,8.694514000000002
Antigua and Barbuda,Saint John's,2025-02-24 06:00:00,25.3,69,1014.0,Partly cloudy,8.500068
Antigua and Barbuda,Saint John's,2025-02-25 06:00:00,25.3,74,1015.0,Partly cloudy,8.000064000000002
Antigua and Barbuda,Saint John's,2025-02-26 06:00:00,24.0,89,1015.0,Partly cloudy,7.888952000000001
Antigua and Barbuda,Saint John's,2025-02-27 05:45:00,22.2,83,1015.0,Partly cloudy,7.305614000000001
Antigua and Barbuda,Saint John's,2025-02-28 06:00:00,24.0,83,1014.0,Overcast,6.888944000000001
