Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Armenia,Yerevan,2025-06-01 12:45:00,29.2,18,1017.0,Sunny,1.694458
Armenia,Yerevan,2025-06-02 13:00:00,32.3,13,1011.0,Sunny,1.3889
Armenia,Yerevan,2025-06-03 13:00:00,27.1,26,1010.0,Patchy rain nearby,2.8889120000000004
Armenia,Yerevan,2025-06-04 12:45:00,23.3,31,1014.0,Moderate or heavy rain with thunder,3.8889200000000006
Armenia,Yerevan,2025-06-05 12:45:00,25.3,24,1017.0,Sunny,2.6944660000000002
Armenia,Yerevan,2025-06-06 12:45:00,25.1,30,1016.0,Patchy light rain with thunder,2.6111320000000005
Armenia,Yerevan,2025-06-07 12:45:00,25.2,24,1018.0,Sunny,1.694458
Armenia,Yerevan,2025-06-08 13:00:00,25.3,22,1019.0,Sunny,2.6111320000000005
Armenia,Yerevan,2025-06-09 13:00:00,27.4,26,1015.0,Patchy rain nearby,2.3889080000000003
Armenia,Yerevan,2025-06-10 13:00:00,27.0,26,1014.0,Partly cloudy,2.6944660000000002
Armenia,Yerevan,2025-06-11 12:45:00,28.1,23,1015.0,Sunny,2.3055740000000005
Armenia,Yerevan,2025-06-12 12:45:00,29.2,19,1015.0,Sunny,2.111128
Armenia,Yerevan,2025-06-13 13:00:00,30.1,22,1016.0,Partly cloudy,1.611124
Armenia,Yerevan,2025-06-14 13:00:00,30.3,25,1010.0,Sunny,2.0000160000000005
Armenia,Yerevan,2025-06-15 12:45:00,29.3,27,1008.0,Sunny,2.3889080000000003
Armenia,Yerevan,2025-06-16 13:00:00,25.3,28,1008.0,Patchy rain nearby,3.8889200000000006
Armenia,Yerevan,2025-06-17 13:00:00,23.4,27,1010.0,Patchy rain nearby,2.6944660000000002
Armenia,Yerevan,2025-06-18 13:15:00,23.2,25,1016.0,Sunny,2.8889120000000004
Armenia,Yerevan,2025-06-19 13:00:00,27.2,18,1016.0,Sunny,2.111128
Armenia,Yerevan,2025-06-20 12:45:00,28.1,22,1012.0,Sunny,2.194462
Armenia,Yerevan,2025-06-21 12:45:00,31.2,26,1009.0,Sunny,2.3889080000000003
Armenia,Yerevan,2025-06-22 12:30:00,27.3,28,1012.0,Patchy rain nearby,1.694458
Armenia,Yerevan,2025-06-23 13:00:00,25.4,32,1010.0,Patchy rain nearby,3.111136
Armenia,Yerevan,2025-06-24 12:45:00,26.3,13,1014.0,Sunny,2.805578
Armenia,Yerevan,2025-06-25 13:00:00,26.4,18,1015.0,Sunny,1.5000120000000003
Armenia,Yerevan,2025-06-26 13:00:00,28.3,23,1014.0,Sunny,2.194462
Armenia,Yerevan,2025-06-27 13:00:00,30.3,18,1013.0,Sunny,2.3055740000000005
Armenia,Yerevan,2025-06-28 12:15:00,30.0,21,1011.0,Sunny,1.0000080000000002
Armenia,Yerevan,2025-06-29 12:30:00,29.2,29,1003.0,Patchy rain nearby,1.0000080000000002
Armenia,Yerevan,2025-06-30 12:45:00,27.1,32,1003.0,Partly cloudy,2.3055740000000005
