Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Australia,Canberra,2024-12-01 21:45:00,19.0,56,1008.0,Clear,1.0000080000000002
Australia,Canberra,2024-12-02 21:45:00,20.2,60,1009.0,Clear,1.8055700000000001
Australia,Canberra,2024-12-03 21:45:00,18.4,98,1010.0,Fog,2.111128
Australia,Canberra,2024-12-04 21:30:00,18.0,77,1020.0,Overcast,3.0000240000000007
Australia,Canberra,2024-12-05 21:30:00,19.7,74,1017.0,Clear,1.1944540000000001
Australia,Canberra,2024-12-06 21:45:00,20.4,100,1017.0,Overcast,1.3889
Australia,Canberra,2024-12-07 21:30:00,22.3,83,1009.0,Clear,2.3055740000000005
Australia,Canberra,2024-12-08 21:30:00,13.3,73,1015.0,Clear,2.6944660000000002
Australia,Canberra,2024-12-09 21:45:00,12.0,69,1014.0,Clear,1.0000080000000002
Australia,Canberra,2024-12-10 21:45:00,16.2,82,1013.0,Partly cloudy,4.611148000000001
Australia,Canberra,2024-12-11 21:45:00,14.2,55,1008.0,Clear,1.11112
Australia,Canberra,2024-12-12 21:30:00,15.9,68,1008.0,Clear,1.3055660000000002
Australia,Canberra,2024-12-13 22:00:00,14.3,92,1011.0,Partly Cloudy,3.3055820000000002
Australia,Canberra,2024-12-14 22:00:00,18.2,73,1011.0,Clear,2.111128
Australia,Canberra,2024-12-15 21:30:00,18.1,72,1015.0,Clear,2.8889120000000004
Australia,Canberra,2024-12-16 21:45:00,27.2,48,1010.0,Clear,1.694458
Australia,Canberra,2024-12-17 21:15:00,16.2,88,1013.0,Partly cloudy,4.388924
Australia,Canberra,2024-12-18 21:30:00,11.5,77,1020.0,Clear,5.3889320000000005
Australia,Canberra,2024-12-19 21:30:00,12.9,75,1018.0,Clear,3.5000280000000004
Australia,Canberra,2024-12-20 21:45:00,15.3,65,1010.0,Clear,3.5000280000000004
Australia,Canberra,2024-12-21 21:45:00,14.7,82,1011.0,Partly Cloudy,4.500036000000001
Australia,Canberra,2024-12-22 21:15:00,18.0,24,1002.0,Partly Cloudy,1.611124
Australia,Canberra,2024-12-23 21:45:00,12.9,35,1007.0,Clear,4.194478
Australia,Canberra,2024-12-24 21:45:00,13.3,71,1015.0,Clear,4.000032000000001
Australia,Canberra,2024-12-25 21:15:00,16.0,79,1017.0,Clear,3.3055820000000002
Australia,Canberra,2024-12-26 20:45:00,26.2,28,1005.0,Sunny,4.388924
Australia,Canberra,2024-12-27 21:45:00,14.3,59,1007.0,Clear,3.8889200000000006
Australia,Canberra,2024-12-28 21:45:00,14.7,32,1011.0,Clear,2.0000160000000005
Australia,Canberra,2024-12-29 21:15:00,17.1,77,1018.0,Partly cloudy,3.1944700000000004
Australia,Canberra,2024-12-30 21:30:00,19.4,49,1013.0,Clear,3.1944700000000004
Australia,Canberra,2024-12-31 21:30:00,19.4,78,1016.0,Overcast,2.6111320000000005
