Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Austria,Vienna,2024-08-01 14:15:00,33.5,31,1009.0,Patchy rain nearby,1.0000080000000002
Austria,Vienna,2024-08-02 14:15:00,29.8,39,1007.0,Partly Cloudy,6.805610000000001
Austria,Vienna,2024-08-03 14:30:00,28.1,32,1010.0,Partly Cloudy,4.3055900000000005
Austria,Vienna,2024-08-04 14:30:00,24.5,50,1013.0,Partly Cloudy,4.500036000000001
Austria,Vienna,2024-08-05 14:30:00,22.5,57,1014.0,Patchy rain nearby,4.3055900000000005
Austria,Vienna,2024-08-06 14:15:00,28.1,28,1013.0,Sunny,1.0000080000000002
Austria,Vienna,2024-08-07 14:00:00,31.5,33,1011.0,Sunny,1.3055660000000002
Austria,Vienna,2024-08-08 14:15:00,28.5,43,1014.0,Patchy rain nearby,6.000048000000001
Austria,Vienna,2024-08-09 14:30:00,29.2,32,1016.0,Sunny,3.3055820000000002
Austria,Vienna,2024-08-10 14:30:00,29.3,44,1019.0,Partly Cloudy,2.6111320000000005
Austria,Vienna,2024-08-11 14:15:00,33.8,29,1018.0,Sunny,2.3889080000000003
Austria,Vienna,2024-08-12 14:30:00,34.3,33,1012.0,Sunny,1.8889040000000001
Austria,Vienna,2024-08-13 14:30:00,32.2,36,1011.0,Sunny,1.8055700000000001
Austria,Vienna,2024-08-14 14:30:00,32.0,41,1012.0,Partly cloudy,6.111160000000001
Austria,Vienna,2024-08-15 14:15:00,31.3,41,1016.0,Sunny,3.6111400000000002
Austria,Vienna,2024-08-16 14:15:00,33.1,41,1016.0,Sunny,3.111136
Austria,Vienna,2024-08-17 14:15:00,31.4,46,1012.0,Sunny,2.50002
Austria,Vienna,2024-08-18 14:00:00,27.2,66,1008.0,Partly cloudy,5.305598000000001
Austria,Vienna,2024-08-19 14:30:00,26.4,61,1013.0,Partly cloudy,6.111160000000001
Austria,Vienna,2024-08-20 14:15:00,27.1,58,1013.0,Sunny,4.694482
Austria,Vienna,2024-08-21 14:15:00,22.0,73,1015.0,Light rain,5.305598000000001
Austria,Vienna,2024-08-22 14:00:00,24.3,39,1016.0,Sunny,1.0000080000000002
Austria,Vienna,2024-08-23 14:15:00,28.3,45,1015.0,Sunny,4.194478
Austria,Vienna,2024-08-24 14:00:00,31.1,49,1016.0,Sunny,5.305598000000001
Austria,Vienna,2024-08-25 14:00:00,32.3,36,1016.0,Sunny,9.694522000000001
Austria,Vienna,2024-08-26 14:15:00,27.0,48,1019.0,Sunny,5.611156
Austria,Vienna,2024-08-27 14:15:00,26.1,51,1020.0,Sunny,5.305598000000001
Austria,Vienna,2024-08-28 14:30:00,32.1,41,1019.0,Sunny,3.111136
Austria,Vienna,2024-08-29 14:00:00,31.2,43,1018.0,Sunny,2.50002
Austria,Vienna,2024-08-30 14:15:00,32.1,41,1018.0,Sunny,1.0000080000000002
Austria,Vienna,2024-08-31 14:00:00,32.2,36,1019.0,Sunny,4.194478
