Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Azerbaijan,Baku,2024-05-16 12:45:00,17.0,68,1020.0,Partly cloudy,1.8889040000000001
Azerbaijan,Baku,2024-05-16 18:00:00,17.0,59,1019.0,Partly cloudy,5.305598000000001
Azerbaijan,Baku,2024-05-17 20:00:00,14.0,72,1017.0,Partly cloudy,8.305622
Azerbaijan,Baku,2024-05-18 18:30:00,16.0,59,1020.0,Partly cloudy,3.111136
Azerbaijan,Baku,2024-05-19 18:00:00,18.0,64,1016.0,Partly cloudy,9.194518
Azerbaijan,Baku,2024-05-20 18:45:00,21.0,38,1017.0,Partly cloudy,5.305598000000001
Azerbaijan,Baku,2024-05-21 18:45:00,21.0,46,1020.0,Sunny,3.111136
Azerbaijan,Baku,2024-05-22 18:15:00,21.0,38,1017.0,Partly cloudy,4.194478
Azerbaijan,Baku,2024-05-23 18:00:00,22.0,53,1014.0,Sunny,4.194478
Azerbaijan,Baku,2024-05-24 18:30:00,23.0,41,1017.0,Partly cloudy,5.305598000000001
Azerbaijan,Baku,2024-05-25 18:00:00,20.0,64,1020.0,Sunny,7.194502
Azerbaijan,Baku,2024-05-26 18:00:00,23.0,41,1013.0,Mist,4.194478
Azerbaijan,Baku,2024-05-27 18:30:00,20.0,53,1016.0,Sunny,12.194542
Azerbaijan,Baku,2024-05-28 18:30:00,25.0,41,1016.0,Sunny,5.305598000000001
Azerbaijan,Baku,2024-05-29 18:00:00,23.0,61,1011.0,Sunny,9.194518
Azerbaijan,Baku,2024-05-30 17:45:00,28.0,33,1012.0,Sunny,5.305598000000001
Azerbaijan,Baku,2024-05-31 18:15:00,26.0,48,1010.0,Sunny,7.194502
