Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Bahamas,Nassau,2025-06-01 04:45:00,27.2,79,1015.0,Clear,4.000032000000001
Bahamas,Nassau,2025-06-02 05:00:00,26.3,89,1016.0,Partly cloudy,6.305606
Bahamas,Nassau,2025-06-03 05:00:00,22.4,100,1018.0,Light rain,1.8055700000000001
Bahamas,Nassau,2025-06-04 04:45:00,27.1,84,1017.0,Partly cloudy,10.805642
Bahamas,Nassau,2025-06-05 04:45:00,27.3,79,1018.0,Partly cloudy,8.611180000000001
Bahamas,Nassau,2025-06-06 04:45:00,26.3,84,1018.0,Overcast,5.500044000000001
Bahamas,Nassau,2025-06-07 04:45:00,25.1,89,1017.0,Partly cloudy,4.111144
Bahamas,Nassau,2025-06-08 05:00:00,26.3,84,1017.0,Overcast,5.888936
Bahamas,Nassau,2025-06-09 04:45:00,27.1,79,1017.0,Clear,7.305614000000001
Bahamas,Nassau,2025-06-10 05:00:00,28.1,79,1018.0,Partly cloudy,8.500068
Bahamas,Nassau,2025-06-11 04:45:00,28.2,74,1019.0,Moderate or heavy rain with thunder,7.888952000000001
Bahamas,Nassau,2025-06-12 04:45:00,27.3,79,1019.0,Partly cloudy,7.805618000000001
Bahamas,Nassau,2025-06-13 04:45:00,27.1,79,1019.0,Partly cloudy,7.194502
Bahamas,Nassau,2025-06-14 05:00:00,28.1,74,1021.0,Partly Cloudy,7.388948000000001
Bahamas,Nassau,2025-06-15 04:45:00,27.1,74,1021.0,Cloudy,7.388948000000001
Bahamas,Nassau,2025-06-16 05:00:00,27.1,74,1020.0,Overcast,6.805610000000001
Bahamas,Nassau,2025-06-17 05:00:00,27.0,79,1019.0,Partly cloudy,6.388940000000001
Bahamas,Nassau,2025-06-18 05:00:00,28.4,79,1020.0,Partly cloudy,6.888944000000001
Bahamas,Nassau,2025-06-19 05:00:00,27.4,74,1021.0,Overcast,6.000048000000001
Bahamas,Nassau,2025-06-20 05:00:00,27.3,74,1019.0,Partly cloudy,4.111144
Bahamas,Nassau,2025-06-21 04:45:00,27.1,79,1019.0,Partly cloudy,5.111152
Bahamas,Nassau,2025-06-22 04:45:00,27.2,84,1019.0,Partly cloudy,7.50006
Bahamas,Nassau,2025-06-23 04:45:00,26.0,79,1020.0,Partly Cloudy,7.194502
Bahamas,Nassau,2025-06-24 04:45:00,27.3,79,1019.0,Overcast,6.6111640000000005
Bahamas,Nassau,2025-06-25 05:00:00,27.2,79,1019.0,Overcast,5.500044000000001
Bahamas,Nassau,2025-06-26 04:45:00,28.1,66,1017.0,Partly Cloudy,5.805602
Bahamas,Nassau,2025-06-27 05:00:00,27.4,89,1019.0,Partly cloudy,6.500052
Bahamas,Nassau,2025-06-28 04:30:00,27.0,84,1020.0,Partly cloudy,5.888936
Bahamas,Nassau,2025-06-29 04:45:00,27.3,84,1020.0,Partly cloudy,4.500036000000001
Bahamas,Nassau,2025-06-30 05:00:00,27.3,79,1020.0,Moderate or heavy rain with thunder,5.00004
