Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Bahrain,Manama,2025-06-01 11:45:00,35.3,42,1005.0,Sunny,9.30563
Bahrain,Manama,2025-06-02 12:00:00,37.2,33,1004.0,Sunny,8.194510000000001
Bahrain,Manama,2025-06-03 12:00:00,34.0,41,1003.0,Sunny,11.805650000000002
Bahrain,Manama,2025-06-04 12:00:00,34.1,36,1003.0,Sunny,11.388980000000002
Bahrain,Manama,2025-06-05 11:45:00,35.1,35,1006.0,Sunny,5.805602
Bahrain,Manama,2025-06-06 11:45:00,36.2,22,1007.0,Sunny,4.3055900000000005
Bahrain,Manama,2025-06-07 11:45:00,36.4,37,1007.0,Sunny,1.1944540000000001
Bahrain,Manama,2025-06-08 11:45:00,35.3,50,1006.0,Sunny,1.3055660000000002
Bahrain,Manama,2025-06-09 11:45:00,37.2,13,1006.0,Sunny,2.8889120000000004
Bahrain,Manama,2025-06-10 12:00:00,36.2,33,1003.0,Sunny,2.805578
Bahrain,Manama,2025-06-11 11:45:00,38.4,33,1003.0,Sunny,4.888928000000001
Bahrain,Manama,2025-06-12 11:45:00,40.3,23,1003.0,Sunny,2.194462
Bahrain,Manama,2025-06-13 12:00:00,40.2,17,1003.0,Sunny,3.5000280000000004
Bahrain,Manama,2025-06-14 12:00:00,41.3,14,1001.0,Sunny,2.8889120000000004
Bahrain,Manama,2025-06-15 11:45:00,39.4,38,998.0,Sunny,5.00004
Bahrain,Manama,2025-06-16 12:00:00,41.2,22,997.0,Sunny,4.888928000000001
Bahrain,Manama,2025-06-17 12:00:00,39.3,36,998.0,Sunny,8.805626
Bahrain,Manama,2025-06-18 12:00:00,36.3,42,1000.0,Sunny,9.805634
Bahrain,Manama,2025-06-19 12:00:00,35.2,39,1000.0,Sunny,11.194534
Bahrain,Manama,2025-06-20 12:00:00,36.3,37,1000.0,Sunny,9.30563
Bahrain,Manama,2025-06-21 11:45:00,36.1,42,1000.0,Sunny,7.50006
Bahrain,Manama,2025-06-22 11:30:00,37.2,33,1000.0,Sunny,7.388948000000001
Bahrain,Manama,2025-06-23 12:00:00,37.0,37,998.0,Sunny,6.694498000000001
Bahrain,Manama,2025-06-24 12:00:00,38.1,31,997.0,Sunny,7.50006
Bahrain,Manama,2025-06-25 12:00:00,38.3,31,997.0,Sunny,9.888968000000002
Bahrain,Manama,2025-06-26 11:45:00,38.4,29,998.0,Sunny,7.305614000000001
Bahrain,Manama,2025-06-27 12:00:00,38.2,38,997.0,Sunny,6.888944000000001
Bahrain,Manama,2025-06-28 11:15:00,38.1,35,996.0,Sunny,7.50006
Bahrain,Manama,2025-06-29 11:30:00,43.0,9,995.0,Sunny,3.3055820000000002
Bahrain,Manama,2025-06-30 11:45:00,43.2,9,994.0,Sunny,4.3055900000000005
