Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Bangladesh,Dhaka,2024-09-01 17:45:00,31.7,64,1004.0,Patchy rain nearby,4.194478
Bangladesh,Dhaka,2024-09-02 18:15:00,31.4,66,1004.0,Patchy rain nearby,3.1944700000000004
Bangladesh,Dhaka,2024-09-03 18:15:00,30.8,69,1004.0,Sunny,4.111144
Bangladesh,Dhaka,2024-09-04 18:00:00,30.8,68,1001.0,Patchy rain nearby,3.1944700000000004
Bangladesh,Dhaka,2024-09-05 18:00:00,31.4,64,1000.0,Sunny,3.0000240000000007
Bangladesh,Dhaka,2024-09-06 18:15:00,33.1,61,1000.0,Partly Cloudy,1.0000080000000002
Bangladesh,Dhaka,2024-09-07 18:00:00,33.2,58,1001.0,Cloudy,2.3055740000000005
Bangladesh,Dhaka,2024-09-08 18:15:00,31.3,66,1001.0,Partly Cloudy,4.694482
Bangladesh,Dhaka,2024-09-09 18:30:00,30.6,69,1000.0,Sunny,5.611156
Bangladesh,Dhaka,2024-09-10 18:30:00,30.4,70,1000.0,Partly Cloudy,5.888936
Bangladesh,Dhaka,2024-09-11 18:00:00,30.7,73,1000.0,Patchy rain nearby,4.000032000000001
Bangladesh,Dhaka,2024-09-12 18:15:00,32.9,62,998.0,Partly Cloudy,1.1944540000000001
Bangladesh,Dhaka,2024-09-13 18:30:00,26.1,87,998.0,Patchy rain nearby,3.8889200000000006
Bangladesh,Dhaka,2024-09-14 18:30:00,24.9,93,997.0,Light drizzle,8.805626
Bangladesh,Dhaka,2024-09-15 18:00:00,26.3,85,1000.0,Light rain shower,7.111168000000001
Bangladesh,Dhaka,2024-09-16 17:00:00,31.0,66,1002.0,Sunny,4.611148000000001
Bangladesh,Dhaka,2024-09-17 17:00:00,32.1,65,1002.0,Patchy rain nearby,2.0000160000000005
Bangladesh,Dhaka,2024-09-18 16:30:00,32.3,65,1001.0,Patchy rain nearby,2.805578
Bangladesh,Dhaka,2024-09-19 16:45:00,33.8,60,1000.0,Thundery outbreaks in nearby,2.6111320000000005
Bangladesh,Dhaka,2024-09-20 16:45:00,36.8,47,1000.0,Thundery outbreaks in nearby,2.805578
Bangladesh,Dhaka,2024-09-21 16:45:00,32.5,64,1001.0,Thundery outbreaks in nearby,6.388940000000001
Bangladesh,Dhaka,2024-09-22 16:30:00,36.8,48,999.0,Sunny,2.111128
Bangladesh,Dhaka,2024-09-23 15:45:00,33.8,61,1001.0,Thundery outbreaks in nearby,1.611124
Bangladesh,Dhaka,2024-09-24 15:45:00,32.2,61,1003.0,Cloudy,6.194494000000001
Bangladesh,Dhaka,2024-09-25 15:30:00,24.8,98,1004.0,Heavy rain,2.805578
Bangladesh,Dhaka,2024-09-26 15:30:00,24.5,97,1007.0,Moderate or heavy rain shower,2.805578
Bangladesh,Dhaka,2024-09-27 16:00:00,31.1,64,1007.0,Patchy rain nearby,3.0000240000000007
Bangladesh,Dhaka,2024-09-28 16:00:00,32.1,61,1007.0,Patchy rain nearby,2.805578
Bangladesh,Dhaka,2024-09-29 15:30:00,33.0,62,1006.0,Light rain shower,3.1944700000000004
Bangladesh,Dhaka,2024-09-30 15:30:00,33.5,57,1003.0,Patchy rain nearby,3.3055820000000002
