Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Barbados,Bridgetown,2024-06-01 10:15:00,29.0,84,1014.0,Partly cloudy,10.305638000000002
Barbados,Bridgetown,2024-06-02 10:00:00,28.0,89,1015.0,Light rain shower,8.611180000000001
Barbados,Bridgetown,2024-06-03 10:15:00,30.0,79,1014.0,Partly cloudy,7.805618000000001
Barbados,Bridgetown,2024-06-04 10:15:00,28.0,89,1015.0,Light rain,7.194502
Barbados,Bridgetown,2024-06-05 10:15:00,30.0,75,1015.0,Partly cloudy,6.111160000000001
Barbados,Bridgetown,2024-06-06 10:00:00,30.0,75,1014.0,Partly cloudy,7.194502
Barbados,Bridgetown,2024-06-07 10:00:00,30.2,70,1016.0,Partly cloudy,8.611180000000001
Barbados,Bridgetown,2024-06-08 10:15:00,30.1,75,1016.0,Partly cloudy,9.694522000000001
Barbados,Bridgetown,2024-06-09 10:15:00,30.1,79,1015.0,Partly cloudy,8.611180000000001
Barbados,Bridgetown,2024-06-10 10:15:00,30.2,75,1014.0,Partly cloudy,8.305622
Barbados,Bridgetown,2024-06-11 10:00:00,30.3,75,1015.0,Partly cloudy,10.305638000000002
Barbados,Bridgetown,2024-06-12 10:15:00,30.2,79,1015.0,Partly cloudy,8.305622
Barbados,Bridgetown,2024-06-13 10:00:00,30.3,75,1014.0,Partly cloudy,5.305598000000001
Barbados,Bridgetown,2024-06-14 10:00:00,30.2,75,1014.0,Partly cloudy,6.111160000000001
Barbados,Bridgetown,2024-06-15 10:00:00,28.5,71,1016.0,Patchy rain nearby,6.6111640000000005
Barbados,Bridgetown,2024-06-16 09:45:00,28.6,74,1015.0,Patchy rain nearby,6.305606
Barbados,Bridgetown,2024-06-17 10:00:00,30.0,75,1013.0,Partly cloudy,7.194502
Barbados,Bridgetown,2024-06-18 09:45:00,28.6,72,1013.0,Patchy rain nearby,8.111176
Barbados,Bridgetown,2024-06-19 09:45:00,28.2,73,1014.0,Patchy rain nearby,7.805618000000001
Barbados,Bridgetown,2024-06-20 09:45:00,30.2,75,1013.0,Partly cloudy,7.805618000000001
Barbados,Bridgetown,2024-06-21 09:30:00,30.2,75,1013.0,Partly cloudy,8.611180000000001
Barbados,Bridgetown,2024-06-22 09:45:00,30.0,84,1013.0,Partly cloudy,7.805618000000001
Barbados,Bridgetown,2024-06-23 09:45:00,29.3,84,1013.0,Overcast,6.111160000000001
Barbados,Bridgetown,2024-06-24 09:45:00,26.0,94,1014.0,Overcast,7.805618000000001
Barbados,Bridgetown,2024-06-25 09:15:00,28.5,77,1016.0,Patchy rain nearby,8.805626
Barbados,Bridgetown,2024-06-26 09:30:00,29.4,84,1015.0,Overcast,7.194502
Barbados,Bridgetown,2024-06-27 09:00:00,28.1,84,1014.0,Partly cloudy,7.805618000000001
Barbados,Bridgetown,2024-06-28 09:15:00,30.3,75,1013.0,Partly cloudy,8.611180000000001
Barbados,Bridgetown,2024-06-29 08:45:00,29.2,79,1014.0,Partly cloudy,9.694522000000001
Barbados,Bridgetown,2024-06-30 09:30:00,30.4,75,1014.0,Partly cloudy,11.888984
