Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Belarus,Minsk,2024-10-01 13:00:00,10.1,76,1015.0,Partly cloudy,3.5000280000000004
Belarus,Minsk,2024-10-02 12:30:00,11.3,76,1014.0,Partly cloudy,3.0000240000000007
Belarus,Minsk,2024-10-03 12:30:00,12.3,82,1013.0,Partly cloudy,4.500036000000001
Belarus,Minsk,2024-10-04 12:45:00,12.1,88,1013.0,Partly cloudy,2.50002
Belarus,Minsk,2024-10-05 12:30:00,12.3,63,1018.0,Partly Cloudy,3.6944740000000005
Belarus,Minsk,2024-10-06 12:15:00,8.0,100,1011.0,Light rain,5.00004
Belarus,Minsk,2024-10-07 12:45:00,9.4,93,1008.0,Overcast,4.111144
Belarus,Minsk,2024-10-08 12:45:00,13.2,67,1012.0,Sunny,3.6111400000000002
Belarus,Minsk,2024-10-09 12:45:00,16.0,59,1009.0,Sunny,6.805610000000001
Belarus,Minsk,2024-10-10 12:45:00,18.2,65,1002.0,Sunny,6.888944000000001
Belarus,Minsk,2024-10-11 12:30:00,13.4,100,1004.0,Overcast,2.194462
Belarus,Minsk,2024-10-12 12:45:00,10.3,71,1019.0,Partly cloudy,5.500044000000001
Belarus,Minsk,2024-10-13 12:30:00,9.0,71,1014.0,Sunny,2.111128
Belarus,Minsk,2024-10-14 12:30:00,6.0,93,1006.0,Light rain,1.611124
Belarus,Minsk,2024-10-15 12:30:00,10.3,65,1017.0,Partly Cloudy,4.805594000000001
Belarus,Minsk,2024-10-16 12:30:00,9.1,56,1029.0,Partly Cloudy,5.194486
Belarus,Minsk,2024-10-17 12:30:00,8.4,71,1035.0,Sunny,1.0000080000000002
Belarus,Minsk,2024-10-18 12:30:00,9.3,66,1032.0,Sunny,2.194462
Belarus,Minsk,2024-10-19 12:15:00,7.3,70,1033.0,Sunny,2.6111320000000005
Belarus,Minsk,2024-10-20 12:30:00,9.2,62,1034.0,Sunny,2.194462
Belarus,Minsk,2024-10-21 12:15:00,9.2,62,1031.0,Sunny,5.500044000000001
Belarus,Minsk,2024-10-22 12:15:00,10.3,76,1025.0,Partly cloudy,3.5000280000000004
Belarus,Minsk,2024-10-23 12:15:00,12.4,67,1025.0,Partly cloudy,8.305622
Belarus,Minsk,2024-10-24 12:15:00,9.3,81,1029.0,Partly cloudy,5.694490000000001
Belarus,Minsk,2024-10-25 12:15:00,9.1,87,1027.0,Partly cloudy,3.5000280000000004
Belarus,Minsk,2024-10-26 12:15:00,9.8,61,1031.0,Sunny,3.0000240000000007
Belarus,Minsk,2024-10-27 12:15:00,11.7,58,1022.0,Sunny,2.3055740000000005
Belarus,Minsk,2024-10-28 12:15:00,12.2,71,1019.0,Partly cloudy,6.500052
Belarus,Minsk,2024-10-29 12:00:00,9.3,76,1022.0,Sunny,3.3055820000000002
Belarus,Minsk,2024-10-30 12:00:00,9.3,100,1016.0,Mist,5.3889320000000005
Belarus,Minsk,2024-10-31 12:00:00,9.1,76,1016.0,Partly cloudy,5.611156
