Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Belize,Belmopan,2024-08-01 06:15:00,23.4,99,1015.0,Patchy rain nearby,1.0000080000000002
Belize,Belmopan,2024-08-02 06:15:00,22.7,99,1015.0,Fog,1.0000080000000002
Belize,Belmopan,2024-08-03 06:30:00,23.0,98,1013.0,Fog,1.3055660000000002
Belize,Belmopan,2024-08-04 06:30:00,22.8,98,1012.0,Fog,1.0000080000000002
Belize,Belmopan,2024-08-05 06:30:00,23.8,95,1014.0,Sunny,1.0000080000000002
Belize,Belmopan,2024-08-06 06:15:00,24.9,98,1015.0,Fog,1.0000080000000002
Belize,Belmopan,2024-08-07 06:00:00,24.3,97,1013.0,Fog,1.0000080000000002
Belize,Belmopan,2024-08-08 06:15:00,23.6,96,1010.0,Mist,1.0000080000000002
Belize,Belmopan,2024-08-09 06:30:00,23.3,98,1012.0,Light drizzle,1.0000080000000002
Belize,Belmopan,2024-08-10 06:30:00,23.7,98,1014.0,Fog,1.0000080000000002
Belize,Belmopan,2024-08-11 06:15:00,24.5,99,1015.0,Fog,1.0000080000000002
Belize,Belmopan,2024-08-12 06:30:00,23.4,99,1014.0,Fog,1.0000080000000002
Belize,Belmopan,2024-08-13 06:30:00,23.4,99,1014.0,Fog,1.0000080000000002
Belize,Belmopan,2024-08-14 06:30:00,24.4,97,1013.0,Mist,1.0000080000000002
Belize,Belmopan,2024-08-15 06:15:00,24.3,99,1013.0,Fog,1.0000080000000002
Belize,Belmopan,2024-08-16 06:15:00,24.0,97,1013.0,Mist,1.0000080000000002
Belize,Belmopan,2024-08-17 06:15:00,24.3,94,1013.0,Mist,1.11112
Belize,Belmopan,2024-08-18 06:00:00,23.8,93,1013.0,Patchy rain nearby,1.0000080000000002
Belize,Belmopan,2024-08-19 06:30:00,24.1,96,1014.0,Mist,1.0000080000000002
Belize,Belmopan,2024-08-20 06:15:00,23.4,99,1014.0,Patchy rain nearby,1.0000080000000002
Belize,Belmopan,2024-08-21 06:15:00,23.9,99,1014.0,Fog,1.0000080000000002
Belize,Belmopan,2024-08-22 06:00:00,24.6,98,1013.0,Fog,1.0000080000000002
Belize,Belmopan,2024-08-23 06:15:00,23.5,99,1014.0,Overcast,1.0000080000000002
Belize,Belmopan,2024-08-24 06:00:00,23.0,99,1015.0,Fog,1.0000080000000002
Belize,Belmopan,2024-08-25 06:00:00,23.6,98,1015.0,Fog,1.0000080000000002
Belize,Belmopan,2024-08-26 06:15:00,23.9,99,1015.0,Fog,1.0000080000000002
Belize,Belmopan,2024-08-27 06:15:00,22.7,98,1014.0,Fog,1.0000080000000002
Belize,Belmopan,2024-08-28 06:30:00,24.1,96,1013.0,Mist,1.0000080000000002
Belize,Belmopan,2024-08-29 06:00:00,24.0,98,1013.0,Cloudy,1.0000080000000002
Belize,Belmopan,2024-08-30 06:15:00,24.5,99,1013.0,Fog,1.0000080000000002
Belize,Belmopan,2024-08-31 06:00:00,24.6,98,1012.0,Fog,1.0000080000000002
