Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Benin,Porto-Novo,2025-02-01 11:30:00,31.1,71,1011.0,Partly cloudy,3.0000240000000007
Benin,Porto-Novo,2025-02-02 11:15:00,28.1,84,1011.0,Patchy light rain with thunder,2.50002
Benin,Porto-Novo,2025-02-03 11:30:00,30.3,75,1010.0,Partly cloudy,2.194462
Benin,Porto-Novo,2025-02-04 11:30:00,31.3,75,1009.0,Partly cloudy,2.3055740000000005
Benin,Porto-Novo,2025-02-05 11:30:00,31.1,75,1011.0,Partly cloudy,4.000032000000001
Benin,Porto-Novo,2025-02-06 11:15:00,32.3,67,1009.0,Partly cloudy,3.0000240000000007
Benin,Porto-Novo,2025-02-07 11:30:00,31.2,71,1009.0,Partly cloudy,2.8889120000000004
Benin,Porto-Novo,2025-02-08 11:30:00,32.3,71,1010.0,Partly cloudy,3.388916
Benin,Porto-Novo,2025-02-09 11:15:00,31.4,71,1011.0,Partly cloudy,2.50002
Benin,Porto-Novo,2025-02-10 11:15:00,32.0,67,1009.0,Partly cloudy,1.694458
Benin,Porto-Novo,2025-02-11 11:15:00,31.2,79,1008.0,Partly cloudy,3.111136
Benin,Porto-Novo,2025-02-12 11:15:00,31.1,75,1010.0,Partly cloudy,1.694458
Benin,Porto-Novo,2025-02-13 11:15:00,31.4,75,1011.0,Partly cloudy,1.694458
Benin,Porto-Novo,2025-02-14 11:00:00,30.1,79,1011.0,Partly cloudy,3.1944700000000004
Benin,Porto-Novo,2025-02-15 11:15:00,31.1,71,1011.0,Partly cloudy,2.3055740000000005
Benin,Porto-Novo,2025-02-16 11:15:00,30.4,79,1010.0,Partly cloudy,1.5000120000000003
Benin,Porto-Novo,2025-02-17 11:15:00,31.0,75,1010.0,Partly cloudy,1.8889040000000001
Benin,Porto-Novo,2025-02-18 11:15:00,31.4,79,1011.0,Partly cloudy,3.6111400000000002
Benin,Porto-Novo,2025-02-19 11:15:00,31.4,75,1012.0,Partly cloudy,3.6111400000000002
Benin,Porto-Novo,2025-02-20 11:00:00,30.2,84,1012.0,Partly cloudy,3.388916
Benin,Porto-Novo,2025-02-21 11:00:00,30.4,79,1010.0,Partly cloudy,4.3055900000000005
Benin,Porto-Novo,2025-02-22 11:00:00,30.3,84,1011.0,Partly cloudy,4.000032000000001
Benin,Porto-Novo,2025-02-23 11:15:00,28.2,79,1010.0,Partly cloudy,3.1944700000000004
Benin,Porto-Novo,2025-02-24 11:00:00,30.1,79,1011.0,Partly cloudy,2.8889120000000004
Benin,Porto-Novo,2025-02-25 11:00:00,30.2,79,1012.0,Partly cloudy,3.3055820000000002
Benin,Porto-Novo,2025-02-26 11:00:00,30.2,79,1012.0,Partly cloudy,3.0000240000000007
Benin,Porto-Novo,2025-02-27 10:45:00,29.0,79,1012.0,Partly cloudy,2.6111320000000005
Benin,Porto-Novo,2025-02-28 11:00:00,30.3,79,1011.0,Partly cloudy,2.8889120000000004
