Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Bhutan,Thimphu,2024-05-16 14:45:00,18.2,50,1012.0,Patchy light rain in area with thunder,3.1944700000000004
Bhutan,Thimphu,2024-05-16 20:00:00,10.5,90,1017.0,Patchy rain nearby,1.611124
Bhutan,Thimphu,2024-05-17 22:00:00,10.5,93,1017.0,Patchy rain nearby,1.1944540000000001
Bhutan,Thimphu,2024-05-18 20:30:00,9.9,93,1013.0,Patchy rain nearby,1.611124
Bhutan,Thimphu,2024-05-19 20:00:00,10.5,92,1012.0,Patchy rain nearby,1.694458
Bhutan,Thimphu,2024-05-20 20:45:00,10.2,95,1013.0,Light rain shower,1.3889
Bhutan,Thimphu,2024-05-21 20:45:00,10.3,92,1014.0,Patchy rain nearby,1.0000080000000002
Bhutan,Thimphu,2024-05-22 20:15:00,10.6,92,1014.0,Patchy rain nearby,1.3055660000000002
Bhutan,Thimphu,2024-05-23 20:00:00,11.2,91,1013.0,Light rain shower,1.0000080000000002
Bhutan,Thimphu,2024-05-24 20:30:00,12.7,87,1011.0,Light rain shower,1.3055660000000002
Bhutan,Thimphu,2024-05-25 20:00:00,13.1,87,1010.0,Patchy rain nearby,1.11112
Bhutan,Thimphu,2024-05-26 20:00:00,13.0,91,1009.0,Patchy light drizzle,1.3889
Bhutan,Thimphu,2024-05-27 20:30:00,12.4,93,1006.0,Patchy rain nearby,1.0000080000000002
Bhutan,Thimphu,2024-05-28 20:30:00,13.0,98,1004.0,Light rain,1.0000080000000002
Bhutan,Thimphu,2024-05-29 20:00:00,10.9,92,1008.0,Patchy rain nearby,1.3889
Bhutan,Thimphu,2024-05-30 19:45:00,13.0,86,1009.0,Patchy rain nearby,1.1944540000000001
Bhutan,Thimphu,2024-05-31 20:15:00,12.4,91,1009.0,Patchy rain nearby,1.5000120000000003
