Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Bolivia,Sucre,2024-09-01 08:00:00,10.4,67,1023.0,Sunny,1.694458
Bolivia,National,2024-09-01 08:00:00,25.8,37,1015.0,Sunny,1.11112
Bolivia,Sucre,2024-09-02 08:15:00,11.3,65,1019.0,Sunny,1.0000080000000002
Bolivia,National,2024-09-02 08:15:00,24.6,38,1015.0,Sunny,1.5000120000000003
Bolivia,Sucre,2024-09-03 08:15:00,15.8,35,1013.0,Sunny,1.3889
Bolivia,National,2024-09-03 08:30:00,26.0,34,1011.0,Sunny,1.0000080000000002
Bolivia,Sucre,2024-09-04 08:00:00,12.7,55,1016.0,Sunny,1.0000080000000002
Bolivia,National,2024-09-04 08:00:00,27.5,35,1012.0,Sunny,1.0000080000000002
Bolivia,Sucre,2024-09-05 08:00:00,9.5,63,1024.0,Sunny,1.3889
Bolivia,National,2024-09-05 08:00:00,28.6,39,1014.0,Sunny,1.0000080000000002
Bolivia,Sucre,2024-09-06 08:15:00,12.2,58,1016.0,Sunny,1.0000080000000002
Bolivia,National,2024-09-06 08:15:00,26.2,42,1012.0,Sunny,2.111128
Bolivia,Sucre,2024-09-07 08:00:00,14.0,46,1014.0,Sunny,1.1944540000000001
Bolivia,National,2024-09-07 08:00:00,27.0,34,1011.0,Sunny,1.5000120000000003
Bolivia,Sucre,2024-09-08 08:15:00,13.5,56,1016.0,Sunny,1.11112
Bolivia,National,2024-09-08 08:15:00,26.9,31,1012.0,Sunny,1.5000120000000003
Bolivia,Sucre,2024-09-09 08:30:00,13.6,51,1018.0,Sunny,1.611124
Bolivia,National,2024-09-09 08:30:00,26.9,31,1014.0,Sunny,1.1944540000000001
Bolivia,Sucre,2024-09-10 08:30:00,15.4,39,1015.0,Overcast,1.0000080000000002
Bolivia,National,2024-09-10 08:30:00,26.7,28,1011.0,Sunny,1.1944540000000001
Bolivia,Sucre,2024-09-11 08:00:00,17.5,29,1011.0,Sunny,1.0000080000000002
Bolivia,National,2024-09-11 08:15:00,28.7,31,1009.0,Sunny,1.11112
Bolivia,Sucre,2024-09-12 08:15:00,12.9,54,1016.0,Sunny,2.50002
Bolivia,National,2024-09-12 08:15:00,28.7,37,1011.0,Sunny,1.694458
Bolivia,Sucre,2024-09-13 08:30:00,13.5,57,1014.0,Sunny,1.0000080000000002
Bolivia,National,2024-09-13 08:30:00,30.2,41,1010.0,Sunny,1.611124
Bolivia,Sucre,2024-09-14 08:30:00,12.4,73,1019.0,Patchy rain nearby,2.50002
Bolivia,National,2024-09-14 08:30:00,30.0,30,1010.0,Sunny,1.8889040000000001
Bolivia,Sucre,2024-09-15 08:00:00,9.2,88,1020.0,Patchy rain nearby,1.8055700000000001
Bolivia,National,2024-09-15 08:00:00,28.9,43,1013.0,Sunny,2.50002
Bolivia,Sucre,2024-09-16 07:00:00,10.3,67,1020.0,Sunny,2.6111320000000005
Bolivia,National,2024-09-16 07:15:00,21.1,51,1015.0,Sunny,1.8889040000000001
