Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Bosnia and Herzegovina,Sarajevo,2025-04-01 11:30:00,7.1,81,1012.0,Light rain,2.194462
Bosnia and Herzegovina,Sarajevo,2025-04-02 11:00:00,11.1,71,1015.0,Overcast,1.611124
Bosnia and Herzegovina,Sarajevo,2025-04-03 11:00:00,8.1,81,1020.0,Light rain,1.5000120000000003
Bosnia and Herzegovina,Sarajevo,2025-04-04 11:15:00,9.0,81,1020.0,Partly cloudy,1.3889
Bosnia and Herzegovina,Sarajevo,2025-04-05 11:00:00,7.2,87,1013.0,Mist,1.0000080000000002
Bosnia and Herzegovina,Sarajevo,2025-04-06 11:00:00,2.3,80,1015.0,Light snow,4.194478
Bosnia and Herzegovina,Sarajevo,2025-04-07 11:15:00,0.2,55,1020.0,Partly cloudy,3.8889200000000006
Bosnia and Herzegovina,Sarajevo,2025-04-08 11:30:00,4.3,56,1023.0,Partly cloudy,2.6111320000000005
Bosnia and Herzegovina,Sarajevo,2025-04-09 11:15:00,9.2,50,1022.0,Partly cloudy,1.8889040000000001
Bosnia and Herzegovina,Sarajevo,2025-04-10 11:15:00,8.2,66,1020.0,Partly cloudy,3.0000240000000007
Bosnia and Herzegovina,Sarajevo,2025-04-11 11:15:00,12.1,41,1019.0,Sunny,1.611124
Bosnia and Herzegovina,Sarajevo,2025-04-12 11:15:00,14.2,44,1018.0,Partly cloudy,1.8889040000000001
Bosnia and Herzegovina,Sarajevo,2025-04-13 11:00:00,14.1,47,1017.0,Sunny,2.805578
Bosnia and Herzegovina,Sarajevo,2025-04-14 11:30:00,16.1,55,1015.0,Sunny,3.8889200000000006
Bosnia and Herzegovina,Sarajevo,2025-04-15 11:15:00,17.1,34,1013.0,Partly cloudy,6.194494000000001
Bosnia and Herzegovina,Sarajevo,2025-04-16 10:45:00,20.4,26,1016.0,Sunny,4.888928000000001
Bosnia and Herzegovina,Sarajevo,2025-04-17 11:00:00,25.1,32,1012.0,Partly cloudy,8.194510000000001
Bosnia and Herzegovina,Sarajevo,2025-04-18 11:15:00,16.3,42,1014.0,Partly cloudy,3.1944700000000004
Bosnia and Herzegovina,Sarajevo,2025-04-19 11:00:00,16.3,51,1016.0,Sunny,1.0000080000000002
Bosnia and Herzegovina,Sarajevo,2025-04-20 10:45:00,17.0,48,1014.0,Sunny,1.5000120000000003
Bosnia and Herzegovina,Sarajevo,2025-04-21 11:15:00,19.1,49,1012.0,Partly cloudy,1.0000080000000002
Bosnia and Herzegovina,Sarajevo,2025-04-22 11:00:00,16.1,63,1015.0,Thundery outbreaks in nearby,2.111128
Bosnia and Herzegovina,Sarajevo,2025-04-23 11:00:00,14.4,82,1016.0,Partly cloudy,1.8889040000000001
Bosnia and Herzegovina,Sarajevo,2025-04-24 11:00:00,13.2,88,1011.0,Partly cloudy,1.3889
Bosnia and Herzegovina,Sarajevo,2025-04-25 10:45:00,14.2,82,1011.0,Partly cloudy,1.5000120000000003
Bosnia and Herzegovina,Sarajevo,2025-04-26 11:00:00,12.1,82,1013.0,Light rain,1.8055700000000001
Bosnia and Herzegovina,Sarajevo,2025-04-27 10:45:00,13.2,82,1021.0,Partly cloudy,1.8055700000000001
Bosnia and Herzegovina,Sarajevo,2025-04-28 11:30:00,16.3,63,1025.0,Partly cloudy,1.11112
Bosnia and Herzegovina,Sarajevo,2025-04-29 10:45:00,12.1,77,1024.0,Sunny,1.3889
Bosnia and Herzegovina,Sarajevo,2025-04-30 10:45:00,15.3,55,1023.0,Sunny,1.611124
