Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Botswana,Gaborone,2024-09-01 14:00:00,24.6,24,1024.0,Sunny,3.1944700000000004
Botswana,Gaborone,2024-09-02 14:15:00,27.6,16,1021.0,Sunny,3.5000280000000004
Botswana,Gaborone,2024-09-03 14:15:00,27.1,18,1022.0,Sunny,3.5000280000000004
Botswana,Gaborone,2024-09-04 14:00:00,26.7,22,1020.0,Sunny,4.111144
Botswana,Gaborone,2024-09-05 14:00:00,28.2,13,1015.0,Sunny,3.0000240000000007
Botswana,Gaborone,2024-09-06 14:15:00,30.5,10,1015.0,Sunny,2.6944660000000002
Botswana,Gaborone,2024-09-07 14:00:00,29.5,15,1015.0,Sunny,4.888928000000001
Botswana,Gaborone,2024-09-08 14:15:00,32.1,10,1012.0,Sunny,3.388916
Botswana,Gaborone,2024-09-09 14:30:00,32.9,9,1012.0,Sunny,2.805578
Botswana,Gaborone,2024-09-10 14:30:00,25.5,37,1017.0,Sunny,6.805610000000001
Botswana,Gaborone,2024-09-11 14:00:00,29.8,26,1014.0,Sunny,4.888928000000001
Botswana,Gaborone,2024-09-12 14:15:00,33.6,15,1012.0,Sunny,3.6944740000000005
Botswana,Gaborone,2024-09-13 14:30:00,34.3,19,1017.0,Sunny,3.388916
Botswana,Gaborone,2024-09-14 14:30:00,37.4,11,1016.0,Sunny,4.611148000000001
Botswana,Gaborone,2024-09-15 14:00:00,35.0,13,1013.0,Sunny,3.388916
Botswana,Gaborone,2024-09-16 13:00:00,25.1,28,1017.0,Partly cloudy,4.194478
Botswana,Gaborone,2024-09-17 13:00:00,26.1,42,1018.0,Sunny,9.000072000000001
Botswana,Gaborone,2024-09-18 12:45:00,29.4,12,1017.0,Sunny,1.0000080000000002
Botswana,Gaborone,2024-09-19 12:45:00,30.4,9,1014.0,Sunny,3.111136
Botswana,Gaborone,2024-09-20 12:45:00,26.2,42,1017.0,Sunny,7.388948000000001
Botswana,Gaborone,2024-09-21 12:45:00,16.1,68,1024.0,Overcast,6.000048000000001
Botswana,Gaborone,2024-09-22 12:30:00,17.0,55,1027.0,Overcast,7.000056000000001
Botswana,Gaborone,2024-09-23 11:45:00,17.2,55,1027.0,Partly cloudy,6.305606
Botswana,Gaborone,2024-09-24 11:45:00,21.1,43,1023.0,Sunny,4.805594000000001
Botswana,Gaborone,2024-09-25 11:30:00,28.1,33,1021.0,Sunny,2.6111320000000005
Botswana,Gaborone,2024-09-26 11:30:00,34.3,9,1019.0,Sunny,3.6111400000000002
Botswana,Gaborone,2024-09-27 12:00:00,31.1,5,1018.0,Sunny,1.611124
Botswana,Gaborone,2024-09-28 12:00:00,29.2,31,1014.0,Sunny,6.694498000000001
Botswana,Gaborone,2024-09-29 11:30:00,28.2,40,1011.0,Sunny,3.1944700000000004
Botswana,Gaborone,2024-09-30 11:30:00,20.1,14,1018.0,Sunny,5.694490000000001
