Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Brazil,Bras,2024-08-01 08:15:00,28.6,47,1014.0,Sunny,2.0000160000000005
Brazil,Bras,2024-08-02 08:15:00,28.7,49,1014.0,Sunny,1.11112
Brazil,Bras,2024-08-03 08:30:00,27.8,63,1013.0,Partly Cloudy,1.11112
Brazil,Bras,2024-08-04 08:30:00,28.3,49,1013.0,Sunny,2.3889080000000003
Brazil,Bras,2024-08-05 08:30:00,28.0,47,1013.0,Sunny,2.111128
Brazil,Bras,2024-08-06 08:15:00,27.6,50,1013.0,Sunny,1.611124
Brazil,Bras,2024-08-07 08:00:00,28.2,50,1012.0,Sunny,1.1944540000000001
Brazil,Bras,2024-08-08 08:15:00,28.7,52,1011.0,Sunny,1.3055660000000002
Brazil,Bras,2024-08-09 08:30:00,28.2,43,1013.0,Sunny,1.0000080000000002
Brazil,Bras,2024-08-10 08:30:00,28.5,49,1014.0,Partly Cloudy,1.8055700000000001
Brazil,Bras,2024-08-11 08:15:00,25.2,82,1014.0,Overcast,1.1944540000000001
Brazil,Bras,2024-08-12 08:30:00,27.9,62,1016.0,Sunny,1.3055660000000002
Brazil,Bras,2024-08-13 08:30:00,24.6,77,1015.0,Patchy rain nearby,1.0000080000000002
Brazil,Bras,2024-08-14 08:30:00,25.3,87,1015.0,Sunny,1.1944540000000001
Brazil,Bras,2024-08-15 08:15:00,27.4,67,1015.0,Sunny,1.8889040000000001
Brazil,Bras,2024-08-16 08:15:00,28.3,56,1015.0,Sunny,1.5000120000000003
Brazil,Bras,2024-08-17 08:15:00,29.0,48,1014.0,Sunny,1.694458
Brazil,Bras,2024-08-18 08:00:00,29.6,43,1014.0,Sunny,2.0000160000000005
Brazil,Bras,2024-08-19 08:30:00,28.4,43,1014.0,Sunny,1.8055700000000001
Brazil,Bras,2024-08-20 08:15:00,29.9,42,1014.0,Sunny,2.194462
Brazil,Bras,2024-08-21 08:15:00,28.8,39,1013.0,Sunny,1.8055700000000001
Brazil,Bras,2024-08-22 08:00:00,29.5,44,1011.0,Sunny,2.6111320000000005
Brazil,Bras,2024-08-23 08:15:00,29.0,44,1012.0,Sunny,1.611124
Brazil,Bras,2024-08-24 08:00:00,30.1,47,1012.0,Sunny,2.805578
Brazil,Bras,2024-08-25 08:00:00,29.1,51,1014.0,Sunny,2.111128
Brazil,Bras,2024-08-26 08:15:00,32.0,40,1013.0,Partly Cloudy,1.611124
Brazil,Bras,2024-08-27 08:15:00,29.9,39,1015.0,Partly Cloudy,1.0000080000000002
Brazil,Bras,2024-08-28 08:30:00,29.5,48,1015.0,Partly Cloudy,1.0000080000000002
Brazil,Bras,2024-08-29 08:00:00,29.8,51,1015.0,Sunny,1.694458
Brazil,Bras,2024-08-30 08:15:00,28.5,48,1014.0,Sunny,1.0000080000000002
Brazil,Bras,2024-08-31 08:00:00,29.9,47,1013.0,Partly Cloudy,1.0000080000000002
