Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Brunei Darussalam,Bandar Seri Begawan,2024-07-01 21:15:00,25.1,100,1010.0,Light rain shower,4.694482
Brunei Darussalam,Bandar Seri Begawan,2024-07-02 21:15:00,27.2,94,1010.0,Partly cloudy,1.0000080000000002
Brunei Darussalam,Bandar Seri Begawan,2024-07-03 21:00:00,28.3,89,1011.0,Partly cloudy,1.0000080000000002
Brunei Darussalam,Bandar Seri Begawan,2024-07-04 21:00:00,29.0,89,1011.0,Partly cloudy,1.8889040000000001
Brunei Darussalam,Bandar Seri Begawan,2024-07-05 20:45:00,28.3,94,1008.0,Partly cloudy,1.0000080000000002
Brunei Darussalam,Bandar Seri Begawan,2024-07-06 21:15:00,27.0,100,1009.0,Light rain,1.11112
Brunei Darussalam,Bandar Seri Begawan,2024-07-07 21:00:00,25.0,100,1009.0,Moderate or heavy rain with thunder,1.694458
Brunei Darussalam,Bandar Seri Begawan,2024-07-08 21:00:00,27.3,100,1010.0,Moderate or heavy rain with thunder,1.694458
Brunei Darussalam,Bandar Seri Begawan,2024-07-09 20:45:00,28.2,94,1011.0,Partly cloudy,1.11112
Brunei Darussalam,Bandar Seri Begawan,2024-07-10 21:00:00,28.4,94,1011.0,Light rain,2.50002
Brunei Darussalam,Bandar Seri Begawan,2024-07-11 20:45:00,25.2,100,1011.0,Light rain,2.50002
Brunei Darussalam,Bandar Seri Begawan,2024-07-12 21:00:00,25.3,100,1009.0,Partly cloudy,1.694458
Brunei Darussalam,Bandar Seri Begawan,2024-07-13 21:00:00,27.1,100,1008.0,Partly cloudy,1.0000080000000002
Brunei Darussalam,Bandar Seri Begawan,2024-07-14 21:15:00,29.2,79,1008.0,Partly cloudy,1.11112
Brunei Darussalam,Bandar Seri Begawan,2024-07-15 21:00:00,27.2,84,1008.0,Partly cloudy,1.0000080000000002
Brunei Darussalam,Bandar Seri Begawan,2024-07-16 20:45:00,25.0,94,1009.0,Light rain,1.694458
Brunei Darussalam,Bandar Seri Begawan,2024-07-17 20:45:00,29.4,75,1009.0,Partly cloudy,1.11112
Brunei Darussalam,Bandar Seri Begawan,2024-07-18 20:45:00,26.1,86,1009.0,Cloudy,1.0000080000000002
Brunei Darussalam,Bandar Seri Begawan,2024-07-19 20:30:00,30.4,75,1009.0,Partly cloudy,1.8889040000000001
Brunei Darussalam,Bandar Seri Begawan,2024-07-20 20:45:00,30.2,66,1010.0,Partly cloudy,1.694458
Brunei Darussalam,Bandar Seri Begawan,2024-07-23 20:30:00,26.8,90,1009.0,Light rain shower,2.0000160000000005
Brunei Darussalam,Bandar Seri Begawan,2024-07-24 20:45:00,27.5,86,1007.0,Partly Cloudy,2.0000160000000005
Brunei Darussalam,Bandar Seri Begawan,2024-07-25 20:15:00,27.1,87,1007.0,Patchy rain nearby,1.611124
Brunei Darussalam,Bandar Seri Begawan,2024-07-26 20:30:00,27.7,82,1008.0,Clear,1.3055660000000002
Brunei Darussalam,Bandar Seri Begawan,2024-07-27 20:30:00,27.5,80,1009.0,Clear,1.0000080000000002
Brunei Darussalam,Bandar Seri Begawan,2024-07-28 20:45:00,27.1,87,1008.0,Clear,2.111128
Brunei Darussalam,Bandar Seri Begawan,2024-07-29 20:15:00,26.6,88,1008.0,Light rain shower,2.50002
Brunei Darussalam,Bandar Seri Begawan,2024-07-30 20:15:00,27.1,85,1010.0,Patchy rain nearby,1.0000080000000002
Brunei Darussalam,Bandar Seri Begawan,2024-07-31 20:15:00,27.5,80,1011.0,Partly Cloudy,1.3055660000000002
