Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Bulgaria,Sofia,2025-01-01 12:00:00,6.1,60,1032.0,Sunny,1.1944540000000001
Bulgaria,Bogot,2025-01-01 12:00:00,8.1,55,1030.0,Sunny,1.0000080000000002
Bulgaria,Sofia,2025-01-02 12:15:00,6.1,58,1026.0,Sunny,1.694458
Bulgaria,Bogot,2025-01-02 13:00:00,10.6,45,1022.0,Sunny,1.694458
Bulgaria,Sofia,2025-01-03 12:45:00,6.0,62,1018.0,Sunny,2.0000160000000005
Bulgaria,Bogot,2025-01-03 12:45:00,10.0,52,1015.0,Sunny,2.6944660000000002
Bulgaria,Sofia,2025-01-04 11:30:00,1.1,69,1022.0,Sunny,3.3055820000000002
Bulgaria,Bogot,2025-01-04 13:00:00,4.5,50,1024.0,Sunny,7.888952000000001
Bulgaria,Sofia,2025-01-05 12:15:00,2.7,60,1022.0,Partly Cloudy,1.0000080000000002
Bulgaria,Bogot,2025-01-05 12:15:00,4.0,53,1022.0,Partly Cloudy,1.0000080000000002
Bulgaria,Sofia,2025-01-06 11:45:00,1.2,75,1020.0,Sunny,1.0000080000000002
Bulgaria,Bogot,2025-01-06 12:30:00,7.2,52,1019.0,Sunny,1.3055660000000002
Bulgaria,Sofia,2025-01-07 12:45:00,2.4,80,1018.0,Mist,1.0000080000000002
Bulgaria,Bogot,2025-01-07 12:45:00,9.0,56,1016.0,Partly Cloudy,1.0000080000000002
Bulgaria,Sofia,2025-01-08 13:15:00,10.2,71,1018.0,Sunny,1.1944540000000001
Bulgaria,Bogot,2025-01-08 12:00:00,13.0,56,1016.0,Sunny,1.8889040000000001
Bulgaria,Sofia,2025-01-09 13:15:00,10.3,68,1017.0,Sunny,1.0000080000000002
Bulgaria,Bogot,2025-01-09 12:30:00,13.2,57,1017.0,Sunny,1.3889
Bulgaria,Sofia,2025-01-10 12:45:00,10.0,71,1012.0,Partly cloudy,1.1944540000000001
Bulgaria,Bogot,2025-01-10 12:15:00,12.0,56,1012.0,Sunny,2.111128
Bulgaria,Sofia,2025-01-11 12:30:00,0.0,93,1017.0,Light snow,1.611124
Bulgaria,Bogot,2025-01-11 12:30:00,2.7,70,1020.0,Partly Cloudy,3.0000240000000007
Bulgaria,Sofia,2025-01-12 12:15:00,-0.6,74,1021.0,Overcast,1.3889
Bulgaria,Bogot,2025-01-12 12:30:00,2.5,57,1023.0,Overcast,6.500052
Bulgaria,Sofia,2025-01-13 12:45:00,-0.6,74,1028.0,Partly cloudy,2.8889120000000004
Bulgaria,Bogot,2025-01-13 12:30:00,1.8,60,1032.0,Cloudy,1.0000080000000002
Bulgaria,Sofia,2025-01-14 12:15:00,-1.0,74,1032.0,Partly cloudy,3.6111400000000002
Bulgaria,Bogot,2025-01-14 13:00:00,1.5,54,1036.0,Partly Cloudy,4.111144
Bulgaria,Sofia,2025-01-15 11:45:00,-1.6,74,1023.0,Overcast,1.0000080000000002
Bulgaria,Bogot,2025-01-15 12:30:00,0.6,56,1027.0,Partly Cloudy,1.8055700000000001
Bulgaria,Sofia,2025-01-16 12:00:00,-0.9,86,1033.0,Overcast,1.11112
