Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Burundi,Bujumbura,2024-07-01 15:15:00,30.2,46,1015.0,Partly cloudy,10.305638000000002
Burundi,Bujumbura,2024-07-02 15:15:00,30.2,46,1015.0,Partly cloudy,7.194502
Burundi,Bujumbura,2024-07-03 15:00:00,30.1,40,1014.0,Partly cloudy,1.8889040000000001
Burundi,Bujumbura,2024-07-04 15:00:00,31.2,41,1013.0,Partly cloudy,8.305622
Burundi,Bujumbura,2024-07-05 14:45:00,30.0,52,1013.0,Partly cloudy,5.305598000000001
Burundi,Bujumbura,2024-07-06 15:15:00,30.0,52,1013.0,Partly cloudy,6.111160000000001
Burundi,Bujumbura,2024-07-07 15:00:00,31.1,43,1013.0,Partly cloudy,5.305598000000001
Burundi,Bujumbura,2024-07-08 15:00:00,22.8,48,1010.0,Patchy rain nearby,2.6944660000000002
Burundi,Bujumbura,2024-07-09 14:45:00,22.4,54,1012.0,Patchy rain nearby,3.1944700000000004
Burundi,Bujumbura,2024-07-10 15:00:00,30.3,55,1014.0,Partly cloudy,7.194502
Burundi,Bujumbura,2024-07-11 14:45:00,30.1,43,1015.0,Partly cloudy,6.111160000000001
Burundi,Bujumbura,2024-07-12 15:00:00,29.3,52,1015.0,Partly cloudy,5.305598000000001
Burundi,Bujumbura,2024-07-13 15:00:00,28.3,51,1015.0,Partly cloudy,9.194518
Burundi,Bujumbura,2024-07-14 15:15:00,30.1,49,1015.0,Partly cloudy,1.0000080000000002
Burundi,Bujumbura,2024-07-15 15:00:00,23.5,40,1012.0,Sunny,3.1944700000000004
Burundi,Bujumbura,2024-07-16 14:45:00,30.4,49,1013.0,Partly cloudy,6.111160000000001
Burundi,Bujumbura,2024-07-17 14:45:00,32.2,36,1013.0,Partly cloudy,4.194478
Burundi,Bujumbura,2024-07-18 14:45:00,23.7,45,1012.0,Sunny,4.805594000000001
Burundi,Bujumbura,2024-07-19 14:30:00,30.1,40,1013.0,Partly cloudy,3.111136
Burundi,Bujumbura,2024-07-20 14:45:00,30.4,52,1013.0,Partly cloudy,4.194478
Burundi,Bujumbura,2024-07-23 14:30:00,24.6,40,1014.0,Sunny,3.6111400000000002
Burundi,Bujumbura,2024-07-24 14:45:00,23.6,35,1014.0,Sunny,3.0000240000000007
Burundi,Bujumbura,2024-07-25 14:15:00,23.3,38,1013.0,Sunny,3.6111400000000002
Burundi,Bujumbura,2024-07-26 14:30:00,24.1,35,1012.0,Sunny,3.1944700000000004
Burundi,Bujumbura,2024-07-27 14:30:00,23.6,39,1012.0,Sunny,3.6111400000000002
Burundi,Bujumbura,2024-07-28 14:45:00,24.0,35,1011.0,Sunny,3.1944700000000004
Burundi,Bujumbura,2024-07-29 14:15:00,24.4,32,1010.0,Sunny,3.6111400000000002
Burundi,Bujumbura,2024-07-30 14:15:00,26.6,33,1010.0,Sunny,4.3055900000000005
Burundi,Bujumbura,2024-07-31 14:15:00,29.1,36,1011.0,Sunny,3.6944740000000005
