Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Cambodia,Phnom Penh,2024-12-01 17:30:00,29.1,66,1006.0,Partly cloudy,2.50002
Cambodia,Phnom Penh,2024-12-02 17:45:00,31.4,63,1006.0,Partly cloudy,2.8889120000000004
Cambodia,Phnom Penh,2024-12-03 17:45:00,30.1,70,1006.0,Partly cloudy,3.0000240000000007
Cambodia,Phnom Penh,2024-12-04 17:30:00,29.4,70,1007.0,Partly cloudy,3.8889200000000006
Cambodia,Phnom Penh,2024-12-05 17:30:00,31.0,63,1006.0,Partly cloudy,4.388924
Cambodia,Phnom Penh,2024-12-06 17:45:00,32.4,59,1006.0,Partly cloudy,2.194462
Cambodia,Phnom Penh,2024-12-07 17:30:00,30.0,75,1007.0,Partly cloudy,1.611124
Cambodia,Phnom Penh,2024-12-08 17:30:00,32.1,52,1008.0,Partly cloudy,5.805602
Cambodia,Phnom Penh,2024-12-09 18:00:00,30.2,62,1007.0,Partly cloudy,5.111152
Cambodia,Phnom Penh,2024-12-10 17:45:00,30.2,70,1006.0,Partly cloudy,4.388924
Cambodia,Phnom Penh,2024-12-11 17:45:00,26.2,73,1006.0,Cloudy,3.0000240000000007
Cambodia,Phnom Penh,2024-12-12 17:15:00,28.2,89,1006.0,Partly cloudy,5.00004
Cambodia,Phnom Penh,2024-12-13 18:00:00,27.1,100,1007.0,Partly cloudy,3.8889200000000006
Cambodia,Phnom Penh,2024-12-14 17:30:00,29.2,79,1008.0,Partly cloudy,5.694490000000001
Cambodia,Phnom Penh,2024-12-15 17:30:00,28.3,79,1010.0,Partly cloudy,6.694498000000001
Cambodia,Phnom Penh,2024-12-16 17:15:00,28.2,66,1011.0,Partly cloudy,1.0000080000000002
Cambodia,Phnom Penh,2024-12-17 17:45:00,30.1,59,1009.0,Partly cloudy,2.8889120000000004
Cambodia,Phnom Penh,2024-12-18 17:00:00,30.2,55,1009.0,Partly cloudy,4.3055900000000005
Cambodia,Phnom Penh,2024-12-19 17:30:00,29.2,50,1009.0,Sunny,3.5000280000000004
Cambodia,Phnom Penh,2024-12-20 17:45:00,28.7,50,1009.0,Sunny,3.0000240000000007
Cambodia,Phnom Penh,2024-12-21 17:45:00,27.6,54,1009.0,Sunny,3.1944700000000004
Cambodia,Phnom Penh,2024-12-22 17:15:00,24.7,63,1010.0,Sunny,3.8889200000000006
Cambodia,Phnom Penh,2024-12-23 17:15:00,28.4,52,1007.0,Sunny,3.1944700000000004
Cambodia,Phnom Penh,2024-12-24 17:45:00,26.5,60,1010.0,Partly Cloudy,3.8889200000000006
Cambodia,Phnom Penh,2024-12-25 17:45:00,27.9,57,1010.0,Partly Cloudy,6.000048000000001
Cambodia,Phnom Penh,2024-12-26 17:30:00,30.1,57,1010.0,Partly Cloudy,4.194478
Cambodia,Phnom Penh,2024-12-27 17:45:00,24.9,86,1011.0,Light rain shower,4.000032000000001
Cambodia,Phnom Penh,2024-12-28 17:45:00,29.3,79,1011.0,Partly cloudy,5.305598000000001
Cambodia,Phnom Penh,2024-12-29 17:15:00,30.4,52,1009.0,Partly cloudy,4.500036000000001
Cambodia,Phnom Penh,2024-12-30 17:30:00,30.0,52,1010.0,Sunny,2.8889120000000004
Cambodia,Phnom Penh,2024-12-31 17:30:00,30.4,59,1009.0,Partly cloudy,2.6944660000000002
