Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Cameroon,Ngaoundere,2025-02-01 11:30:00,28.0,19,1018.0,Sunny,2.8889120000000004
Cameroon,Ngaoundere,2025-02-02 11:15:00,28.3,20,1018.0,Sunny,3.1944700000000004
Cameroon,Ngaoundere,2025-02-03 11:30:00,29.1,20,1016.0,Sunny,4.3055900000000005
Cameroon,Ngaoundere,2025-02-04 11:30:00,31.3,16,1016.0,Sunny,4.3055900000000005
Cameroon,Ngaoundere,2025-02-05 11:30:00,29.2,14,1017.0,Sunny,2.6111320000000005
Cameroon,Ngaoundere,2025-02-06 11:30:00,28.1,20,1016.0,Sunny,4.000032000000001
Cameroon,Ngaoundere,2025-02-07 11:30:00,30.2,16,1016.0,Sunny,3.8889200000000006
Cameroon,Ngaoundere,2025-02-08 11:30:00,30.1,18,1017.0,Mist,3.6111400000000002
Cameroon,Ngaoundere,2025-02-09 11:15:00,31.2,12,1011.0,Sunny,4.388924
Cameroon,Ngaoundere,2025-02-10 11:30:00,30.1,18,1016.0,Sunny,3.3055820000000002
Cameroon,Ngaoundere,2025-02-11 11:15:00,30.1,11,1009.0,Sunny,4.805594000000001
Cameroon,Ngaoundere,2025-02-12 11:15:00,30.1,17,1017.0,Sunny,4.000032000000001
Cameroon,Ngaoundere,2025-02-13 11:15:00,28.2,19,1018.0,Sunny,3.8055860000000004
Cameroon,Ngaoundere,2025-02-14 11:00:00,30.3,14,1012.0,Sunny,2.3055740000000005
Cameroon,Ngaoundere,2025-02-15 11:15:00,29.0,13,1019.0,Sunny,3.0000240000000007
Cameroon,Ngaoundere,2025-02-16 11:15:00,28.2,15,1018.0,Sunny,3.388916
Cameroon,Ngaoundere,2025-02-17 11:15:00,30.2,12,1017.0,Sunny,3.8889200000000006
Cameroon,Ngaoundere,2025-02-18 11:15:00,31.7,10,1011.0,Sunny,3.0000240000000007
Cameroon,Ngaoundere,2025-02-19 11:15:00,28.1,37,1019.0,Mist,1.611124
Cameroon,Ngaoundere,2025-02-20 11:00:00,30.3,12,1018.0,Sunny,3.388916
Cameroon,Ngaoundere,2025-02-21 11:00:00,32.7,10,1011.0,Sunny,2.3889080000000003
Cameroon,Ngaoundere,2025-02-22 11:00:00,30.1,17,1018.0,Sunny,1.8055700000000001
Cameroon,Ngaoundere,2025-02-23 11:00:00,30.3,17,1018.0,Mist,3.6111400000000002
Cameroon,Ngaoundere,2025-02-24 11:00:00,20.3,32,1018.0,Sunny,1.5000120000000003
Cameroon,Ngaoundere,2025-02-25 11:00:00,29.1,33,1018.0,Sunny,1.694458
Cameroon,Ngaoundere,2025-02-26 11:00:00,31.5,12,1012.0,Sunny,2.6944660000000002
Cameroon,Ngaoundere,2025-02-27 10:45:00,29.5,15,1014.0,Sunny,2.50002
Cameroon,Ngaoundere,2025-02-28 11:00:00,31.2,15,1012.0,Sunny,3.8889200000000006
