Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Canada,Ottawa,2024-06-01 10:15:00,21.0,49,1021.0,Partly cloudy,1.0000080000000002
Canada,Ottawa,2024-06-02 10:00:00,17.0,77,1017.0,Overcast,1.8889040000000001
Canada,Ottawa,2024-06-03 10:15:00,24.0,54,1015.0,Partly cloudy,1.0000080000000002
Canada,Ottawa,2024-06-04 10:15:00,25.0,54,1016.0,Partly cloudy,1.8889040000000001
Canada,Ottawa,2024-06-05 10:15:00,24.0,61,1010.0,Partly cloudy,2.50002
Canada,Ottawa,2024-06-06 10:00:00,22.0,88,1000.0,Overcast,1.8889040000000001
Canada,Ottawa,2024-06-07 10:00:00,18.1,88,999.0,Partly cloudy,2.50002
Canada,Ottawa,2024-06-08 10:15:00,17.4,83,1002.0,Overcast,4.194478
Canada,Ottawa,2024-06-09 10:15:00,16.1,77,1000.0,Partly cloudy,6.694498000000001
Canada,Ottawa,2024-06-10 10:15:00,12.2,77,1003.0,Partly cloudy,7.194502
Canada,Ottawa,2024-06-11 10:00:00,11.0,82,1015.0,Partly cloudy,1.8889040000000001
Canada,Ottawa,2024-06-12 10:15:00,16.0,72,1017.0,Overcast,3.111136
Canada,Ottawa,2024-06-13 10:00:00,18.0,73,1011.0,Partly cloudy,1.8889040000000001
Canada,Ottawa,2024-06-14 10:00:00,18.2,77,1010.0,Partly cloudy,8.305622
Canada,Ottawa,2024-06-15 10:00:00,13.5,50,1021.0,Sunny,4.111144
Canada,Ottawa,2024-06-16 09:45:00,13.6,65,1025.0,Overcast,1.3055660000000002
Canada,Ottawa,2024-06-17 10:00:00,20.3,81,1016.0,Cloudy,3.6111400000000002
Canada,Ottawa,2024-06-18 09:45:00,24.3,89,1020.0,Partly cloudy,4.194478
Canada,Ottawa,2024-06-19 09:45:00,29.2,70,1023.0,Partly cloudy,3.6111400000000002
Canada,Ottawa,2024-06-20 09:45:00,25.3,75,1024.0,Sunny,3.0000240000000007
Canada,Ottawa,2024-06-21 09:30:00,21.3,64,1025.0,Partly cloudy,4.194478
Canada,Ottawa,2024-06-22 09:45:00,19.1,83,1019.0,Light rain,3.111136
Canada,Ottawa,2024-06-23 09:45:00,20.2,100,999.0,Mist,1.8889040000000001
Canada,Ottawa,2024-06-24 09:45:00,16.3,82,1004.0,Light rain,5.305598000000001
Canada,Ottawa,2024-06-25 09:15:00,20.2,71,1010.0,Sunny,3.111136
Canada,Ottawa,2024-06-26 09:30:00,20.2,79,1004.0,Sunny,5.305598000000001
Canada,Ottawa,2024-06-27 09:15:00,14.1,77,1008.0,Partly cloudy,6.111160000000001
Canada,Ottawa,2024-06-28 09:15:00,17.2,52,1020.0,Sunny,3.6111400000000002
Canada,Ottawa,2024-06-29 08:45:00,17.1,100,1014.0,Light rain,4.194478
Canada,Ottawa,2024-06-30 09:30:00,23.3,78,1009.0,Partly cloudy,6.694498000000001
