Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Cape Verde,Praia,2024-09-01 11:00:00,27.1,89,1013.0,Partly cloudy,6.111160000000001
Cape Verde,Praia,2024-09-02 11:15:00,29.4,66,1012.0,Partly cloudy,6.694498000000001
Cape Verde,Praia,2024-09-03 11:15:00,29.3,66,1012.0,Partly cloudy,7.805618000000001
Cape Verde,Praia,2024-09-04 11:00:00,29.0,75,1014.0,Partly cloudy,5.611156
Cape Verde,Praia,2024-09-05 11:00:00,28.2,79,1013.0,Partly cloudy,5.611156
Cape Verde,Praia,2024-09-06 11:15:00,29.2,66,1011.0,Partly cloudy,5.611156
Cape Verde,Praia,2024-09-07 11:00:00,28.1,70,1012.0,Partly cloudy,5.611156
Cape Verde,Praia,2024-09-08 11:15:00,29.4,66,1015.0,Partly cloudy,6.111160000000001
Cape Verde,Praia,2024-09-09 11:30:00,28.4,70,1014.0,Partly cloudy,8.611180000000001
Cape Verde,Praia,2024-09-10 11:30:00,31.0,59,1012.0,Partly cloudy,8.611180000000001
Cape Verde,Praia,2024-09-11 11:00:00,28.2,84,1013.0,Partly cloudy,6.111160000000001
Cape Verde,Praia,2024-09-12 11:15:00,30.3,66,1015.0,Partly cloudy,4.194478
Cape Verde,Praia,2024-09-13 11:30:00,29.3,58,1013.0,Partly cloudy,6.194494000000001
Cape Verde,Praia,2024-09-14 11:30:00,29.2,66,1014.0,Partly cloudy,4.805594000000001
Cape Verde,Praia,2024-09-15 11:00:00,28.3,70,1014.0,Partly cloudy,5.3889320000000005
Cape Verde,Praia,2024-09-16 10:00:00,27.1,74,1014.0,Partly cloudy,4.888928000000001
Cape Verde,Praia,2024-09-17 10:00:00,27.2,79,1013.0,Partly cloudy,3.1944700000000004
Cape Verde,Praia,2024-09-18 09:45:00,29.1,75,1013.0,Partly cloudy,2.805578
Cape Verde,Praia,2024-09-19 09:45:00,28.3,74,1013.0,Partly cloudy,2.6944660000000002
Cape Verde,Praia,2024-09-20 09:45:00,28.1,74,1012.0,Partly cloudy,5.805602
Cape Verde,Praia,2024-09-21 09:45:00,28.4,66,1012.0,Partly cloudy,5.694490000000001
Cape Verde,Praia,2024-09-22 09:30:00,28.2,62,1012.0,Partly cloudy,5.305598000000001
Cape Verde,Praia,2024-09-23 08:45:00,26.3,84,1011.0,Partly cloudy,5.111152
Cape Verde,Praia,2024-09-24 08:45:00,25.4,94,1010.0,Moderate or heavy rain shower,7.194502
Cape Verde,Praia,2024-09-25 08:30:00,27.4,84,1011.0,Partly cloudy,2.6111320000000005
Cape Verde,Praia,2024-09-26 08:30:00,26.1,89,1011.0,Overcast,4.694482
Cape Verde,Praia,2024-09-27 09:00:00,25.0,94,1011.0,Moderate rain,4.611148000000001
Cape Verde,Praia,2024-09-28 09:00:00,27.4,89,1012.0,Partly cloudy,2.3889080000000003
Cape Verde,Praia,2024-09-29 08:30:00,28.3,84,1012.0,Partly cloudy,4.388924
Cape Verde,Praia,2024-09-30 08:30:00,27.1,89,1012.0,Partly cloudy,4.111144
