Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Central African Republic,Bangui,2024-05-16 09:45:00,28.4,60,1013.0,Sunny,2.111128
Central African Republic,Bangui,2024-05-16 15:00:00,35.0,53,1009.0,Partly cloudy,1.0000080000000002
Central African Republic,Bangui,2024-05-17 17:00:00,34.0,56,1007.0,Partly cloudy,1.8889040000000001
Central African Republic,Bangui,2024-05-18 15:30:00,34.0,56,1007.0,Patchy light rain with thunder,1.8889040000000001
Central African Republic,Bangui,2024-05-19 15:00:00,30.0,59,1010.0,Partly cloudy,1.0000080000000002
Central African Republic,Bangui,2024-05-20 15:45:00,33.0,53,1009.0,Partly cloudy,1.694458
Central African Republic,Bangui,2024-05-21 15:45:00,37.6,31,1007.0,Partly Cloudy,1.0000080000000002
Central African Republic,Bangui,2024-05-22 15:15:00,30.0,75,1010.0,Partly cloudy,3.111136
Central African Republic,Bangui,2024-05-23 15:00:00,30.0,66,1011.0,Partly cloudy,3.111136
Central African Republic,Bangui,2024-05-24 15:30:00,28.6,63,1009.0,Sunny,1.611124
Central African Republic,Bangui,2024-05-25 15:00:00,31.0,71,1011.0,Partly cloudy,3.111136
Central African Republic,Bangui,2024-05-26 15:00:00,31.0,63,1011.0,Patchy light rain with thunder,5.611156
Central African Republic,Bangui,2024-05-27 15:30:00,36.0,45,1010.0,Partly cloudy,3.6111400000000002
Central African Republic,Bangui,2024-05-28 15:30:00,35.0,53,1011.0,Partly cloudy,4.194478
Central African Republic,Bangui,2024-05-29 15:00:00,33.0,49,1010.0,Sunny,1.8889040000000001
Central African Republic,Bangui,2024-05-30 14:45:00,33.0,53,1011.0,Patchy light rain with thunder,3.111136
Central African Republic,Bangui,2024-05-31 15:15:00,35.0,53,1010.0,Patchy light rain with thunder,1.8889040000000001
