Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Chad,N'djamena,2024-05-16 09:45:00,37.2,27,1010.0,Sunny,4.000032000000001
Chad,N'djamena,2024-05-16 15:00:00,42.0,25,1006.0,Partly cloudy,3.111136
Chad,N'djamena,2024-05-17 17:00:00,42.0,5,1006.0,Overcast,6.111160000000001
Chad,N'djamena,2024-05-18 15:30:00,43.0,6,1004.0,Overcast,3.111136
Chad,N'djamena,2024-05-19 15:00:00,42.2,6,1003.0,Sunny,3.388916
Chad,N'djamena,2024-05-20 15:45:00,44.0,11,1005.0,Sunny,3.111136
Chad,N'djamena,2024-05-21 15:45:00,45.0,10,1005.0,Sunny,3.6111400000000002
Chad,N'djamena,2024-05-22 15:15:00,44.0,6,1004.0,Sunny,5.111152
Chad,N'djamena,2024-05-23 15:00:00,39.0,31,1007.0,Overcast,6.111160000000001
Chad,N'djamena,2024-05-24 15:30:00,41.4,17,1004.0,Sunny,3.388916
Chad,N'djamena,2024-05-25 15:00:00,41.0,27,1008.0,Partly cloudy,1.8889040000000001
Chad,N'djamena,2024-05-26 15:00:00,38.0,33,1009.0,Sunny,4.694482
Chad,N'djamena,2024-05-27 15:30:00,43.0,20,1006.0,Partly cloudy,3.6111400000000002
Chad,N'djamena,2024-05-28 15:30:00,44.0,19,1005.0,Patchy light rain with thunder,1.8889040000000001
Chad,N'djamena,2024-05-29 15:00:00,42.0,27,1007.0,Partly cloudy,4.194478
Chad,N'djamena,2024-05-30 14:45:00,39.0,31,1008.0,Partly cloudy,4.694482
Chad,N'djamena,2024-05-31 15:15:00,41.0,28,1008.0,Partly cloudy,3.111136
