Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Chile,Santiago,2024-07-01 09:15:00,4.2,87,1020.0,Sunny,1.0000080000000002
Chile,Santiago,2024-07-02 09:15:00,4.1,87,1021.0,Sunny,1.694458
Chile,Santiago,2024-07-03 09:00:00,6.1,87,1019.0,Sunny,1.0000080000000002
Chile,Santiago,2024-07-04 09:00:00,4.2,93,1019.0,Sunny,1.0000080000000002
Chile,Santiago,2024-07-05 08:45:00,0.2,93,1020.0,Mist,1.0000080000000002
Chile,Santiago,2024-07-06 09:15:00,3.2,81,1021.0,Mist,1.0000080000000002
Chile,Santiago,2024-07-07 09:00:00,-1.7,93,1022.0,Fog,1.0000080000000002
Chile,Santiago,2024-07-08 09:00:00,-0.7,93,1019.0,Mist,1.694458
Chile,Santiago,2024-07-09 08:45:00,-0.8,100,1017.0,Mist,1.694458
Chile,Santiago,2024-07-10 09:00:00,4.2,93,1017.0,Overcast,1.8889040000000001
Chile,Santiago,2024-07-11 08:45:00,2.3,87,1021.0,Mist,1.0000080000000002
Chile,Santiago,2024-07-12 08:45:00,0.1,93,1019.0,Mist,1.8889040000000001
Chile,Santiago,2024-07-13 09:00:00,-0.6,93,1024.0,Mist,1.0000080000000002
Chile,Santiago,2024-07-14 09:15:00,5.8,30,1021.0,Partly Cloudy,1.1944540000000001
Chile,Santiago,2024-07-15 09:00:00,6.8,31,1020.0,Sunny,1.0000080000000002
Chile,Santiago,2024-07-16 08:45:00,7.2,70,1022.0,Mist,3.111136
Chile,Santiago,2024-07-17 08:45:00,1.1,86,1016.0,Sunny,1.0000080000000002
Chile,Santiago,2024-07-18 08:45:00,8.4,76,1019.0,Mist,1.0000080000000002
Chile,Santiago,2024-07-19 08:30:00,6.3,93,1017.0,Mist,1.0000080000000002
Chile,Santiago,2024-07-20 08:45:00,2.1,100,1016.0,Fog,1.0000080000000002
Chile,Santiago,2024-07-23 08:30:00,6.5,71,1021.0,Sunny,1.0000080000000002
Chile,Santiago,2024-07-24 08:45:00,3.8,64,1027.0,Sunny,1.3889
Chile,Santiago,2024-07-25 08:15:00,7.4,32,1020.0,Overcast,1.11112
Chile,Santiago,2024-07-26 08:30:00,5.0,60,1021.0,Sunny,1.0000080000000002
Chile,Santiago,2024-07-27 08:30:00,4.0,59,1021.0,Sunny,1.11112
Chile,Santiago,2024-07-28 08:45:00,4.4,49,1020.0,Sunny,1.3889
Chile,Santiago,2024-07-29 08:15:00,8.1,27,1016.0,Overcast,2.3055740000000005
Chile,Santiago,2024-07-30 08:15:00,10.7,28,1013.0,Partly Cloudy,2.194462
Chile,Santiago,2024-07-31 08:15:00,10.3,68,1013.0,Sunny,1.0000080000000002
