Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
China,Beijing,2024-11-01 17:15:00,20.3,40,1022.0,Sunny,1.1944540000000001
China,Beijing,2024-11-02 17:00:00,19.7,42,1020.0,Sunny,3.6111400000000002
China,Beijing,2024-11-03 17:00:00,16.9,17,1022.0,Sunny,7.111168000000001
China,Beijing,2024-11-04 17:00:00,12.1,20,1031.0,Clear,1.0000080000000002
China,Beijing,2024-11-05 17:00:00,14.1,19,1026.0,Sunny,2.805578
China,Beijing,2024-11-06 17:00:00,14.3,31,1028.0,Clear,1.3055660000000002
China,Beijing,2024-11-07 17:00:00,14.2,44,1026.0,Sunny,1.0000080000000002
China,Beijing,2024-11-08 17:00:00,14.1,59,1024.0,Mist,1.0000080000000002
China,Beijing,2024-11-09 17:00:00,16.3,55,1022.0,Sunny,2.3889080000000003
China,Beijing,2024-11-10 16:45:00,17.0,42,1023.0,Sunny,2.3055740000000005
China,Beijing,2024-11-11 17:00:00,12.2,71,1020.0,Clear,1.0000080000000002
China,Beijing,2024-11-12 17:00:00,15.1,51,1021.0,Clear,1.5000120000000003
China,Beijing,2024-11-13 17:00:00,10.3,100,1019.0,Light rain,1.0000080000000002
China,Beijing,2024-11-14 17:15:00,13.1,82,1016.0,Clear,1.0000080000000002
China,Beijing,2024-11-15 17:00:00,13.1,82,1017.0,Mist,1.0000080000000002
China,Beijing,2024-11-16 16:45:00,12.4,19,1024.0,Sunny,5.00004
China,Beijing,2024-11-17 16:45:00,10.0,13,1033.0,Sunny,3.6111400000000002
China,Beijing,2024-11-18 16:45:00,7.2,49,1036.0,Sunny,2.111128
China,Beijing,2024-11-19 16:45:00,9.1,46,1026.0,Clear,1.611124
China,Beijing,2024-11-20 16:45:00,14.3,24,1022.0,Sunny,1.5000120000000003
China,Beijing,2024-11-21 16:45:00,13.1,21,1024.0,Sunny,3.6111400000000002
China,Beijing,2024-11-22 16:45:00,12.3,32,1029.0,Sunny,1.5000120000000003
China,Beijing,2024-11-23 17:00:00,8.1,57,1028.0,Clear,1.694458
China,Beijing,2024-11-24 16:30:00,9.2,66,1026.0,Sunny,1.3889
China,Beijing,2024-11-25 16:45:00,5.1,26,1024.0,Sunny,5.611156
China,Beijing,2024-11-26 17:00:00,2.2,23,1019.0,Clear,5.00004
China,Beijing,2024-11-27 16:45:00,4.1,22,1014.0,Sunny,5.500044000000001
China,Beijing,2024-11-28 19:00:00,5.4,28,1018.0,Clear,3.5000280000000004
China,Beijing,2024-11-29 18:45:00,11.1,32,1016.0,Clear,1.694458
China,Beijing,2024-11-30 18:30:00,7.2,49,1012.0,Clear,1.0000080000000002
