Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Comoros,Moroni,2024-09-01 15:00:00,24.9,73,1017.0,Patchy rain nearby,6.500052
Comoros,Moroni,2024-09-02 15:15:00,23.4,81,1017.0,Patchy rain nearby,8.111176
Comoros,Moroni,2024-09-03 15:15:00,24.2,78,1017.0,Patchy light drizzle,7.6945060000000005
Comoros,Moroni,2024-09-04 15:00:00,23.9,79,1018.0,Light rain shower,6.111160000000001
Comoros,Moroni,2024-09-05 15:00:00,25.9,74,1016.0,Patchy rain nearby,3.5000280000000004
Comoros,Moroni,2024-09-06 15:15:00,25.0,78,1017.0,Patchy rain nearby,4.3055900000000005
Comoros,Moroni,2024-09-07 15:00:00,26.2,72,1017.0,Patchy rain nearby,5.500044000000001
Comoros,Moroni,2024-09-08 15:15:00,24.7,79,1017.0,Patchy rain nearby,2.50002
Comoros,Moroni,2024-09-09 15:30:00,24.7,81,1017.0,Patchy rain nearby,4.000032000000001
Comoros,Moroni,2024-09-10 15:30:00,25.3,70,1016.0,Sunny,3.388916
Comoros,Moroni,2024-09-11 15:00:00,25.9,73,1015.0,Patchy rain nearby,3.3055820000000002
Comoros,Moroni,2024-09-12 15:15:00,25.2,78,1016.0,Patchy rain nearby,3.8889200000000006
Comoros,Moroni,2024-09-13 15:30:00,25.4,76,1016.0,Patchy rain nearby,2.50002
Comoros,Moroni,2024-09-14 15:30:00,26.0,73,1016.0,Patchy rain nearby,3.6111400000000002
Comoros,Moroni,2024-09-15 15:00:00,24.6,78,1017.0,Patchy rain nearby,2.805578
Comoros,Moroni,2024-09-16 14:00:00,25.4,75,1017.0,Light rain shower,2.805578
Comoros,Moroni,2024-09-17 14:00:00,24.9,76,1018.0,Light rain shower,2.8889120000000004
Comoros,Moroni,2024-09-18 13:45:00,25.2,74,1016.0,Patchy rain nearby,4.3055900000000005
Comoros,Moroni,2024-09-19 13:45:00,24.6,72,1015.0,Patchy rain nearby,2.50002
Comoros,Moroni,2024-09-20 13:45:00,25.6,73,1015.0,Patchy rain nearby,3.8889200000000006
Comoros,Moroni,2024-09-21 13:45:00,24.5,80,1017.0,Patchy rain nearby,2.111128
Comoros,Moroni,2024-09-22 13:30:00,25.4,77,1017.0,Patchy rain nearby,5.3889320000000005
Comoros,Moroni,2024-09-23 12:45:00,26.5,73,1017.0,Patchy rain nearby,6.805610000000001
Comoros,Moroni,2024-09-24 12:45:00,26.0,73,1017.0,Light rain shower,3.8889200000000006
Comoros,Moroni,2024-09-25 12:30:00,25.3,76,1017.0,Light rain shower,4.111144
Comoros,Moroni,2024-09-26 12:30:00,24.6,79,1017.0,Patchy rain nearby,3.8055860000000004
Comoros,Moroni,2024-09-27 13:00:00,24.7,77,1015.0,Light rain shower,2.8889120000000004
Comoros,Moroni,2024-09-28 13:00:00,24.8,74,1014.0,Patchy rain nearby,2.3055740000000005
Comoros,Moroni,2024-09-29 12:30:00,25.6,73,1015.0,Patchy rain nearby,4.000032000000001
Comoros,Moroni,2024-09-30 12:30:00,25.7,75,1014.0,Patchy rain nearby,4.000032000000001
