Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Costa Rica,San Ignacio,2024-10-01 03:45:00,20.2,94,1015.0,Partly cloudy,1.0000080000000002
Costa Rica,San Ignacio,2024-10-02 03:30:00,19.1,94,1015.0,Partly cloudy,1.0000080000000002
Costa Rica,San Ignacio,2024-10-03 03:30:00,20.2,94,1015.0,Fog,1.0000080000000002
Costa Rica,San Ignacio,2024-10-04 03:45:00,14.5,96,1014.0,Mist,1.3889
Costa Rica,San Ignacio,2024-10-05 03:30:00,14.7,95,1014.0,Mist,1.3055660000000002
Costa Rica,San Ignacio,2024-10-06 03:15:00,14.9,94,1014.0,Mist,1.1944540000000001
Costa Rica,San Ignacio,2024-10-07 03:45:00,15.0,97,1013.0,Light rain shower,1.0000080000000002
Costa Rica,San Ignacio,2024-10-08 03:45:00,15.4,99,1012.0,Light rain,1.0000080000000002
Costa Rica,San Ignacio,2024-10-09 03:45:00,15.7,99,1013.0,Light rain shower,1.0000080000000002
Costa Rica,San Ignacio,2024-10-10 03:45:00,15.2,95,1014.0,Mist,1.0000080000000002
Costa Rica,San Ignacio,2024-10-11 03:45:00,15.9,98,1014.0,Light rain shower,1.0000080000000002
Costa Rica,San Ignacio,2024-10-12 03:45:00,15.7,97,1013.0,Light rain shower,1.5000120000000003
Costa Rica,San Ignacio,2024-10-13 03:30:00,14.5,95,1014.0,Mist,1.8889040000000001
Costa Rica,San Ignacio,2024-10-14 03:30:00,15.4,97,1015.0,Mist,1.611124
Costa Rica,San Ignacio,2024-10-15 03:30:00,15.8,97,1015.0,Mist,1.3889
Costa Rica,San Ignacio,2024-10-16 03:30:00,14.8,98,1013.0,Overcast,1.0000080000000002
Costa Rica,San Ignacio,2024-10-17 03:30:00,15.5,97,1011.0,Mist,1.0000080000000002
Costa Rica,San Ignacio,2024-10-18 03:30:00,15.9,96,1012.0,Mist,1.11112
Costa Rica,San Ignacio,2024-10-19 03:30:00,16.1,97,1012.0,Light rain shower,1.0000080000000002
Costa Rica,San Ignacio,2024-10-20 03:30:00,14.8,98,1014.0,Light rain shower,1.0000080000000002
Costa Rica,San Ignacio,2024-10-21 03:15:00,14.3,96,1013.0,Mist,1.11112
Costa Rica,San Ignacio,2024-10-22 03:15:00,15.0,96,1013.0,Mist,1.0000080000000002
Costa Rica,San Ignacio,2024-10-23 03:15:00,14.3,96,1014.0,Mist,1.694458
Costa Rica,San Ignacio,2024-10-25 03:15:00,14.2,96,1013.0,Mist,1.8055700000000001
Costa Rica,San Ignacio,2024-10-26 03:15:00,14.1,96,1013.0,Mist,2.111128
Costa Rica,San Ignacio,2024-10-27 03:15:00,15.9,96,1012.0,Mist,2.8889120000000004
Costa Rica,San Ignacio,2024-10-28 03:15:00,15.0,89,1012.0,Cloudy,2.194462
Costa Rica,San Ignacio,2024-10-29 03:00:00,14.9,96,1012.0,Mist,1.5000120000000003
Costa Rica,San Ignacio,2024-10-30 03:00:00,16.0,98,1013.0,Light rain shower,1.3055660000000002
Costa Rica,San Ignacio,2024-10-31 03:00:00,15.7,98,1011.0,Light rain shower,1.0000080000000002
