Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Croatia,Zagreb,2024-12-01 11:45:00,8.1,71,1028.0,Partly cloudy,2.805578
Croatia,Zagreb,2024-12-02 11:30:00,6.1,81,1025.0,Mist,1.3889
Croatia,Zagreb,2024-12-03 11:30:00,5.3,81,1020.0,Overcast,1.3055660000000002
Croatia,Zagreb,2024-12-04 11:30:00,5.4,87,1023.0,Partly cloudy,1.3889
Croatia,Zagreb,2024-12-05 11:30:00,4.1,75,1027.0,Sunny,3.5000280000000004
Croatia,Zagreb,2024-12-06 11:30:00,3.3,87,1012.0,Sunny,2.194462
Croatia,Zagreb,2024-12-07 11:15:00,5.0,81,1015.0,Sunny,1.11112
Croatia,Zagreb,2024-12-08 11:30:00,5.0,81,1006.0,Partly cloudy,3.8055860000000004
Croatia,Zagreb,2024-12-09 11:45:00,3.0,87,1013.0,Overcast,1.3889
Croatia,Zagreb,2024-12-10 12:00:00,4.1,93,1022.0,Overcast,1.0000080000000002
Croatia,Zagreb,2024-12-11 11:45:00,3.1,93,1026.0,Light rain,1.694458
Croatia,Zagreb,2024-12-12 11:45:00,3.3,87,1031.0,Overcast,1.11112
Croatia,Zagreb,2024-12-13 12:00:00,1.3,93,1034.0,Overcast,1.0000080000000002
Croatia,Zagreb,2024-12-14 12:00:00,1.0,93,1021.0,Mist,1.0000080000000002
Croatia,Zagreb,2024-12-15 11:30:00,1.2,93,1026.0,Mist,1.0000080000000002
Croatia,Zagreb,2024-12-16 11:15:00,3.2,93,1032.0,Sunny,2.194462
Croatia,Zagreb,2024-12-17 11:45:00,10.1,66,1028.0,Sunny,1.0000080000000002
Croatia,Zagreb,2024-12-18 12:00:00,5.0,93,1025.0,Sunny,1.3055660000000002
Croatia,Zagreb,2024-12-19 11:15:00,8.0,75,1014.0,Sunny,3.5000280000000004
Croatia,Zagreb,2024-12-20 11:15:00,7.5,64,1012.0,Patchy rain nearby,3.3055820000000002
Croatia,Zagreb,2024-12-21 11:15:00,4.2,64,1025.0,Sunny,1.5000120000000003
Croatia,Zagreb,2024-12-22 11:15:00,3.8,53,1012.0,Patchy rain nearby,3.0000240000000007
Croatia,Zagreb,2024-12-23 11:45:00,4.0,61,1003.0,Cloudy,7.305614000000001
Croatia,Zagreb,2024-12-24 11:45:00,6.1,50,1016.0,Partly Cloudy,6.694498000000001
Croatia,Zagreb,2024-12-25 11:15:00,5.5,57,1032.0,Cloudy,6.000048000000001
Croatia,Zagreb,2024-12-26 11:30:00,3.7,60,1038.0,Sunny,1.611124
Croatia,Zagreb,2024-12-27 11:30:00,2.2,80,1036.0,Sunny,1.3055660000000002
Croatia,Zagreb,2024-12-28 11:15:00,4.3,70,1030.0,Sunny,1.0000080000000002
Croatia,Zagreb,2024-12-29 10:45:00,3.2,81,1030.0,Sunny,1.0000080000000002
Croatia,Zagreb,2024-12-30 11:30:00,2.4,87,1031.0,Mist,1.0000080000000002
Croatia,Zagreb,2024-12-31 11:30:00,4.8,70,1032.0,Sunny,1.0000080000000002
