Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Cuba,Havana,2024-07-01 09:15:00,26.1,94,1016.0,Partly cloudy,1.8889040000000001
Cuba,Havana,2024-07-02 09:15:00,28.0,84,1017.0,Sunny,1.0000080000000002
Cuba,Havana,2024-07-03 09:00:00,26.1,100,1017.0,Partly cloudy,1.8889040000000001
Cuba,Havana,2024-07-04 09:00:00,27.3,100,1014.0,Partly cloudy,3.111136
Cuba,Havana,2024-07-05 08:45:00,26.1,89,1013.0,Partly cloudy,1.8889040000000001
Cuba,Havana,2024-07-06 09:15:00,28.3,84,1015.0,Partly cloudy,1.0000080000000002
Cuba,Havana,2024-07-07 09:00:00,27.1,89,1015.0,Partly cloudy,1.0000080000000002
Cuba,Havana,2024-07-08 09:00:00,26.4,94,1017.0,Sunny,1.8889040000000001
Cuba,Havana,2024-07-09 08:45:00,25.3,100,1017.0,Sunny,1.8889040000000001
Cuba,Havana,2024-07-10 09:00:00,27.3,89,1016.0,Partly cloudy,1.0000080000000002
Cuba,Havana,2024-07-11 08:45:00,24.3,94,1016.0,Sunny,1.0000080000000002
Cuba,Havana,2024-07-12 09:00:00,25.0,100,1019.0,Sunny,1.0000080000000002
Cuba,Havana,2024-07-13 09:00:00,29.1,75,1020.0,Patchy rain nearby,6.805610000000001
Cuba,Havana,2024-07-14 09:15:00,28.4,89,1019.0,Partly cloudy,3.111136
Cuba,Havana,2024-07-15 09:00:00,25.1,100,1018.0,Partly cloudy,1.0000080000000002
Cuba,Havana,2024-07-16 08:45:00,27.9,80,1016.0,Sunny,3.6944740000000005
Cuba,Havana,2024-07-17 08:45:00,24.3,94,1017.0,Partly cloudy,1.8889040000000001
Cuba,Havana,2024-07-18 08:45:00,26.1,94,1017.0,Partly cloudy,1.0000080000000002
Cuba,Havana,2024-07-19 08:30:00,24.1,100,1018.0,Sunny,1.694458
Cuba,Havana,2024-07-20 08:45:00,26.4,94,1018.0,Sunny,1.11112
Cuba,Havana,2024-07-23 08:30:00,27.3,81,1017.0,Sunny,6.6111640000000005
Cuba,Havana,2024-07-24 08:45:00,27.8,81,1019.0,Partly Cloudy,6.388940000000001
Cuba,Havana,2024-07-25 08:15:00,28.0,81,1019.0,Patchy rain nearby,6.500052
Cuba,Havana,2024-07-26 08:30:00,27.7,79,1017.0,Sunny,4.694482
Cuba,Havana,2024-07-27 08:30:00,28.2,74,1016.0,Sunny,2.0000160000000005
Cuba,Havana,2024-07-28 08:45:00,27.9,67,1017.0,Sunny,1.11112
Cuba,Havana,2024-07-29 08:15:00,28.5,77,1018.0,Sunny,4.000032000000001
Cuba,Havana,2024-07-30 08:15:00,27.7,81,1017.0,Sunny,4.000032000000001
Cuba,Havana,2024-07-31 08:15:00,27.8,78,1017.0,Sunny,5.611156
