Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Cyprus,Nicosia,2024-08-01 15:15:00,35.6,28,1005.0,Sunny,3.3055820000000002
Cyprus,Nicosia,2024-08-02 15:15:00,35.2,25,1003.0,Sunny,8.88896
Cyprus,Nicosia,2024-08-03 15:30:00,33.8,38,1003.0,Sunny,5.611156
Cyprus,Nicosia,2024-08-04 15:30:00,34.1,36,1004.0,Sunny,4.805594000000001
Cyprus,Nicosia,2024-08-05 15:30:00,34.4,28,1004.0,Sunny,6.888944000000001
Cyprus,Nicosia,2024-08-06 15:15:00,34.5,32,1004.0,Sunny,5.00004
Cyprus,Nicosia,2024-08-07 15:00:00,34.1,39,1004.0,Sunny,1.0000080000000002
Cyprus,Nicosia,2024-08-08 15:15:00,34.0,39,1006.0,Sunny,1.0000080000000002
Cyprus,Nicosia,2024-08-09 15:30:00,33.5,42,1007.0,Sunny,2.6944660000000002
Cyprus,Nicosia,2024-08-10 15:30:00,33.4,40,1007.0,Sunny,1.694458
Cyprus,Nicosia,2024-08-11 15:15:00,35.5,37,1005.0,Sunny,1.8055700000000001
Cyprus,Nicosia,2024-08-12 15:30:00,36.4,21,1003.0,Sunny,2.3055740000000005
Cyprus,Nicosia,2024-08-13 15:30:00,35.9,30,1005.0,Sunny,1.0000080000000002
Cyprus,Nicosia,2024-08-14 15:30:00,37.3,40,1006.0,Partly cloudy,4.194478
Cyprus,Nicosia,2024-08-15 15:15:00,38.4,24,1006.0,Partly cloudy,3.6111400000000002
Cyprus,Nicosia,2024-08-16 15:15:00,38.3,33,1002.0,Partly cloudy,6.694498000000001
Cyprus,Nicosia,2024-08-17 15:15:00,38.4,26,1002.0,Partly cloudy,6.694498000000001
Cyprus,Nicosia,2024-08-18 15:00:00,36.2,37,1005.0,Clear,5.611156
Cyprus,Nicosia,2024-08-19 15:30:00,37.0,24,1007.0,Partly cloudy,5.611156
Cyprus,Nicosia,2024-08-20 15:15:00,36.3,45,1007.0,Partly cloudy,5.305598000000001
Cyprus,Nicosia,2024-08-21 15:15:00,38.1,33,1004.0,Partly cloudy,1.8889040000000001
Cyprus,Nicosia,2024-08-22 15:00:00,34.3,50,1005.0,Partly cloudy,3.6111400000000002
Cyprus,Nicosia,2024-08-23 15:15:00,33.3,53,1008.0,Partly cloudy,4.194478
Cyprus,Nicosia,2024-08-24 15:00:00,36.0,37,1006.0,Partly cloudy,3.6111400000000002
Cyprus,Nicosia,2024-08-25 15:00:00,35.1,42,1005.0,Partly cloudy,6.694498000000001
Cyprus,Nicosia,2024-08-26 15:15:00,34.3,44,1007.0,Light rain,6.111160000000001
Cyprus,Nicosia,2024-08-27 15:15:00,35.2,39,1008.0,Partly cloudy,6.694498000000001
Cyprus,Nicosia,2024-08-28 15:30:00,35.3,42,1010.0,Partly cloudy,6.111160000000001
Cyprus,Nicosia,2024-08-29 15:00:00,34.2,44,1009.0,Partly cloudy,5.611156
Cyprus,Nicosia,2024-08-30 15:15:00,37.0,21,1007.0,Partly cloudy,3.111136
Cyprus,Nicosia,2024-08-31 15:00:00,36.4,37,1008.0,Partly cloudy,1.8889040000000001
