Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Czech Republic,Prague,2025-04-01 11:30:00,6.1,81,1025.0,Partly cloudy,5.00004
Czech Republic,Prague,2025-04-02 11:00:00,9.1,71,1024.0,Sunny,5.611156
Czech Republic,Prague,2025-04-03 11:00:00,11.1,58,1026.0,Sunny,2.8889120000000004
Czech Republic,Prague,2025-04-04 11:15:00,14.1,55,1023.0,Sunny,1.1944540000000001
Czech Republic,Prague,2025-04-05 11:00:00,11.3,66,1013.0,Sunny,6.6111640000000005
Czech Republic,Prague,2025-04-06 11:00:00,1.3,47,1023.0,Partly cloudy,5.694490000000001
Czech Republic,Prague,2025-04-07 11:15:00,5.2,48,1023.0,Partly cloudy,4.611148000000001
Czech Republic,Prague,2025-04-08 11:15:00,7.2,66,1026.0,Overcast,3.6111400000000002
Czech Republic,Prague,2025-04-09 11:15:00,9.3,53,1022.0,Partly cloudy,2.50002
Czech Republic,Prague,2025-04-10 11:15:00,7.2,66,1024.0,Partly cloudy,5.111152
Czech Republic,Prague,2025-04-11 11:00:00,12.3,50,1016.0,Partly cloudy,7.388948000000001
Czech Republic,Prague,2025-04-12 11:15:00,15.3,55,1017.0,Partly cloudy,1.8889040000000001
Czech Republic,Prague,2025-04-13 11:00:00,13.3,62,1009.0,Sunny,1.611124
Czech Republic,Prague,2025-04-14 11:30:00,17.2,63,1011.0,Sunny,1.0000080000000002
Czech Republic,Prague,2025-04-15 11:15:00,15.1,77,1003.0,Overcast,5.500044000000001
Czech Republic,Prague,2025-04-16 11:00:00,12.1,100,1010.0,Fog,4.500036000000001
Czech Republic,Prague,2025-04-17 10:45:00,21.0,43,1007.0,Sunny,8.694514000000002
Czech Republic,Prague,2025-04-18 11:15:00,12.1,94,1008.0,Overcast,3.8055860000000004
Czech Republic,Prague,2025-04-19 11:00:00,10.2,76,1011.0,Overcast,3.111136
Czech Republic,Prague,2025-04-20 10:45:00,15.1,72,1007.0,Sunny,1.5000120000000003
Czech Republic,Prague,2025-04-21 11:15:00,16.3,68,1010.0,Light drizzle,3.8055860000000004
Czech Republic,Prague,2025-04-22 11:15:00,16.4,51,1018.0,Sunny,4.611148000000001
Czech Republic,Prague,2025-04-23 11:00:00,16.3,51,1017.0,Sunny,2.111128
Czech Republic,Prague,2025-04-24 11:00:00,12.3,94,1012.0,Mist,5.888936
Czech Republic,Prague,2025-04-25 11:00:00,10.2,94,1014.0,Light rain,1.611124
Czech Republic,Prague,2025-04-26 11:00:00,10.3,71,1022.0,Sunny,4.388924
Czech Republic,Prague,2025-04-27 10:45:00,10.1,58,1026.0,Sunny,4.000032000000001
Czech Republic,Prague,2025-04-28 11:30:00,14.2,51,1027.0,Sunny,2.111128
Czech Republic,Prague,2025-04-29 10:45:00,16.3,45,1026.0,Sunny,2.111128
Czech Republic,Prague,2025-04-30 10:45:00,16.3,59,1024.0,Sunny,1.8055700000000001
