Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Denmark,Copenhagen,2025-04-01 11:30:00,10.3,54,1032.0,Sunny,1.8889040000000001
Denmark,Copenhagen,2025-04-02 11:00:00,9.3,57,1033.0,Sunny,1.611124
Denmark,Copenhagen,2025-04-03 11:00:00,14.1,44,1031.0,Clear,1.0000080000000002
Denmark,Copenhagen,2025-04-04 11:15:00,14.1,44,1022.0,Sunny,3.1944700000000004
Denmark,Copenhagen,2025-04-05 11:00:00,6.2,52,1023.0,Sunny,5.694490000000001
Denmark,Copenhagen,2025-04-06 11:00:00,6.1,36,1029.0,Sunny,3.8889200000000006
Denmark,Copenhagen,2025-04-07 11:00:00,10.0,62,1024.0,Partly cloudy,4.000032000000001
Denmark,Copenhagen,2025-04-08 11:15:00,9.4,62,1030.0,Sunny,2.6944660000000002
Denmark,Copenhagen,2025-04-09 11:15:00,10.1,71,1022.0,Sunny,5.00004
Denmark,Copenhagen,2025-04-10 11:15:00,8.3,53,1024.0,Sunny,2.3889080000000003
Denmark,Copenhagen,2025-04-11 11:15:00,10.2,71,1012.0,Partly cloudy,7.111168000000001
Denmark,Copenhagen,2025-04-12 11:15:00,10.4,82,1013.0,Partly cloudy,5.305598000000001
Denmark,Copenhagen,2025-04-13 11:00:00,10.2,82,1004.0,Sunny,7.388948000000001
Denmark,Copenhagen,2025-04-14 11:30:00,8.2,93,1010.0,Moderate rain,3.5000280000000004
Denmark,Copenhagen,2025-04-15 11:15:00,12.0,71,1010.0,Partly cloudy,8.305622
Denmark,Copenhagen,2025-04-16 11:00:00,13.1,88,1007.0,Partly cloudy,3.5000280000000004
Denmark,Copenhagen,2025-04-17 10:45:00,13.1,82,1010.0,Sunny,6.888944000000001
Denmark,Copenhagen,2025-04-18 11:15:00,12.2,82,1008.0,Partly cloudy,6.888944000000001
Denmark,Copenhagen,2025-04-19 11:00:00,10.3,94,1006.0,Light rain,3.388916
Denmark,Copenhagen,2025-04-20 10:45:00,8.3,93,1006.0,Light rain,3.8055860000000004
Denmark,Copenhagen,2025-04-21 11:15:00,11.2,82,1010.0,Overcast,1.3889
Denmark,Copenhagen,2025-04-22 11:15:00,10.3,94,1015.0,Light rain,2.805578
Denmark,Copenhagen,2025-04-23 11:00:00,12.4,71,1018.0,Partly cloudy,1.0000080000000002
Denmark,Copenhagen,2025-04-24 11:00:00,12.1,77,1019.0,Patchy rain nearby,1.694458
Denmark,Copenhagen,2025-04-25 11:00:00,8.2,76,1023.0,Partly cloudy,1.8055700000000001
Denmark,Copenhagen,2025-04-26 11:00:00,9.3,76,1028.0,Partly cloudy,2.6944660000000002
Denmark,Copenhagen,2025-04-27 10:45:00,10.1,58,1031.0,Sunny,5.00004
Denmark,Copenhagen,2025-04-28 11:30:00,13.3,67,1027.0,Sunny,3.388916
Denmark,Copenhagen,2025-04-29 10:45:00,14.2,59,1023.0,Sunny,7.000056000000001
Denmark,Copenhagen,2025-04-30 10:45:00,16.1,63,1022.0,Sunny,5.805602
