Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Djibouti,Djibouti,2024-10-01 13:00:00,36.3,57,1008.0,Mist,4.500036000000001
Djibouti,Djibouti,2024-10-02 12:30:00,32.0,63,1008.0,Patchy rain nearby,4.111144
Djibouti,Djibouti,2024-10-03 12:30:00,38.3,42,1010.0,Partly cloudy,3.8889200000000006
Djibouti,Djibouti,2024-10-04 12:45:00,32.5,61,1009.0,Sunny,2.8889120000000004
Djibouti,Djibouti,2024-10-05 12:30:00,33.1,58,1008.0,Sunny,3.3055820000000002
Djibouti,Djibouti,2024-10-06 12:15:00,33.0,60,1008.0,Sunny,3.6944740000000005
Djibouti,Djibouti,2024-10-07 12:45:00,33.2,58,1009.0,Sunny,4.388924
Djibouti,Djibouti,2024-10-08 12:45:00,32.3,62,1011.0,Sunny,3.8055860000000004
Djibouti,Djibouti,2024-10-09 12:45:00,32.2,59,1011.0,Sunny,3.6944740000000005
Djibouti,Djibouti,2024-10-10 12:45:00,31.6,62,1009.0,Sunny,3.6944740000000005
Djibouti,Djibouti,2024-10-11 12:45:00,31.6,60,1009.0,Sunny,3.8055860000000004
Djibouti,Djibouti,2024-10-12 12:45:00,31.6,66,1010.0,Sunny,4.388924
Djibouti,Djibouti,2024-10-13 12:30:00,32.2,61,1010.0,Sunny,3.6944740000000005
Djibouti,Djibouti,2024-10-14 12:30:00,32.8,50,1008.0,Sunny,2.6944660000000002
Djibouti,Djibouti,2024-10-15 12:30:00,33.4,49,1008.0,Sunny,3.8055860000000004
Djibouti,Djibouti,2024-10-16 12:30:00,34.0,51,1008.0,Sunny,4.388924
Djibouti,Djibouti,2024-10-17 12:30:00,33.3,55,1009.0,Sunny,3.3055820000000002
Djibouti,Djibouti,2024-10-18 12:30:00,34.3,53,1009.0,Sunny,3.3055820000000002
Djibouti,Djibouti,2024-10-19 12:30:00,32.3,54,1009.0,Sunny,4.000032000000001
Djibouti,Djibouti,2024-10-20 12:30:00,31.6,61,1010.0,Sunny,3.8055860000000004
Djibouti,Djibouti,2024-10-21 12:15:00,31.9,61,1010.0,Sunny,3.6944740000000005
Djibouti,Djibouti,2024-10-22 12:15:00,32.5,55,1010.0,Sunny,5.611156
Djibouti,Djibouti,2024-10-23 12:15:00,32.5,50,1009.0,Sunny,4.888928000000001
Djibouti,Djibouti,2024-10-24 12:15:00,31.8,61,1010.0,Sunny,4.500036000000001
Djibouti,Djibouti,2024-10-25 12:15:00,32.0,63,1009.0,Patchy rain nearby,7.194502
Djibouti,Djibouti,2024-10-26 12:15:00,31.1,71,1012.0,Moderate rain,3.6944740000000005
Djibouti,Djibouti,2024-10-27 12:15:00,31.5,60,1011.0,Sunny,7.194502
Djibouti,Djibouti,2024-10-28 12:15:00,30.8,61,1011.0,Sunny,4.611148000000001
Djibouti,Djibouti,2024-10-29 12:00:00,30.8,62,1011.0,Patchy rain nearby,6.305606
Djibouti,Djibouti,2024-10-30 12:00:00,30.3,58,1010.0,Sunny,5.305598000000001
Djibouti,Djibouti,2024-10-31 12:00:00,30.2,54,1011.0,Sunny,6.305606
