Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Dominica,Roseau,2024-09-01 08:00:00,26.1,94,1014.0,Partly cloudy,1.8889040000000001
Dominica,Roseau,2024-09-02 08:15:00,29.1,84,1014.0,Partly cloudy,3.6111400000000002
Dominica,Roseau,2024-09-03 08:15:00,28.6,77,1014.0,Patchy rain nearby,7.000056000000001
Dominica,Roseau,2024-09-04 08:00:00,27.1,100,1014.0,Partly cloudy,1.694458
Dominica,Roseau,2024-09-05 08:00:00,26.3,94,1013.0,Light rain,1.0000080000000002
Dominica,Roseau,2024-09-06 08:15:00,28.1,100,1012.0,Partly cloudy,1.0000080000000002
Dominica,Roseau,2024-09-07 08:00:00,26.0,100,1011.0,Partly cloudy,1.694458
Dominica,Roseau,2024-09-08 08:15:00,25.2,100,1012.0,Partly cloudy,2.50002
Dominica,Roseau,2024-09-09 08:30:00,26.2,100,1012.0,Partly cloudy,1.11112
Dominica,Roseau,2024-09-10 08:30:00,29.4,84,1011.0,Partly cloudy,1.11112
Dominica,Roseau,2024-09-11 08:00:00,26.2,100,1012.0,Partly cloudy,1.694458
Dominica,Roseau,2024-09-12 08:15:00,28.3,100,1011.0,Partly cloudy,1.0000080000000002
Dominica,Roseau,2024-09-13 08:30:00,31.3,71,1012.0,Partly cloudy,4.194478
Dominica,Roseau,2024-09-14 08:30:00,27.3,89,1013.0,Light rain,5.111152
Dominica,Roseau,2024-09-15 08:00:00,29.2,84,1014.0,Partly cloudy,5.3889320000000005
Dominica,Roseau,2024-09-16 07:00:00,28.4,89,1014.0,Partly cloudy,4.388924
Dominica,Roseau,2024-09-17 07:00:00,25.1,100,1013.0,Partly cloudy,4.388924
Dominica,Roseau,2024-09-18 06:45:00,24.2,100,1012.0,Partly cloudy,2.8889120000000004
Dominica,Roseau,2024-09-19 06:45:00,24.1,100,1011.0,Partly cloudy,2.0000160000000005
Dominica,Roseau,2024-09-20 06:45:00,23.1,100,1010.0,Partly cloudy,1.5000120000000003
Dominica,Roseau,2024-09-21 06:45:00,24.2,100,1012.0,Partly cloudy,2.3055740000000005
Dominica,Roseau,2024-09-22 06:30:00,28.5,74,1011.0,Patchy rain nearby,1.611124
Dominica,Roseau,2024-09-23 05:45:00,28.1,71,1011.0,Clear,3.111136
Dominica,Roseau,2024-09-24 05:45:00,28.0,78,1012.0,Patchy rain nearby,3.0000240000000007
Dominica,Roseau,2024-09-25 05:30:00,28.3,78,1012.0,Patchy rain nearby,3.111136
Dominica,Roseau,2024-09-26 05:30:00,28.3,76,1011.0,Patchy rain nearby,3.5000280000000004
Dominica,Roseau,2024-09-27 06:00:00,28.5,78,1011.0,Patchy rain nearby,6.000048000000001
Dominica,Roseau,2024-09-28 06:00:00,27.9,78,1012.0,Patchy rain nearby,4.000032000000001
Dominica,Roseau,2024-09-29 05:30:00,27.7,76,1010.0,Patchy rain nearby,2.8889120000000004
Dominica,Roseau,2024-09-30 05:30:00,27.7,77,1011.0,Partly Cloudy,2.0000160000000005
