Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Dominican Republic,Santo Domingo,2025-03-01 05:45:00,22.0,94,1014.0,Partly cloudy,1.8889040000000001
Dominican Republic,Santo Domingo,2025-03-02 06:00:00,22.3,100,1014.0,Partly cloudy,1.0000080000000002
Dominican Republic,Santo Domingo,2025-03-03 05:45:00,21.0,100,1013.0,Partly cloudy,1.0000080000000002
Dominican Republic,Santo Domingo,2025-03-04 05:30:00,21.1,94,1013.0,Partly cloudy,2.50002
Dominican Republic,Santo Domingo,2025-03-05 05:45:00,22.3,100,1013.0,Partly cloudy,3.1944700000000004
Dominican Republic,Santo Domingo,2025-03-06 05:45:00,23.0,100,1012.0,Partly cloudy,1.3889
Dominican Republic,Santo Domingo,2025-03-07 05:45:00,23.4,94,1014.0,Partly cloudy,2.194462
Dominican Republic,Santo Domingo,2025-03-08 05:45:00,22.3,100,1016.0,Partly cloudy,3.6944740000000005
Dominican Republic,Santo Domingo,2025-03-09 05:30:00,22.0,100,1015.0,Partly cloudy,2.6944660000000002
Dominican Republic,Santo Domingo,2025-03-10 05:45:00,21.3,94,1015.0,Partly cloudy,2.8889120000000004
Dominican Republic,Santo Domingo,2025-03-11 05:45:00,22.4,94,1013.0,Partly cloudy,1.0000080000000002
Dominican Republic,Santo Domingo,2025-03-12 05:45:00,21.4,100,1014.0,Partly cloudy,1.0000080000000002
Dominican Republic,Santo Domingo,2025-03-13 05:45:00,23.1,94,1015.0,Partly cloudy,3.8889200000000006
Dominican Republic,Santo Domingo,2025-03-14 05:45:00,22.1,100,1013.0,Partly cloudy,3.3055820000000002
Dominican Republic,Santo Domingo,2025-03-15 05:45:00,20.3,100,1013.0,Partly cloudy,3.111136
Dominican Republic,Santo Domingo,2025-03-16 06:00:00,22.2,100,1015.0,Partly cloudy,3.111136
Dominican Republic,Santo Domingo,2025-03-17 05:45:00,20.1,100,1016.0,Partly cloudy,3.1944700000000004
Dominican Republic,Santo Domingo,2025-03-18 05:45:00,22.4,94,1014.0,Partly cloudy,1.8889040000000001
Dominican Republic,Santo Domingo,2025-03-19 05:30:00,21.3,94,1013.0,Partly cloudy,3.6944740000000005
Dominican Republic,Santo Domingo,2025-03-20 05:45:00,18.3,100,1015.0,Partly cloudy,2.805578
Dominican Republic,Santo Domingo,2025-03-21 05:30:00,20.4,94,1016.0,Partly cloudy,2.8889120000000004
Dominican Republic,Santo Domingo,2025-03-22 05:30:00,22.3,94,1017.0,Partly cloudy,3.6944740000000005
Dominican Republic,Santo Domingo,2025-03-23 05:45:00,23.1,100,1017.0,Partly cloudy,2.8889120000000004
Dominican Republic,Santo Domingo,2025-03-24 05:30:00,22.2,100,1017.0,Partly cloudy,3.388916
Dominican Republic,Santo Domingo,2025-03-25 05:15:00,22.3,95,1016.0,Partly cloudy,2.3889080000000003
Dominican Republic,Santo Domingo,2025-03-26 05:15:00,22.1,100,1016.0,Partly cloudy,2.0000160000000005
Dominican Republic,Santo Domingo,2025-03-27 05:15:00,22.2,100,1013.0,Partly cloudy,1.3889
Dominican Republic,Santo Domingo,2025-03-28 05:30:00,22.3,100,1015.0,Partly cloudy,3.1944700000000004
Dominican Republic,Santo Domingo,2025-03-29 05:15:00,22.3,94,1016.0,Partly cloudy,4.000032000000001
Dominican Republic,Santo Domingo,2025-03-30 05:15:00,22.2,100,1015.0,Partly cloudy,3.3055820000000002
Dominican Republic,Santo Domingo,2025-03-31 05:15:00,21.4,100,1015.0,Partly cloudy,2.805578
