Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Ecuador,Quito,2025-05-01 03:45:00,10.6,95,1016.0,Mist,1.0000080000000002
Ecuador,Quito,2025-05-02 04:00:00,9.1,92,1017.0,Overcast,1.5000120000000003
Ecuador,Quito,2025-05-03 04:00:00,9.1,88,1017.0,Partly Cloudy,1.5000120000000003
Ecuador,Quito,2025-05-04 03:45:00,9.5,88,1017.0,Partly Cloudy,1.0000080000000002
Ecuador,Quito,2025-05-05 04:00:00,9.4,91,1017.0,Clear,1.0000080000000002
Ecuador,Quito,2025-05-06 04:00:00,10.6,88,1017.0,Patchy rain nearby,1.0000080000000002
Ecuador,Quito,2025-05-07 03:45:00,8.8,91,1018.0,Patchy rain nearby,1.1944540000000001
Ecuador,Quito,2025-05-08 03:45:00,8.8,92,1018.0,Patchy rain nearby,1.0000080000000002
Ecuador,Quito,2025-05-09 04:15:00,8.7,85,1017.0,Clear,1.694458
Ecuador,Quito,2025-05-10 04:00:00,9.4,84,1017.0,Clear,2.194462
Ecuador,Quito,2025-05-11 03:45:00,11.7,77,1016.0,Patchy rain nearby,1.3055660000000002
Ecuador,Quito,2025-05-12 04:00:00,11.8,78,1016.0,Patchy rain nearby,1.3055660000000002
Ecuador,Quito,2025-05-13 04:15:00,12.0,78,1016.0,Clear,1.1944540000000001
Ecuador,Quito,2025-05-14 04:15:00,10.2,86,1016.0,Partly Cloudy,1.0000080000000002
Ecuador,Quito,2025-05-15 04:00:00,8.9,86,1017.0,Clear,1.1944540000000001
Ecuador,Quito,2025-05-16 04:00:00,8.7,87,1018.0,Partly Cloudy,1.11112
Ecuador,Quito,2025-05-17 03:45:00,11.2,95,1017.0,Patchy light drizzle,1.0000080000000002
Ecuador,Quito,2025-05-18 03:45:00,9.8,94,1018.0,Mist,1.0000080000000002
Ecuador,Quito,2025-05-19 04:00:00,10.9,95,1017.0,Mist,1.0000080000000002
Ecuador,Quito,2025-05-20 04:00:00,9.6,90,1017.0,Cloudy,1.0000080000000002
Ecuador,Quito,2025-05-22 03:45:00,9.5,87,1016.0,Clear,1.8889040000000001
Ecuador,Quito,2025-05-23 04:00:00,8.9,85,1018.0,Partly Cloudy,1.611124
Ecuador,Quito,2025-05-24 03:45:00,9.6,79,1017.0,Clear,2.3055740000000005
Ecuador,Quito,2025-05-25 03:30:00,10.5,91,1017.0,Clear,1.1944540000000001
Ecuador,Quito,2025-05-26 04:00:00,11.1,87,1017.0,Patchy rain nearby,1.0000080000000002
Ecuador,Quito,2025-05-27 04:00:00,8.8,91,1019.0,Clear,1.694458
Ecuador,Quito,2025-05-28 03:45:00,9.0,86,1019.0,Clear,2.111128
Ecuador,Quito,2025-05-29 03:45:00,9.6,81,1019.0,Clear,2.0000160000000005
Ecuador,Quito,2025-05-30 03:45:00,9.6,81,1019.0,Clear,1.8055700000000001
Ecuador,Quito,2025-05-31 03:45:00,11.5,90,1017.0,Patchy rain nearby,1.11112
