Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Egypt,Cairo,2025-06-01 11:45:00,28.2,35,1015.0,Sunny,3.3055820000000002
Egypt,Cairo,2025-06-02 12:00:00,25.2,44,1019.0,Partly cloudy,3.6111400000000002
Egypt,Cairo,2025-06-03 12:00:00,25.4,51,1017.0,Partly cloudy,3.388916
Egypt,Cairo,2025-06-04 11:45:00,27.1,51,1015.0,Sunny,4.805594000000001
Egypt,Cairo,2025-06-05 11:45:00,29.3,35,1014.0,Sunny,4.611148000000001
Egypt,Cairo,2025-06-06 11:45:00,29.3,40,1013.0,Sunny,4.805594000000001
Egypt,Cairo,2025-06-07 11:45:00,29.2,40,1013.0,Sunny,3.6944740000000005
Egypt,Cairo,2025-06-08 12:00:00,29.1,43,1012.0,Sunny,4.000032000000001
Egypt,Cairo,2025-06-09 11:45:00,29.0,48,1011.0,Sunny,3.0000240000000007
Egypt,Cairo,2025-06-10 11:45:00,30.4,40,1009.0,Sunny,2.805578
Egypt,Cairo,2025-06-11 12:00:00,30.0,35,1008.0,Sunny,1.8055700000000001
Egypt,Cairo,2025-06-12 11:45:00,30.1,40,1009.0,Sunny,2.6944660000000002
Egypt,Cairo,2025-06-13 12:00:00,29.3,52,1012.0,Sunny,4.694482
Egypt,Cairo,2025-06-14 12:00:00,31.1,33,1011.0,Sunny,3.6111400000000002
Egypt,Cairo,2025-06-15 11:45:00,28.3,42,1011.0,Sunny,4.3055900000000005
Egypt,Cairo,2025-06-16 11:45:00,27.4,45,1010.0,Sunny,3.8889200000000006
Egypt,Cairo,2025-06-17 12:00:00,26.4,58,1010.0,Partly cloudy,2.3889080000000003
Egypt,Cairo,2025-06-18 12:00:00,30.0,46,1012.0,Partly cloudy,4.3055900000000005
Egypt,Cairo,2025-06-19 12:00:00,30.1,31,1013.0,Sunny,3.1944700000000004
Egypt,Cairo,2025-06-20 12:00:00,29.1,45,1012.0,Sunny,3.388916
Egypt,Cairo,2025-06-21 11:45:00,30.3,35,1011.0,Sunny,3.6944740000000005
Egypt,Cairo,2025-06-22 11:45:00,29.3,52,1011.0,Sunny,6.6111640000000005
Egypt,Cairo,2025-06-23 12:00:00,29.1,40,1010.0,Sunny,5.111152
Egypt,Cairo,2025-06-24 12:00:00,28.3,55,1010.0,Sunny,3.5000280000000004
Egypt,Cairo,2025-06-25 11:45:00,30.4,46,1010.0,Sunny,4.000032000000001
Egypt,Cairo,2025-06-26 12:00:00,29.1,37,1009.0,Sunny,2.6944660000000002
Egypt,Cairo,2025-06-27 12:00:00,29.4,52,1008.0,Mist,1.0000080000000002
Egypt,Cairo,2025-06-28 11:30:00,29.2,55,1005.0,Mist,2.0000160000000005
Egypt,Cairo,2025-06-29 11:30:00,31.0,46,1003.0,Sunny,3.3055820000000002
Egypt,Cairo,2025-06-30 11:30:00,33.0,28,1005.0,Sunny,1.8889040000000001
