Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
El Salvador,San Salvador,2025-05-01 02:45:00,24.1,94,1011.0,Light rain,1.0000080000000002
El Salvador,San Salvador,2025-05-02 03:00:00,27.3,84,1009.0,Partly cloudy,1.0000080000000002
El Salvador,San Salvador,2025-05-03 03:00:00,25.3,89,1009.0,Partly Cloudy,1.0000080000000002
El Salvador,San Salvador,2025-05-04 02:45:00,25.3,89,1011.0,Overcast,1.0000080000000002
El Salvador,San Salvador,2025-05-05 03:00:00,25.2,100,1009.0,Moderate or heavy rain with thunder,1.0000080000000002
El Salvador,San Salvador,2025-05-06 03:00:00,25.2,94,1010.0,Partly Cloudy,1.0000080000000002
El Salvador,San Salvador,2025-05-07 02:45:00,27.2,89,1009.0,Partly cloudy,1.0000080000000002
El Salvador,San Salvador,2025-05-08 02:45:00,25.2,94,1010.0,Partly Cloudy,1.0000080000000002
El Salvador,San Salvador,2025-05-09 03:15:00,27.2,94,1009.0,Partly cloudy,1.0000080000000002
El Salvador,San Salvador,2025-05-10 03:00:00,26.3,100,1009.0,Partly cloudy,1.0000080000000002
El Salvador,San Salvador,2025-05-11 02:45:00,27.3,74,1009.0,Partly cloudy,1.0000080000000002
El Salvador,San Salvador,2025-05-12 03:00:00,29.1,58,1010.0,Clear,1.8055700000000001
El Salvador,San Salvador,2025-05-13 03:15:00,28.2,62,1010.0,Clear,1.5000120000000003
El Salvador,San Salvador,2025-05-14 03:15:00,25.0,94,1009.0,Partly Cloudy,1.3889
El Salvador,San Salvador,2025-05-15 03:00:00,24.4,89,1010.0,Patchy rain nearby,1.0000080000000002
El Salvador,San Salvador,2025-05-16 03:00:00,25.4,94,1011.0,Moderate or heavy rain with thunder,1.0000080000000002
El Salvador,San Salvador,2025-05-17 02:45:00,25.3,94,1011.0,Patchy rain nearby,1.0000080000000002
El Salvador,San Salvador,2025-05-18 02:45:00,26.3,100,1010.0,Moderate or heavy rain with thunder,1.0000080000000002
El Salvador,San Salvador,2025-05-19 03:00:00,26.0,94,1010.0,Moderate or heavy rain with thunder,1.0000080000000002
El Salvador,San Salvador,2025-05-20 03:00:00,21.8,96,1011.0,Patchy rain nearby,1.0000080000000002
El Salvador,San Salvador,2025-05-22 02:45:00,25.0,94,1009.0,Patchy rain nearby,1.0000080000000002
El Salvador,San Salvador,2025-05-23 03:00:00,27.1,79,1009.0,Clear,1.1944540000000001
El Salvador,San Salvador,2025-05-24 02:45:00,24.3,94,1010.0,Mist,1.11112
El Salvador,San Salvador,2025-05-25 02:30:00,26.2,89,1011.0,Clear,1.0000080000000002
El Salvador,San Salvador,2025-05-26 03:00:00,26.1,89,1012.0,Partly cloudy,1.0000080000000002
El Salvador,San Salvador,2025-05-27 03:00:00,26.3,89,1012.0,Partly cloudy,1.0000080000000002
El Salvador,San Salvador,2025-05-28 02:45:00,26.4,94,1011.0,Partly Cloudy,1.0000080000000002
El Salvador,San Salvador,2025-05-29 02:45:00,26.4,94,1012.0,Partly Cloudy,1.0000080000000002
El Salvador,San Salvador,2025-05-30 02:45:00,25.3,94,1012.0,Patchy rain nearby,1.0000080000000002
El Salvador,San Salvador,2025-05-31 02:45:00,27.2,84,1011.0,Partly cloudy,1.0000080000000002
