Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Equatorial Guinea,Malabo,2025-03-01 10:45:00,28.2,77,1012.0,Patchy rain nearby,2.8889120000000004
Equatorial Guinea,Malabo,2025-03-02 11:00:00,32.2,75,1010.0,Partly cloudy,2.3889080000000003
Equatorial Guinea,Malabo,2025-03-03 10:45:00,31.1,75,1010.0,Patchy light rain with thunder,3.5000280000000004
Equatorial Guinea,Malabo,2025-03-04 10:45:00,28.0,75,1011.0,Patchy rain nearby,1.3889
Equatorial Guinea,Malabo,2025-03-05 10:45:00,28.0,77,1012.0,Patchy rain nearby,2.0000160000000005
Equatorial Guinea,Malabo,2025-03-06 10:45:00,28.5,75,1013.0,Patchy rain nearby,2.111128
Equatorial Guinea,Malabo,2025-03-07 10:45:00,28.1,76,1013.0,Patchy rain nearby,1.0000080000000002
Equatorial Guinea,Malabo,2025-03-08 10:45:00,28.4,76,1012.0,Patchy rain nearby,3.3055820000000002
Equatorial Guinea,Malabo,2025-03-09 10:45:00,29.1,71,1011.0,Patchy rain nearby,2.0000160000000005
Equatorial Guinea,Malabo,2025-03-10 10:45:00,28.4,78,1012.0,Patchy rain nearby,1.0000080000000002
Equatorial Guinea,Malabo,2025-03-11 10:45:00,28.5,78,1012.0,Patchy rain nearby,1.0000080000000002
Equatorial Guinea,Malabo,2025-03-12 10:45:00,29.2,84,1012.0,Patchy light rain with thunder,3.6944740000000005
Equatorial Guinea,Malabo,2025-03-13 10:45:00,31.1,71,1011.0,Partly cloudy,2.3055740000000005
Equatorial Guinea,Malabo,2025-03-14 10:30:00,33.4,67,1012.0,Partly cloudy,1.8055700000000001
Equatorial Guinea,Malabo,2025-03-15 10:45:00,28.6,73,1014.0,Partly Cloudy,1.0000080000000002
Equatorial Guinea,Malabo,2025-03-16 10:45:00,31.1,79,1013.0,Partly cloudy,1.5000120000000003
Equatorial Guinea,Malabo,2025-03-17 10:45:00,28.6,74,1013.0,Patchy rain nearby,2.3889080000000003
Equatorial Guinea,Malabo,2025-03-18 10:45:00,28.1,76,1013.0,Patchy rain nearby,1.0000080000000002
Equatorial Guinea,Malabo,2025-03-19 10:30:00,28.7,73,1013.0,Patchy rain nearby,1.0000080000000002
Equatorial Guinea,Malabo,2025-03-20 10:45:00,30.1,75,1014.0,Partly cloudy,1.1944540000000001
Equatorial Guinea,Malabo,2025-03-21 10:30:00,26.1,89,1014.0,Patchy light rain with thunder,2.0000160000000005
Equatorial Guinea,Malabo,2025-03-22 10:30:00,31.2,79,1012.0,Partly cloudy,1.3055660000000002
Equatorial Guinea,Malabo,2025-03-23 10:45:00,31.0,71,1012.0,Partly cloudy,1.8889040000000001
Equatorial Guinea,Malabo,2025-03-24 10:30:00,31.3,75,1014.0,Partly cloudy,1.8055700000000001
Equatorial Guinea,Malabo,2025-03-25 10:15:00,31.1,75,1013.0,Moderate or heavy rain with thunder,1.8055700000000001
Equatorial Guinea,Malabo,2025-03-26 10:30:00,24.1,100,1012.0,Moderate or heavy rain with thunder,1.0000080000000002
Equatorial Guinea,Malabo,2025-03-27 10:15:00,28.4,84,1012.0,Partly cloudy,2.6944660000000002
Equatorial Guinea,Malabo,2025-03-28 10:45:00,31.2,79,1011.0,Partly cloudy,1.8055700000000001
Equatorial Guinea,Malabo,2025-03-29 10:15:00,31.3,79,1011.0,Partly cloudy,1.0000080000000002
Equatorial Guinea,Malabo,2025-03-30 10:15:00,27.0,100,1011.0,Patchy light rain with thunder,2.3889080000000003
Equatorial Guinea,Malabo,2025-03-31 10:15:00,30.1,75,1011.0,Patchy light rain with thunder,1.3889
