Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Eritrea,Asmara,2024-09-01 15:00:00,22.6,49,1011.0,Patchy rain nearby,5.00004
Eritrea,Asmara,2024-09-02 15:15:00,20.6,59,1013.0,Patchy light rain in area with thunder,3.6944740000000005
Eritrea,Asmara,2024-09-03 15:15:00,22.1,52,1013.0,Patchy light rain in area with thunder,3.6111400000000002
Eritrea,Asmara,2024-09-04 15:00:00,23.0,47,1011.0,Sunny,5.194486
Eritrea,Asmara,2024-09-05 15:00:00,23.2,43,1011.0,Patchy rain nearby,3.8055860000000004
Eritrea,Asmara,2024-09-06 15:15:00,22.6,49,1012.0,Patchy rain nearby,4.194478
Eritrea,Asmara,2024-09-07 15:00:00,22.8,50,1013.0,Patchy light rain in area with thunder,5.00004
Eritrea,Asmara,2024-09-08 15:15:00,23.6,44,1012.0,Sunny,4.194478
Eritrea,Asmara,2024-09-09 15:30:00,23.7,44,1012.0,Sunny,3.8889200000000006
Eritrea,Asmara,2024-09-10 15:30:00,23.9,43,1011.0,Patchy rain nearby,4.694482
Eritrea,Asmara,2024-09-11 15:00:00,24.4,37,1011.0,Sunny,4.694482
Eritrea,Asmara,2024-09-12 15:15:00,25.1,33,1011.0,Sunny,5.111152
Eritrea,Asmara,2024-09-13 15:30:00,25.3,33,1010.0,Sunny,3.6944740000000005
Eritrea,Asmara,2024-09-14 15:30:00,24.4,40,1011.0,Patchy rain nearby,4.500036000000001
Eritrea,Asmara,2024-09-15 15:00:00,24.5,37,1010.0,Patchy rain nearby,4.500036000000001
Eritrea,Asmara,2024-09-16 14:00:00,24.0,42,1011.0,Thundery outbreaks in nearby,5.3889320000000005
Eritrea,Asmara,2024-09-17 14:00:00,23.3,44,1013.0,Sunny,4.888928000000001
Eritrea,Asmara,2024-09-18 13:45:00,22.8,45,1014.0,Sunny,5.805602
Eritrea,Asmara,2024-09-19 13:45:00,23.4,37,1012.0,Sunny,5.00004
Eritrea,Asmara,2024-09-20 13:45:00,24.0,30,1013.0,Sunny,6.000048000000001
Eritrea,Asmara,2024-09-21 13:45:00,24.0,29,1013.0,Sunny,6.305606
Eritrea,Asmara,2024-09-22 13:30:00,24.1,30,1013.0,Sunny,6.000048000000001
Eritrea,Asmara,2024-09-23 12:45:00,23.5,31,1013.0,Sunny,5.3889320000000005
Eritrea,Asmara,2024-09-24 12:45:00,24.0,29,1013.0,Sunny,4.388924
Eritrea,Asmara,2024-09-25 12:30:00,24.2,29,1013.0,Sunny,5.305598000000001
Eritrea,Asmara,2024-09-26 12:30:00,24.8,25,1012.0,Sunny,4.000032000000001
Eritrea,Asmara,2024-09-27 13:00:00,25.1,29,1011.0,Sunny,5.111152
Eritrea,Asmara,2024-09-28 13:00:00,25.4,25,1010.0,Sunny,5.805602
Eritrea,Asmara,2024-09-29 12:30:00,25.0,23,1011.0,Sunny,6.305606
Eritrea,Asmara,2024-09-30 12:30:00,25.1,23,1012.0,Sunny,5.111152
