Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Estonia,Tallinn,2025-05-01 11:45:00,5.0,81,1021.0,Overcast,3.3055820000000002
Estonia,Tallinn,2025-05-02 12:00:00,12.4,41,1011.0,Partly Cloudy,8.194510000000001
Estonia,Tallinn,2025-05-03 12:00:00,10.3,62,997.0,Sunny,8.194510000000001
Estonia,Tallinn,2025-05-04 11:45:00,8.3,42,1000.0,Overcast,3.0000240000000007
Estonia,Tallinn,2025-05-05 12:00:00,5.3,41,1008.0,Partly cloudy,7.388948000000001
Estonia,Tallinn,2025-05-06 12:00:00,7.4,76,1006.0,Light rain,5.611156
Estonia,Tallinn,2025-05-07 11:45:00,4.2,56,1017.0,Patchy rain nearby,4.805594000000001
Estonia,Tallinn,2025-05-08 11:45:00,4.3,52,1018.0,Partly cloudy,3.8055860000000004
Estonia,Tallinn,2025-05-09 12:15:00,8.2,42,1017.0,Sunny,2.6111320000000005
Estonia,Tallinn,2025-05-10 12:00:00,9.2,53,1021.0,Patchy rain nearby,4.111144
Estonia,Tallinn,2025-05-11 11:45:00,8.1,42,1020.0,Sunny,3.8055860000000004
Estonia,Tallinn,2025-05-12 12:00:00,11.0,50,1018.0,Sunny,2.194462
Estonia,Tallinn,2025-05-13 12:15:00,13.3,35,1015.0,Partly Cloudy,2.194462
Estonia,Tallinn,2025-05-14 12:15:00,9.0,62,1004.0,Partly cloudy,3.5000280000000004
Estonia,Tallinn,2025-05-15 12:00:00,8.3,76,1006.0,Overcast,6.6111640000000005
Estonia,Tallinn,2025-05-16 12:00:00,10.3,71,1011.0,Partly Cloudy,8.500068
Estonia,Tallinn,2025-05-17 11:45:00,12.0,62,1015.0,Sunny,4.111144
Estonia,Tallinn,2025-05-18 11:45:00,10.1,71,1011.0,Partly Cloudy,8.388956
Estonia,Tallinn,2025-05-19 12:00:00,13.1,54,1012.0,Sunny,5.111152
Estonia,Tallinn,2025-05-20 12:00:00,18.1,45,1002.0,Sunny,7.194502
Estonia,Tallinn,2025-05-21 11:45:00,13.3,35,1006.0,Partly Cloudy,3.111136
Estonia,Tallinn,2025-05-22 11:45:00,15.3,51,1003.0,Partly cloudy,5.00004
Estonia,Tallinn,2025-05-23 12:00:00,9.3,76,1007.0,Light rain,3.1944700000000004
Estonia,Tallinn,2025-05-24 11:45:00,12.0,50,1017.0,Overcast,2.0000160000000005
Estonia,Tallinn,2025-05-25 11:30:00,13.3,51,1015.0,Partly cloudy,2.111128
Estonia,Tallinn,2025-05-26 12:00:00,17.2,45,1012.0,Partly Cloudy,2.3055740000000005
Estonia,Tallinn,2025-05-27 12:00:00,17.0,55,1014.0,Sunny,5.194486
Estonia,Tallinn,2025-05-28 11:45:00,19.2,43,1012.0,Sunny,4.194478
Estonia,Tallinn,2025-05-29 11:45:00,17.1,77,1008.0,Moderate rain,2.8889120000000004
Estonia,Tallinn,2025-05-30 11:45:00,15.2,72,1009.0,Partly cloudy,4.388924
Estonia,Tallinn,2025-05-31 11:45:00,16.0,63,1007.0,Partly cloudy,7.805618000000001
