Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Ethiopia,Addis Ababa,2025-03-01 12:45:00,24.2,27,1026.0,Partly cloudy,3.8055860000000004
Ethiopia,Addis Ababa,2025-03-02 13:00:00,23.1,31,1026.0,Sunny,4.694482
Ethiopia,Addis Ababa,2025-03-03 12:45:00,23.3,27,1013.0,Sunny,5.00004
Ethiopia,Addis Ababa,2025-03-04 12:30:00,23.0,33,1025.0,Partly cloudy,4.000032000000001
Ethiopia,Addis Ababa,2025-03-05 12:45:00,24.3,36,1026.0,Partly cloudy,4.3055900000000005
Ethiopia,Addis Ababa,2025-03-06 12:45:00,23.3,41,1026.0,Partly cloudy,3.8055860000000004
Ethiopia,Addis Ababa,2025-03-07 12:45:00,24.2,36,1026.0,Partly cloudy,2.8889120000000004
Ethiopia,Addis Ababa,2025-03-08 12:45:00,22.2,46,1025.0,Partly cloudy,4.000032000000001
Ethiopia,Addis Ababa,2025-03-09 12:45:00,23.2,44,1024.0,Partly cloudy,3.5000280000000004
Ethiopia,Addis Ababa,2025-03-10 12:45:00,23.1,44,1026.0,Partly cloudy,3.8889200000000006
Ethiopia,Addis Ababa,2025-03-11 12:45:00,23.2,47,1026.0,Partly cloudy,5.500044000000001
Ethiopia,Addis Ababa,2025-03-12 12:45:00,23.3,44,1026.0,Partly cloudy,5.3889320000000005
Ethiopia,Addis Ababa,2025-03-13 12:45:00,23.3,41,1026.0,Partly cloudy,4.000032000000001
Ethiopia,Addis Ababa,2025-03-14 12:45:00,23.1,27,1026.0,Sunny,3.8889200000000006
Ethiopia,Addis Ababa,2025-03-15 12:45:00,24.1,17,1014.0,Sunny,4.500036000000001
Ethiopia,Addis Ababa,2025-03-16 12:45:00,23.9,20,1014.0,Sunny,4.111144
Ethiopia,Addis Ababa,2025-03-17 12:45:00,20.1,40,1016.0,Sunny,1.5000120000000003
Ethiopia,Addis Ababa,2025-03-18 12:45:00,22.2,34,1013.0,Sunny,2.3889080000000003
Ethiopia,Addis Ababa,2025-03-19 12:30:00,20.7,46,1015.0,Patchy rain nearby,3.111136
Ethiopia,Addis Ababa,2025-03-20 12:45:00,18.5,50,1019.0,Sunny,1.3889
Ethiopia,Addis Ababa,2025-03-21 12:30:00,19.4,60,1029.0,Partly cloudy,2.6944660000000002
Ethiopia,Addis Ababa,2025-03-22 12:30:00,21.4,53,1027.0,Partly cloudy,4.388924
Ethiopia,Addis Ababa,2025-03-23 12:45:00,21.7,47,1015.0,Patchy rain nearby,5.500044000000001
Ethiopia,Addis Ababa,2025-03-24 12:30:00,23.3,47,1029.0,Partly cloudy,4.694482
Ethiopia,Addis Ababa,2025-03-25 12:15:00,19.3,56,1028.0,Partly cloudy,4.194478
Ethiopia,Addis Ababa,2025-03-26 12:30:00,20.3,53,1026.0,Partly cloudy,2.3889080000000003
Ethiopia,Addis Ababa,2025-03-27 12:15:00,20.1,60,1025.0,Partly cloudy,2.0000160000000005
Ethiopia,Addis Ababa,2025-03-28 12:30:00,20.1,60,1025.0,Partly cloudy,2.194462
Ethiopia,Addis Ababa,2025-03-29 12:15:00,21.1,56,1026.0,Partly cloudy,1.8055700000000001
Ethiopia,Addis Ababa,2025-03-30 12:15:00,22.2,57,1025.0,Partly cloudy,3.388916
Ethiopia,Addis Ababa,2025-03-31 12:15:00,22.2,50,1026.0,Partly cloudy,3.3055820000000002
