Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Fiji Islands,Suva,2024-10-01 22:00:00,24.3,94,1013.0,Light rain,4.3055900000000005
Fiji Islands,Suva,2024-10-02 21:30:00,24.1,100,1012.0,Partly cloudy,1.3055660000000002
Fiji Islands,Suva,2024-10-03 21:30:00,23.1,100,1013.0,Partly cloudy,1.3889
Fiji Islands,Suva,2024-10-04 21:45:00,25.2,94,1014.0,Partly cloudy,2.6111320000000005
Fiji Islands,Suva,2024-10-05 21:30:00,25.4,94,1017.0,Partly cloudy,3.388916
Fiji Islands,Suva,2024-10-06 21:15:00,24.1,89,1019.0,Partly cloudy,4.111144
Fiji Islands,Suva,2024-10-07 21:45:00,23.0,94,1018.0,Partly cloudy,3.8889200000000006
Fiji Islands,Suva,2024-10-08 21:45:00,23.3,89,1016.0,Partly cloudy,3.5000280000000004
Fiji Islands,Suva,2024-10-09 21:45:00,24.2,89,1015.0,Partly cloudy,4.388924
Fiji Islands,Suva,2024-10-10 21:45:00,23.4,100,1015.0,Partly cloudy,3.388916
Fiji Islands,Suva,2024-10-11 21:45:00,23.2,94,1013.0,Partly cloudy,1.8055700000000001
Fiji Islands,Suva,2024-10-12 21:45:00,24.1,100,1014.0,Light rain,4.000032000000001
Fiji Islands,Suva,2024-10-13 21:30:00,24.4,94,1014.0,Light rain,3.111136
Fiji Islands,Suva,2024-10-14 21:30:00,23.1,95,1016.0,Light rain shower,3.8055860000000004
Fiji Islands,Suva,2024-10-15 21:30:00,23.0,91,1016.0,Light rain shower,3.5000280000000004
Fiji Islands,Suva,2024-10-16 21:30:00,22.6,96,1015.0,Moderate or heavy rain shower,2.6944660000000002
Fiji Islands,Suva,2024-10-17 21:30:00,24.1,94,1011.0,Partly cloudy,1.11112
Fiji Islands,Suva,2024-10-18 21:30:00,22.2,100,1006.0,Partly cloudy,1.1944540000000001
Fiji Islands,Suva,2024-10-19 21:30:00,22.2,78,1007.0,Partly cloudy,4.694482
Fiji Islands,Suva,2024-10-20 21:30:00,23.4,83,1011.0,Partly cloudy,3.5000280000000004
Fiji Islands,Suva,2024-10-21 21:15:00,24.0,74,1012.0,Partly cloudy,3.0000240000000007
Fiji Islands,Suva,2024-10-22 21:15:00,24.1,78,1013.0,Light rain,4.194478
Fiji Islands,Suva,2024-10-23 21:15:00,21.1,100,1015.0,Light rain,4.194478
Fiji Islands,Suva,2024-10-24 21:15:00,22.1,92,1017.0,Light rain shower,5.00004
Fiji Islands,Suva,2024-10-25 21:15:00,25.1,100,1014.0,Partly cloudy,4.694482
Fiji Islands,Suva,2024-10-26 21:15:00,23.7,90,1015.0,Patchy rain nearby,3.6111400000000002
Fiji Islands,Suva,2024-10-27 21:15:00,24.2,94,1016.0,Partly cloudy,4.000032000000001
Fiji Islands,Suva,2024-10-28 21:15:00,24.2,94,1016.0,Partly cloudy,3.111136
Fiji Islands,Suva,2024-10-29 21:00:00,25.2,83,1012.0,Partly cloudy,2.194462
Fiji Islands,Suva,2024-10-30 21:00:00,24.3,100,1010.0,Light rain,1.8055700000000001
Fiji Islands,Suva,2024-10-31 21:00:00,25.1,94,1011.0,Partly cloudy,1.5000120000000003
