Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Finland,Helsinki,2024-07-01 16:15:00,21.3,73,999.0,Partly cloudy,8.611180000000001
Finland,Helsinki,2024-07-02 16:15:00,22.3,43,1000.0,Sunny,1.0000080000000002
Finland,Helsinki,2024-07-03 16:00:00,15.1,88,1000.0,Light rain,3.111136
Finland,Helsinki,2024-07-04 16:00:00,20.3,53,1006.0,Partly cloudy,7.805618000000001
Finland,Helsinki,2024-07-05 15:45:00,17.3,77,1002.0,Partly cloudy,5.611156
Finland,Helsinki,2024-07-06 16:15:00,18.3,60,1006.0,Partly cloudy,6.694498000000001
Finland,Helsinki,2024-07-07 16:00:00,20.3,68,1006.0,Partly cloudy,7.805618000000001
Finland,Helsinki,2024-07-08 16:00:00,21.2,43,1017.0,Sunny,6.111160000000001
Finland,Helsinki,2024-07-09 15:45:00,23.2,47,1020.0,Overcast,9.194518
Finland,Helsinki,2024-07-10 16:00:00,22.4,50,1025.0,Partly cloudy,5.305598000000001
Finland,Helsinki,2024-07-11 15:45:00,21.1,78,1017.0,Light rain,4.194478
Finland,Helsinki,2024-07-12 15:45:00,22.2,73,1012.0,Partly cloudy,1.8889040000000001
Finland,Helsinki,2024-07-13 16:00:00,25.1,54,1013.0,Partly cloudy,4.694482
Finland,Helsinki,2024-07-14 16:15:00,19.0,76,1014.0,Patchy rain nearby,2.8889120000000004
Finland,Helsinki,2024-07-15 16:00:00,20.4,55,1017.0,Sunny,5.00004
Finland,Helsinki,2024-07-16 15:45:00,24.3,50,1017.0,Partly cloudy,5.611156
Finland,Helsinki,2024-07-17 15:45:00,24.0,69,1012.0,Partly cloudy,8.305622
Finland,Helsinki,2024-07-18 15:45:00,22.4,61,1013.0,Partly cloudy,6.111160000000001
Finland,Helsinki,2024-07-19 15:30:00,19.4,94,1010.0,Light rain shower,3.6111400000000002
Finland,Helsinki,2024-07-20 15:45:00,18.2,94,1010.0,Moderate or heavy rain with thunder,4.194478
Finland,Helsinki,2024-07-23 15:30:00,21.6,67,1014.0,Patchy rain nearby,5.305598000000001
Finland,Helsinki,2024-07-24 15:45:00,22.7,63,1012.0,Patchy rain nearby,2.6111320000000005
Finland,Helsinki,2024-07-25 15:15:00,23.0,60,1011.0,Sunny,2.6944660000000002
Finland,Helsinki,2024-07-26 15:30:00,22.5,62,1011.0,Patchy rain nearby,3.8055860000000004
Finland,Helsinki,2024-07-27 15:30:00,21.6,59,1013.0,Sunny,4.805594000000001
Finland,Helsinki,2024-07-28 15:45:00,21.6,57,1009.0,Sunny,3.6944740000000005
Finland,Helsinki,2024-07-29 15:15:00,22.2,62,1006.0,Partly Cloudy,3.3055820000000002
Finland,Helsinki,2024-07-30 15:15:00,20.7,63,1008.0,Patchy rain nearby,2.0000160000000005
Finland,Helsinki,2024-07-31 15:15:00,19.9,67,1003.0,Light rain shower,3.0000240000000007
