Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
France,Paris,2024-08-01 14:15:00,31.5,46,1010.0,Sunny,4.388924
France,Paris,2024-08-02 14:15:00,28.1,45,1012.0,Patchy rain nearby,4.611148000000001
France,Paris,2024-08-03 14:30:00,25.7,45,1014.0,Cloudy,4.000032000000001
France,Paris,2024-08-04 14:30:00,25.0,39,1016.0,Sunny,3.111136
France,Paris,2024-08-05 14:30:00,28.6,31,1013.0,Sunny,2.194462
France,Paris,2024-08-06 14:15:00,28.8,36,1011.0,Sunny,3.6944740000000005
France,Paris,2024-08-07 14:00:00,24.6,35,1015.0,Sunny,3.8055860000000004
France,Paris,2024-08-08 14:15:00,26.5,35,1017.0,Partly Cloudy,2.6111320000000005
France,Paris,2024-08-09 14:30:00,26.1,56,1018.0,Overcast,4.3055900000000005
France,Paris,2024-08-10 14:30:00,29.2,36,1021.0,Sunny,1.5000120000000003
France,Paris,2024-08-11 14:15:00,31.2,35,1017.0,Partly Cloudy,4.500036000000001
France,Paris,2024-08-12 14:30:00,36.8,25,1009.0,Sunny,4.000032000000001
France,Paris,2024-08-13 14:30:00,30.2,44,1010.0,Sunny,2.0000160000000005
France,Paris,2024-08-14 14:30:00,26.0,61,1013.0,Overcast,1.0000080000000002
France,Paris,2024-08-15 14:15:00,26.3,45,1018.0,Partly cloudy,5.305598000000001
France,Paris,2024-08-16 14:15:00,25.3,61,1018.0,Partly cloudy,4.694482
France,Paris,2024-08-17 14:15:00,22.4,83,1013.0,Light rain,2.50002
France,Paris,2024-08-18 14:00:00,20.4,64,1015.0,Partly cloudy,5.305598000000001
France,Paris,2024-08-19 14:30:00,22.2,50,1018.0,Partly cloudy,2.50002
France,Paris,2024-08-20 14:15:00,24.1,61,1012.0,Partly cloudy,4.694482
France,Paris,2024-08-21 14:15:00,21.4,46,1021.0,Partly cloudy,3.111136
France,Paris,2024-08-22 14:00:00,23.1,41,1013.0,Sunny,4.694482
France,Paris,2024-08-23 14:15:00,24.0,69,1011.0,Overcast,6.111160000000001
France,Paris,2024-08-24 14:00:00,29.2,45,1005.0,Sunny,7.194502
France,Paris,2024-08-25 14:00:00,20.3,43,1024.0,Partly cloudy,4.194478
France,Paris,2024-08-26 14:15:00,23.0,38,1022.0,Sunny,3.111136
France,Paris,2024-08-27 14:15:00,25.3,44,1019.0,Sunny,2.50002
France,Paris,2024-08-28 14:30:00,29.0,43,1013.0,Sunny,4.194478
France,Paris,2024-08-29 14:00:00,25.2,57,1018.0,Sunny,1.0000080000000002
France,Paris,2024-08-30 14:15:00,18.1,83,1019.0,Moderate or heavy rain with thunder,3.6111400000000002
France,Paris,2024-08-31 14:00:00,22.3,83,1018.0,Moderate or heavy rain with thunder,4.194478
