Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Gabon,Libreville,2024-10-01 11:00:00,27.0,76,1012.0,Light rain shower,4.388924
Gabon,Libreville,2024-10-02 10:30:00,26.5,76,1012.0,Patchy rain nearby,3.388916
Gabon,Libreville,2024-10-03 10:30:00,25.1,83,1013.0,Light rain shower,3.8889200000000006
Gabon,Libreville,2024-10-04 10:45:00,24.0,91,1015.0,Light rain shower,4.111144
Gabon,Libreville,2024-10-05 10:30:00,24.0,88,1015.0,Partly Cloudy,1.8889040000000001
Gabon,Libreville,2024-10-06 10:15:00,26.2,94,1014.0,Partly cloudy,1.5000120000000003
Gabon,Libreville,2024-10-07 10:45:00,23.9,91,1016.0,Light rain shower,2.50002
Gabon,Libreville,2024-10-08 10:45:00,28.3,84,1016.0,Partly cloudy,1.0000080000000002
Gabon,Libreville,2024-10-09 10:45:00,26.1,81,1016.0,Light rain shower,3.1944700000000004
Gabon,Libreville,2024-10-10 10:45:00,26.0,80,1015.0,Partly Cloudy,2.194462
Gabon,Libreville,2024-10-11 10:45:00,26.0,94,1014.0,Moderate or heavy rain with thunder,2.8889120000000004
Gabon,Libreville,2024-10-12 10:45:00,28.1,79,1014.0,Light rain,3.8889200000000006
Gabon,Libreville,2024-10-13 10:30:00,23.2,100,1016.0,Light rain,2.194462
Gabon,Libreville,2024-10-14 10:30:00,25.2,94,1015.0,Light rain,1.5000120000000003
Gabon,Libreville,2024-10-15 10:30:00,28.1,84,1015.0,Partly cloudy,1.5000120000000003
Gabon,Libreville,2024-10-16 10:30:00,28.1,79,1015.0,Partly cloudy,2.805578
Gabon,Libreville,2024-10-17 10:30:00,28.0,79,1015.0,Partly cloudy,2.805578
Gabon,Libreville,2024-10-18 10:30:00,24.9,89,1015.0,Light rain shower,2.50002
Gabon,Libreville,2024-10-19 10:30:00,27.1,89,1014.0,Overcast,2.111128
Gabon,Libreville,2024-10-20 10:30:00,27.1,89,1014.0,Partly cloudy,3.1944700000000004
Gabon,Libreville,2024-10-21 10:15:00,27.0,84,1014.0,Partly cloudy,1.8055700000000001
Gabon,Libreville,2024-10-22 10:15:00,25.1,90,1014.0,Light rain shower,1.3055660000000002
Gabon,Libreville,2024-10-23 10:15:00,27.1,89,1014.0,Partly cloudy,3.111136
Gabon,Libreville,2024-10-24 10:15:00,26.1,83,1014.0,Patchy rain nearby,2.50002
Gabon,Libreville,2024-10-25 10:15:00,26.2,89,1013.0,Partly cloudy,1.5000120000000003
Gabon,Libreville,2024-10-26 10:15:00,26.9,80,1014.0,Light rain shower,4.388924
Gabon,Libreville,2024-10-27 10:15:00,26.2,94,1012.0,Light rain,1.8889040000000001
Gabon,Libreville,2024-10-28 10:15:00,24.4,94,1013.0,Light rain shower,3.1944700000000004
Gabon,Libreville,2024-10-29 10:00:00,28.3,84,1013.0,Partly cloudy,2.194462
Gabon,Libreville,2024-10-30 10:00:00,25.3,100,1013.0,Partly cloudy,2.0000160000000005
Gabon,Libreville,2024-10-31 10:00:00,24.3,92,1013.0,Patchy rain nearby,1.3055660000000002
