Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Gambia,Banjul,2025-04-01 09:30:00,26.3,48,1010.0,Sunny,6.6111640000000005
Gambia,Banjul,2025-04-02 09:00:00,21.1,78,1008.0,Sunny,5.194486
Gambia,Banjul,2025-04-03 09:00:00,20.1,83,1010.0,Sunny,3.3055820000000002
Gambia,Banjul,2025-04-04 09:15:00,21.0,64,1012.0,Sunny,4.888928000000001
Gambia,Banjul,2025-04-05 09:00:00,21.4,78,1012.0,Sunny,4.694482
Gambia,Banjul,2025-04-06 09:00:00,24.0,54,1009.0,Sunny,6.194494000000001
Gambia,Banjul,2025-04-07 09:00:00,24.2,69,1010.0,Sunny,4.3055900000000005
Gambia,Banjul,2025-04-08 09:15:00,22.3,83,1011.0,Sunny,2.805578
Gambia,Banjul,2025-04-09 09:00:00,24.2,54,1013.0,Sunny,3.8055860000000004
Gambia,Banjul,2025-04-10 09:15:00,21.4,78,1012.0,Sunny,3.8055860000000004
Gambia,Banjul,2025-04-11 09:15:00,22.1,73,1011.0,Partly cloudy,3.6111400000000002
Gambia,Banjul,2025-04-12 09:15:00,24.5,50,1013.0,Sunny,4.111144
Gambia,Banjul,2025-04-13 09:00:00,23.2,65,1011.0,Sunny,5.694490000000001
Gambia,Banjul,2025-04-14 09:30:00,24.2,54,1011.0,Sunny,4.111144
Gambia,Banjul,2025-04-15 09:15:00,26.0,36,1013.0,Sunny,2.194462
Gambia,Banjul,2025-04-16 09:00:00,28.0,29,1013.0,Sunny,4.000032000000001
Gambia,Banjul,2025-04-17 08:45:00,25.5,33,1010.0,Sunny,2.194462
Gambia,Banjul,2025-04-18 09:15:00,25.1,61,1012.0,Sunny,1.611124
Gambia,Banjul,2025-04-19 08:45:00,21.0,88,1010.0,Partly Cloudy,2.0000160000000005
Gambia,Banjul,2025-04-20 09:00:00,23.3,83,1010.0,Partly Cloudy,3.5000280000000004
Gambia,Banjul,2025-04-21 09:15:00,28.3,45,1011.0,Sunny,7.000056000000001
Gambia,Banjul,2025-04-22 09:15:00,30.2,40,1011.0,Sunny,7.305614000000001
Gambia,Banjul,2025-04-23 09:00:00,26.1,51,1009.0,Sunny,5.194486
Gambia,Banjul,2025-04-24 09:00:00,22.3,78,1009.0,Sunny,4.194478
Gambia,Banjul,2025-04-25 08:45:00,22.3,83,1009.0,Sunny,2.194462
Gambia,Banjul,2025-04-26 09:00:00,23.4,83,1009.0,Sunny,3.111136
Gambia,Banjul,2025-04-27 08:45:00,22.1,94,1009.0,Sunny,3.6944740000000005
Gambia,Banjul,2025-04-28 09:30:00,22.1,88,1011.0,Partly cloudy,6.305606
Gambia,Banjul,2025-04-29 08:45:00,22.2,83,1010.0,Partly cloudy,3.3055820000000002
Gambia,Banjul,2025-04-30 08:45:00,22.1,83,1009.0,Sunny,2.111128
