Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Georgia,Tbilisi,2025-05-01 12:45:00,16.3,63,1022.0,Sunny,2.805578
Georgia,Tbilisi,2025-05-02 13:00:00,19.1,60,1015.0,Sunny,3.1944700000000004
Georgia,Tbilisi,2025-05-03 13:00:00,22.2,57,1014.0,Sunny,4.500036000000001
Georgia,Tbilisi,2025-05-04 12:45:00,15.1,94,1017.0,Mist,1.3055660000000002
Georgia,Tbilisi,2025-05-05 13:00:00,20.3,68,1011.0,Partly cloudy,1.1944540000000001
Georgia,Tbilisi,2025-05-06 13:00:00,20.1,49,1012.0,Partly cloudy,4.388924
Georgia,Tbilisi,2025-05-07 12:45:00,22.4,41,1016.0,Sunny,3.111136
Georgia,Tbilisi,2025-05-08 12:45:00,21.3,43,1013.0,Partly Cloudy,2.194462
Georgia,Tbilisi,2025-05-09 13:15:00,25.3,36,1015.0,Sunny,1.0000080000000002
Georgia,Tbilisi,2025-05-10 13:00:00,27.4,37,1016.0,Sunny,1.694458
Georgia,Tbilisi,2025-05-11 12:45:00,25.1,47,1012.0,Moderate or heavy rain with thunder,2.8889120000000004
Georgia,Tbilisi,2025-05-12 13:00:00,24.0,54,1010.0,Patchy rain nearby,3.0000240000000007
Georgia,Tbilisi,2025-05-13 13:15:00,18.2,83,1006.0,Partly cloudy,1.3055660000000002
Georgia,Tbilisi,2025-05-14 13:15:00,18.4,52,1009.0,Patchy rain nearby,5.500044000000001
Georgia,Tbilisi,2025-05-15 13:00:00,12.2,94,1015.0,Light rain shower,1.0000080000000002
Georgia,Tbilisi,2025-05-16 13:00:00,19.4,40,1018.0,Sunny,3.8055860000000004
Georgia,Tbilisi,2025-05-17 12:45:00,18.1,64,1022.0,Partly cloudy,2.8889120000000004
Georgia,Tbilisi,2025-05-18 12:45:00,23.3,44,1015.0,Partly Cloudy,2.194462
Georgia,Tbilisi,2025-05-19 13:00:00,19.1,60,1016.0,Sunny,8.694514000000002
Georgia,Tbilisi,2025-05-20 13:00:00,21.1,53,1018.0,Partly cloudy,4.3055900000000005
Georgia,Tbilisi,2025-05-21 12:45:00,20.1,49,1016.0,Sunny,5.805602
Georgia,Tbilisi,2025-05-22 12:45:00,21.4,56,1023.0,Sunny,3.111136
Georgia,Tbilisi,2025-05-23 13:00:00,21.3,49,1019.0,Sunny,3.3055820000000002
Georgia,Tbilisi,2025-05-24 12:45:00,24.1,50,1014.0,Sunny,2.111128
Georgia,Tbilisi,2025-05-25 12:30:00,26.2,48,1016.0,Patchy rain nearby,1.11112
Georgia,Tbilisi,2025-05-26 13:00:00,25.4,41,1020.0,Sunny,4.111144
Georgia,Tbilisi,2025-05-27 13:00:00,25.1,41,1016.0,Sunny,4.194478
Georgia,Tbilisi,2025-05-28 12:45:00,23.3,53,1016.0,Partly cloudy,4.111144
Georgia,Tbilisi,2025-05-29 12:45:00,25.1,41,1013.0,Sunny,4.000032000000001
Georgia,Tbilisi,2025-05-30 12:45:00,25.4,36,1011.0,Patchy light drizzle,1.0000080000000002
Georgia,Tbilisi,2025-05-31 12:45:00,28.1,37,1014.0,Sunny,1.1944540000000001
