Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Germany,Berlin,2025-04-01 11:30:00,12.1,54,1029.0,Partly cloudy,3.0000240000000007
Germany,Berlin,2025-04-02 11:00:00,7.1,81,1029.0,Partly cloudy,4.611148000000001
Germany,Berlin,2025-04-03 11:00:00,12.2,50,1028.0,Sunny,2.805578
Germany,Berlin,2025-04-04 11:15:00,17.3,48,1022.0,Sunny,1.0000080000000002
Germany,Berlin,2025-04-05 11:00:00,6.3,61,1019.0,Sunny,5.00004
Germany,Berlin,2025-04-06 11:00:00,6.1,42,1027.0,Partly cloudy,5.194486
Germany,Berlin,2025-04-07 11:15:00,10.1,43,1024.0,Sunny,4.111144
Germany,Berlin,2025-04-08 11:30:00,11.4,40,1028.0,Sunny,2.3055740000000005
Germany,Berlin,2025-04-09 11:15:00,9.1,57,1022.0,Sunny,3.5000280000000004
Germany,Berlin,2025-04-10 11:15:00,9.0,66,1025.0,Partly cloudy,3.8889200000000006
Germany,Berlin,2025-04-11 11:15:00,10.1,66,1015.0,Partly cloudy,7.888952000000001
Germany,Berlin,2025-04-12 11:15:00,12.1,71,1016.0,Overcast,2.194462
Germany,Berlin,2025-04-13 11:00:00,17.4,52,1005.0,Sunny,3.388916
Germany,Berlin,2025-04-14 11:30:00,17.2,63,1010.0,Partly cloudy,3.388916
Germany,Berlin,2025-04-15 11:15:00,21.3,49,1004.0,Sunny,6.6111640000000005
Germany,Berlin,2025-04-16 11:00:00,19.1,64,1008.0,Sunny,1.694458
Germany,Berlin,2025-04-17 10:45:00,21.1,53,1006.0,Sunny,4.888928000000001
Germany,Berlin,2025-04-18 11:15:00,12.3,88,1009.0,Partly cloudy,3.8055860000000004
Germany,Berlin,2025-04-19 11:00:00,9.0,93,1009.0,Overcast,3.3055820000000002
Germany,Berlin,2025-04-20 11:00:00,14.0,72,1007.0,Sunny,2.0000160000000005
Germany,Berlin,2025-04-21 11:15:00,15.3,82,1010.0,Patchy rain nearby,4.000032000000001
Germany,Berlin,2025-04-22 11:00:00,15.0,72,1016.0,Partly cloudy,2.50002
Germany,Berlin,2025-04-23 11:00:00,17.2,63,1018.0,Patchy light drizzle,1.0000080000000002
Germany,Berlin,2025-04-24 11:00:00,15.3,63,1015.0,Partly Cloudy,5.305598000000001
Germany,Berlin,2025-04-25 11:00:00,10.0,76,1019.0,Partly cloudy,4.3055900000000005
Germany,Berlin,2025-04-26 11:00:00,11.0,50,1026.0,Sunny,4.000032000000001
Germany,Berlin,2025-04-27 10:45:00,12.1,44,1029.0,Sunny,4.3055900000000005
Germany,Berlin,2025-04-28 11:30:00,17.2,36,1027.0,Sunny,1.11112
Germany,Berlin,2025-04-29 10:45:00,19.1,46,1025.0,Partly Cloudy,3.6944740000000005
Germany,Berlin,2025-04-30 10:45:00,18.0,64,1024.0,Partly Cloudy,2.805578
