Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Ghana,Accra,2025-05-01 08:45:00,29.1,70,1010.0,Partly Cloudy,3.111136
Ghana,Accra,2025-05-02 09:00:00,26.0,84,1012.0,Partly Cloudy,3.6944740000000005
Ghana,Accra,2025-05-03 09:00:00,28.2,74,1013.0,Sunny,3.8889200000000006
Ghana,Accra,2025-05-04 08:45:00,29.4,84,1011.0,Partly cloudy,3.3055820000000002
Ghana,Accra,2025-05-05 09:00:00,29.4,79,1012.0,Partly cloudy,4.000032000000001
Ghana,Accra,2025-05-06 09:00:00,29.1,79,1012.0,Sunny,3.8889200000000006
Ghana,Accra,2025-05-07 08:45:00,29.3,84,1013.0,Patchy rain nearby,2.6111320000000005
Ghana,Accra,2025-05-08 08:45:00,28.1,84,1012.0,Moderate or heavy rain with thunder,3.6111400000000002
Ghana,Accra,2025-05-09 09:15:00,31.2,66,1012.0,Sunny,4.500036000000001
Ghana,Accra,2025-05-10 09:00:00,28.3,84,1013.0,Partly Cloudy,3.6944740000000005
Ghana,Accra,2025-05-11 08:45:00,29.2,79,1015.0,Partly cloudy,3.0000240000000007
Ghana,Accra,2025-05-12 09:00:00,29.4,79,1014.0,Patchy rain nearby,3.6111400000000002
Ghana,Accra,2025-05-13 09:15:00,30.3,75,1013.0,Partly cloudy,4.694482
Ghana,Accra,2025-05-14 09:15:00,29.3,79,1012.0,Partly Cloudy,3.1944700000000004
Ghana,Accra,2025-05-15 09:00:00,29.3,79,1012.0,Sunny,3.111136
Ghana,Accra,2025-05-16 09:00:00,29.3,79,1011.0,Patchy rain nearby,3.388916
Ghana,Accra,2025-05-17 08:45:00,26.9,79,1011.0,Light rain shower,2.6944660000000002
Ghana,Accra,2025-05-18 08:45:00,23.3,100,1012.0,Patchy rain nearby,1.0000080000000002
Ghana,Accra,2025-05-19 09:00:00,26.1,89,1014.0,Partly Cloudy,5.3889320000000005
Ghana,Accra,2025-05-20 09:00:00,27.2,94,1012.0,Partly cloudy,7.388948000000001
Ghana,Accra,2025-05-21 08:45:00,26.2,84,1012.0,Overcast,2.6111320000000005
Ghana,Accra,2025-05-22 08:45:00,28.3,84,1014.0,Partly Cloudy,3.1944700000000004
Ghana,Accra,2025-05-23 09:00:00,28.2,84,1014.0,Patchy rain nearby,3.111136
Ghana,Accra,2025-05-24 08:45:00,26.4,94,1014.0,Partly Cloudy,1.3055660000000002
Ghana,Accra,2025-05-25 08:30:00,28.0,74,1016.0,Patchy light drizzle,3.111136
Ghana,Accra,2025-05-26 09:00:00,28.1,84,1015.0,Partly Cloudy,3.5000280000000004
Ghana,Accra,2025-05-27 09:00:00,28.3,84,1014.0,Partly Cloudy,3.6111400000000002
Ghana,Accra,2025-05-28 08:45:00,29.3,79,1014.0,Partly cloudy,3.6944740000000005
Ghana,Accra,2025-05-29 08:45:00,28.4,79,1015.0,Light rain shower,4.111144
Ghana,Accra,2025-05-30 08:45:00,27.3,89,1015.0,Light rain shower,2.50002
Ghana,Accra,2025-05-31 08:45:00,27.2,89,1015.0,Partly cloudy,2.3889080000000003
