Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Greece,Athens,2025-03-01 11:45:00,16.2,63,1024.0,Partly cloudy,1.11112
Greece,Athens,2025-03-02 12:00:00,15.3,77,1023.0,Partly cloudy,2.6111320000000005
Greece,Athens,2025-03-03 12:00:00,12.2,62,1022.0,Partly cloudy,9.194518
Greece,Athens,2025-03-04 11:30:00,11.3,43,1023.0,Partly cloudy,9.194518
Greece,Athens,2025-03-05 11:45:00,13.1,47,1025.0,Partly cloudy,9.111184
Greece,Athens,2025-03-06 11:45:00,17.3,32,1027.0,Sunny,2.6944660000000002
Greece,Athens,2025-03-07 11:45:00,18.2,26,1022.0,Sunny,2.111128
Greece,Athens,2025-03-08 11:45:00,17.3,29,1015.0,Sunny,2.194462
Greece,Athens,2025-03-09 11:45:00,17.1,34,1015.0,Sunny,1.8055700000000001
Greece,Athens,2025-03-10 11:45:00,18.3,52,1018.0,Sunny,2.3889080000000003
Greece,Athens,2025-03-11 11:45:00,18.1,68,1018.0,Partly cloudy,3.6944740000000005
Greece,Athens,2025-03-12 11:30:00,19.4,68,1015.0,Partly cloudy,4.000032000000001
Greece,Athens,2025-03-13 11:45:00,21.3,56,1011.0,Partly cloudy,6.000048000000001
Greece,Athens,2025-03-14 11:45:00,20.3,68,1016.0,Sunny,2.194462
Greece,Athens,2025-03-15 11:45:00,22.2,57,1019.0,Sunny,2.805578
Greece,Athens,2025-03-16 11:45:00,24.1,41,1013.0,Sunny,1.8055700000000001
Greece,Athens,2025-03-17 11:45:00,18.3,42,1011.0,Sunny,5.3889320000000005
Greece,Athens,2025-03-18 11:45:00,17.3,42,1016.0,Partly cloudy,1.8889040000000001
Greece,Athens,2025-03-19 11:30:00,9.3,46,1029.0,Partly cloudy,10.111192
Greece,Athens,2025-03-20 11:45:00,12.2,47,1032.0,Partly cloudy,4.111144
Greece,Athens,2025-03-21 11:30:00,14.4,33,1028.0,Sunny,1.611124
Greece,Athens,2025-03-22 11:30:00,16.3,55,1023.0,Sunny,2.805578
Greece,Athens,2025-03-23 11:45:00,17.2,68,1023.0,Partly cloudy,3.3055820000000002
Greece,Athens,2025-03-24 11:45:00,18.0,64,1025.0,Partly cloudy,4.805594000000001
Greece,Athens,2025-03-25 11:15:00,18.3,64,1023.0,Partly cloudy,1.8889040000000001
Greece,Athens,2025-03-26 11:30:00,21.1,43,1015.0,Partly cloudy,2.6944660000000002
Greece,Athens,2025-03-27 11:15:00,22.2,41,1005.0,Partly cloudy,1.5000120000000003
Greece,Athens,2025-03-28 11:45:00,20.3,46,1003.0,Partly cloudy,4.388924
Greece,Athens,2025-03-29 11:30:00,18.1,60,1003.0,Partly cloudy,3.8055860000000004
Greece,Athens,2025-03-30 12:15:00,18.1,56,1005.0,Partly cloudy,3.6111400000000002
Greece,Athens,2025-03-31 12:15:00,19.4,60,1005.0,Partly cloudy,1.1944540000000001
