Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Grenada,Saint George's,2025-01-01 06:00:00,26.3,70,1011.0,Partly cloudy,4.3055900000000005
Grenada,Saint George's,2025-01-02 06:15:00,26.2,74,1012.0,Partly cloudy,4.694482
Grenada,Saint George's,2025-01-03 06:45:00,26.3,89,1012.0,Partly cloudy,5.500044000000001
Grenada,Saint George's,2025-01-04 06:15:00,26.3,89,1012.0,Partly cloudy,5.611156
Grenada,Saint George's,2025-01-05 06:00:00,27.1,84,1012.0,Partly cloudy,6.000048000000001
Grenada,Saint George's,2025-01-06 06:30:00,25.1,89,1013.0,Partly cloudy,4.805594000000001
Grenada,Saint George's,2025-01-08 06:00:00,25.1,83,1014.0,Partly cloudy,5.500044000000001
Grenada,Saint George's,2025-01-09 07:15:00,25.1,72,1013.0,Sunny,4.500036000000001
Grenada,Saint George's,2025-01-10 06:45:00,23.2,89,1011.0,Partly cloudy,2.6944660000000002
Grenada,Saint George's,2025-01-11 06:30:00,25.2,83,1012.0,Partly cloudy,4.694482
Grenada,Saint George's,2025-01-12 05:45:00,26.2,74,1013.0,Partly cloudy,5.694490000000001
Grenada,Saint George's,2025-01-13 06:45:00,24.3,83,1014.0,Partly cloudy,4.000032000000001
Grenada,Saint George's,2025-01-14 07:00:00,24.2,83,1013.0,Partly cloudy,3.8055860000000004
Grenada,Saint George's,2025-01-15 06:30:00,25.3,83,1012.0,Overcast,4.611148000000001
Grenada,Saint George's,2025-01-16 06:15:00,24.3,89,1013.0,Partly cloudy,3.6944740000000005
Grenada,Saint George's,2025-01-17 06:30:00,25.3,89,1014.0,Partly cloudy,5.305598000000001
Grenada,Saint George's,2025-01-18 06:30:00,26.4,79,1015.0,Overcast,5.305598000000001
Grenada,Saint George's,2025-01-19 06:00:00,25.4,89,1014.0,Partly cloudy,7.50006
Grenada,Saint George's,2025-01-20 06:30:00,25.0,89,1015.0,Light rain,8.000064000000002
Grenada,Saint George's,2025-01-21 06:30:00,25.2,83,1015.0,Overcast,8.611180000000001
Grenada,Saint George's,2025-01-22 06:15:00,25.4,74,1015.0,Partly cloudy,8.694514000000002
Grenada,Saint George's,2025-01-23 06:30:00,26.0,79,1014.0,Partly cloudy,7.6945060000000005
Grenada,Saint George's,2025-01-24 06:30:00,26.3,84,1013.0,Partly cloudy,6.194494000000001
Grenada,Saint George's,2025-01-25 06:15:00,26.0,84,1014.0,Partly cloudy,6.6111640000000005
Grenada,Saint George's,2025-01-26 06:15:00,25.2,83,1014.0,Overcast,5.194486
Grenada,Saint George's,2025-01-27 06:30:00,26.3,84,1013.0,Partly cloudy,7.50006
Grenada,Saint George's,2025-01-28 07:00:00,26.1,84,1012.0,Partly cloudy,7.388948000000001
Grenada,Saint George's,2025-01-29 06:30:00,26.2,89,1013.0,Overcast,6.694498000000001
Grenada,Saint George's,2025-01-30 06:15:00,27.2,74,1014.0,Partly cloudy,7.111168000000001
Grenada,Saint George's,2025-01-31 06:30:00,25.3,79,1015.0,Partly cloudy,5.194486
