Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Guinea-Bissau,Bissau,2024-05-16 08:45:00,24.0,89,1013.0,Partly cloudy,1.694458
Guinea-Bissau,Bissau,2024-05-16 14:00:00,34.0,44,1012.0,Partly cloudy,2.50002
Guinea-Bissau,Bissau,2024-05-17 16:00:00,35.0,47,1011.0,Sunny,5.305598000000001
Guinea-Bissau,Bissau,2024-05-18 14:30:00,38.0,31,1010.0,Sunny,1.0000080000000002
Guinea-Bissau,Bissau,2024-05-19 14:00:00,35.0,35,1012.0,Sunny,4.694482
Guinea-Bissau,Bissau,2024-05-20 14:45:00,38.0,29,1010.0,Sunny,1.0000080000000002
Guinea-Bissau,Bissau,2024-05-21 14:45:00,34.0,56,1011.0,Sunny,6.111160000000001
Guinea-Bissau,Bissau,2024-05-22 14:15:00,33.0,56,1011.0,Sunny,5.611156
Guinea-Bissau,Bissau,2024-05-23 14:00:00,34.0,50,1011.0,Sunny,5.305598000000001
Guinea-Bissau,Bissau,2024-05-24 14:30:00,36.0,45,1011.0,Sunny,3.111136
Guinea-Bissau,Bissau,2024-05-25 14:00:00,37.0,27,1010.0,Sunny,3.111136
Guinea-Bissau,Bissau,2024-05-26 14:00:00,34.0,47,1011.0,Partly cloudy,4.694482
Guinea-Bissau,Bissau,2024-05-27 14:30:00,35.0,53,1011.0,Partly cloudy,3.6111400000000002
Guinea-Bissau,Bissau,2024-05-28 14:30:00,36.0,47,1013.0,Partly cloudy,3.6111400000000002
Guinea-Bissau,Bissau,2024-05-29 14:00:00,31.0,71,1015.0,Partly cloudy,1.0000080000000002
Guinea-Bissau,Bissau,2024-05-30 13:45:00,36.0,29,1012.0,Sunny,1.0000080000000002
Guinea-Bissau,Bissau,2024-05-31 14:15:00,34.0,50,1011.0,Sunny,4.194478
