Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Guinea,Conakry,2025-05-01 08:45:00,26.3,84,1010.0,Partly cloudy,4.111144
Guinea,Conakry,2025-05-02 09:00:00,27.2,84,1011.0,Partly cloudy,3.8055860000000004
Guinea,Conakry,2025-05-03 09:00:00,27.2,84,1012.0,Partly cloudy,2.3889080000000003
Guinea,Conakry,2025-05-04 08:45:00,25.2,89,1012.0,Partly cloudy,2.8889120000000004
Guinea,Conakry,2025-05-05 09:00:00,26.4,77,1012.0,Sunny,1.8055700000000001
Guinea,Conakry,2025-05-06 09:00:00,25.1,100,1011.0,Moderate or heavy rain with thunder,3.8889200000000006
Guinea,Conakry,2025-05-07 08:45:00,27.3,89,1012.0,Partly cloudy,3.388916
Guinea,Conakry,2025-05-08 08:45:00,25.9,80,1013.0,Partly Cloudy,2.194462
Guinea,Conakry,2025-05-09 09:15:00,28.0,89,1011.0,Partly cloudy,5.194486
Guinea,Conakry,2025-05-10 09:00:00,28.1,84,1012.0,Partly cloudy,5.805602
Guinea,Conakry,2025-05-11 08:45:00,25.0,83,1015.0,Partly Cloudy,4.694482
Guinea,Conakry,2025-05-12 09:00:00,26.1,89,1012.0,Partly cloudy,2.0000160000000005
Guinea,Conakry,2025-05-13 09:15:00,29.2,75,1012.0,Patchy rain nearby,5.611156
Guinea,Conakry,2025-05-14 09:15:00,27.1,74,1010.0,Partly cloudy,2.111128
Guinea,Conakry,2025-05-15 09:00:00,25.1,89,1009.0,Partly cloudy,1.5000120000000003
Guinea,Conakry,2025-05-16 09:00:00,28.3,84,1010.0,Light rain,1.0000080000000002
Guinea,Conakry,2025-05-17 08:45:00,26.3,84,1011.0,Partly cloudy,6.305606
Guinea,Conakry,2025-05-18 08:45:00,27.3,84,1012.0,Partly cloudy,2.0000160000000005
Guinea,Conakry,2025-05-19 09:00:00,26.1,84,1012.0,Patchy rain nearby,1.3055660000000002
Guinea,Conakry,2025-05-20 09:00:00,28.2,74,1011.0,Partly cloudy,4.194478
Guinea,Conakry,2025-05-21 08:45:00,26.2,89,1012.0,Partly cloudy,3.6111400000000002
Guinea,Conakry,2025-05-22 08:45:00,27.3,89,1012.0,Partly cloudy,3.6944740000000005
Guinea,Conakry,2025-05-23 09:00:00,25.3,79,1014.0,Partly Cloudy,1.0000080000000002
Guinea,Conakry,2025-05-24 08:45:00,27.3,89,1013.0,Moderate or heavy rain with thunder,3.0000240000000007
Guinea,Conakry,2025-05-25 08:30:00,29.2,75,1014.0,Sunny,2.3889080000000003
Guinea,Conakry,2025-05-26 09:00:00,28.1,79,1013.0,Partly cloudy,3.8889200000000006
Guinea,Conakry,2025-05-27 09:00:00,28.3,89,1012.0,Partly cloudy,2.0000160000000005
Guinea,Conakry,2025-05-28 08:45:00,26.1,83,1014.0,Patchy rain nearby,1.694458
Guinea,Conakry,2025-05-29 08:45:00,28.3,84,1013.0,Partly cloudy,1.3055660000000002
Guinea,Conakry,2025-05-30 08:45:00,27.2,84,1013.0,Partly cloudy,3.1944700000000004
Guinea,Conakry,2025-05-31 08:45:00,27.3,94,1013.0,Partly cloudy,2.6944660000000002
