Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Guyana,Georgetown,2025-02-01 06:30:00,22.3,100,1012.0,Partly cloudy,3.1944700000000004
Guyana,Georgetown,2025-02-02 06:15:00,22.7,88,1012.0,Patchy rain nearby,2.50002
Guyana,Georgetown,2025-02-03 06:30:00,23.1,100,1010.0,Light rain,2.0000160000000005
Guyana,Georgetown,2025-02-04 06:30:00,23.3,100,1010.0,Partly cloudy,2.3889080000000003
Guyana,Georgetown,2025-02-05 06:30:00,24.2,94,1011.0,Partly cloudy,2.3055740000000005
Guyana,Georgetown,2025-02-06 06:15:00,24.2,94,1010.0,Partly cloudy,2.0000160000000005
Guyana,Georgetown,2025-02-07 06:30:00,24.2,100,1011.0,Light rain,2.3055740000000005
Guyana,Georgetown,2025-02-08 06:30:00,24.3,94,1011.0,Light rain,1.8889040000000001
Guyana,Georgetown,2025-02-09 06:30:00,23.3,100,1011.0,Partly cloudy,1.694458
Guyana,Georgetown,2025-02-10 06:30:00,24.3,94,1011.0,Overcast,2.3889080000000003
Guyana,Georgetown,2025-02-11 06:15:00,24.1,94,1010.0,Partly cloudy,3.1944700000000004
Guyana,Georgetown,2025-02-12 06:15:00,22.1,100,1011.0,Partly cloudy,2.3889080000000003
Guyana,Georgetown,2025-02-13 06:15:00,24.1,94,1012.0,Partly cloudy,3.1944700000000004
Guyana,Georgetown,2025-02-14 06:00:00,23.4,100,1012.0,Partly cloudy,3.3055820000000002
Guyana,Georgetown,2025-02-15 06:15:00,24.0,94,1009.0,Partly cloudy,3.5000280000000004
Guyana,Georgetown,2025-02-16 06:15:00,23.3,94,1012.0,Partly cloudy,1.8889040000000001
Guyana,Georgetown,2025-02-17 06:15:00,23.4,100,1012.0,Partly cloudy,2.50002
Guyana,Georgetown,2025-02-18 06:15:00,24.2,100,1011.0,Partly cloudy,2.194462
Guyana,Georgetown,2025-02-19 06:15:00,22.3,100,1012.0,Partly cloudy,2.3055740000000005
Guyana,Georgetown,2025-02-20 06:00:00,22.3,100,1012.0,Partly cloudy,3.0000240000000007
Guyana,Georgetown,2025-02-21 06:00:00,24.3,94,1012.0,Partly cloudy,3.6111400000000002
Guyana,Georgetown,2025-02-22 06:00:00,22.1,100,1013.0,Partly cloudy,2.0000160000000005
Guyana,Georgetown,2025-02-23 06:15:00,23.3,90,1013.0,Patchy rain nearby,1.611124
Guyana,Georgetown,2025-02-24 06:00:00,22.0,100,1012.0,Partly cloudy,2.0000160000000005
Guyana,Georgetown,2025-02-25 06:00:00,22.1,100,1012.0,Partly cloudy,2.8889120000000004
Guyana,Georgetown,2025-02-26 06:00:00,22.1,100,1013.0,Partly cloudy,3.111136
Guyana,Georgetown,2025-02-27 05:45:00,23.1,100,1012.0,Partly cloudy,3.388916
Guyana,Georgetown,2025-02-28 06:00:00,21.3,100,1011.0,Partly cloudy,2.6111320000000005
