Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Haiti,Port-Au-Prince,2025-02-01 05:30:00,17.1,92,1017.0,Clear,1.3889
Haiti,Port-Au-Prince,2025-02-02 05:15:00,16.1,88,1016.0,Clear,2.0000160000000005
Haiti,Port-Au-Prince,2025-02-03 05:30:00,16.6,94,1016.0,Clear,2.6111320000000005
Haiti,Port-Au-Prince,2025-02-04 05:30:00,15.5,91,1016.0,Partly Cloudy,2.3055740000000005
Haiti,Port-Au-Prince,2025-02-05 05:30:00,20.0,96,1016.0,Mist,2.6944660000000002
Haiti,Port-Au-Prince,2025-02-06 05:15:00,16.4,91,1015.0,Clear,2.50002
Haiti,Port-Au-Prince,2025-02-07 05:15:00,15.7,78,1016.0,Clear,2.3055740000000005
Haiti,Port-Au-Prince,2025-02-08 05:45:00,18.9,78,1016.0,Partly Cloudy,2.111128
Haiti,Port-Au-Prince,2025-02-09 05:30:00,15.5,92,1017.0,Clear,2.111128
Haiti,Port-Au-Prince,2025-02-10 05:30:00,15.2,92,1018.0,Partly Cloudy,2.3055740000000005
Haiti,Port-Au-Prince,2025-02-11 05:15:00,16.4,91,1016.0,Clear,1.8889040000000001
Haiti,Port-Au-Prince,2025-02-12 05:15:00,15.7,89,1016.0,Clear,2.50002
Haiti,Port-Au-Prince,2025-02-13 05:15:00,17.2,91,1019.0,Clear,2.8889120000000004
Haiti,Port-Au-Prince,2025-02-14 05:00:00,16.7,80,1019.0,Clear,2.6944660000000002
Haiti,Port-Au-Prince,2025-02-15 05:15:00,16.1,90,1017.0,Clear,2.8889120000000004
Haiti,Port-Au-Prince,2025-02-16 05:15:00,18.3,78,1016.0,Partly Cloudy,2.6111320000000005
Haiti,Port-Au-Prince,2025-02-17 05:15:00,16.2,86,1016.0,Clear,2.111128
Haiti,Port-Au-Prince,2025-02-18 05:15:00,20.6,91,1016.0,Partly Cloudy,1.3055660000000002
Haiti,Port-Au-Prince,2025-02-19 05:15:00,16.5,72,1016.0,Clear,1.8055700000000001
Haiti,Port-Au-Prince,2025-02-20 05:00:00,16.4,93,1016.0,Clear,2.50002
Haiti,Port-Au-Prince,2025-02-21 05:00:00,17.6,76,1016.0,Clear,1.11112
Haiti,Port-Au-Prince,2025-02-22 05:00:00,21.5,90,1018.0,Overcast,1.694458
Haiti,Port-Au-Prince,2025-02-23 05:00:00,16.0,96,1017.0,Mist,1.5000120000000003
Haiti,Port-Au-Prince,2025-02-24 05:00:00,15.1,92,1015.0,Clear,1.8889040000000001
Haiti,Port-Au-Prince,2025-02-25 05:00:00,15.7,94,1014.0,Partly Cloudy,1.694458
Haiti,Port-Au-Prince,2025-02-26 05:00:00,17.8,87,1014.0,Clear,1.3055660000000002
Haiti,Port-Au-Prince,2025-02-27 04:45:00,18.5,92,1015.0,Clear,2.194462
Haiti,Port-Au-Prince,2025-02-28 05:00:00,18.2,94,1014.0,Mist,1.1944540000000001
